l1_code,l1_name,l2_code,l2_name
AC,숙박,AC01,호텔
AC,숙박,AC02,콘도미니엄
AC,숙박,AC03,펜션/민박
AC,숙박,AC04,모텔
AC,숙박,AC05,캠핑
AC,숙박,AC06,호스텔
AC,숙박,AC01,호텔
AC,숙박,AC02,콘도미니엄
AC,숙박,AC03,펜션/민박
AC,숙박,AC04,모텔
AC,숙박,AC05,캠핑
AC,숙박,AC06,호스텔
AC,숙박,AC01,호텔
AC,숙박,AC02,콘도미니엄
AC,숙박,AC03,펜션/민박
AC,숙박,AC04,모텔
AC,숙박,AC05,캠핑
AC,숙박,AC06,호스텔
AC,숙박,AC01,호텔
AC,숙박,AC02,콘도미니엄
AC,숙박,AC03,펜션/민박
AC,숙박,AC04,모텔
AC,숙박,AC05,캠핑
AC,숙박,AC06,호스텔
AC,숙박,AC01,호텔
AC,숙박,AC02,콘도미니엄
AC,숙박,AC03,펜션/민박
AC,숙박,AC04,모텔
AC,숙박,AC05,캠핑
AC,숙박,AC06,호스텔
AC,숙박,AC01,호텔
AC,숙박,AC02,콘도미니엄
AC,숙박,AC03,펜션/민박
AC,숙박,AC04,모텔
AC,숙박,AC05,캠핑
AC,숙박,AC06,호스텔
C01,추천코스,C0112,가족코스
C01,추천코스,C0113,나홀로코스
C01,추천코스,C0114,힐링코스
C01,추천코스,C0115,도보코스
C01,추천코스,C0116,캠핑코스
C01,추천코스,C0117,맛코스
C01,추천코스,C0112,가족코스
C01,추천코스,C0113,나홀로코스
C01,추천코스,C0114,힐링코스
C01,추천코스,C0115,도보코스
C01,추천코스,C0116,캠핑코스
C01,추천코스,C0117,맛코스
C01,추천코스,C0112,가족코스
C01,추천코스,C0113,나홀로코스
C01,추천코스,C0114,힐링코스
C01,추천코스,C0115,도보코스
C01,추천코스,C0116,캠핑코스
C01,추천코스,C0117,맛코스
C01,추천코스,C0112,가족코스
C01,추천코스,C0113,나홀로코스
C01,추천코스,C0114,힐링코스
C01,추천코스,C0115,도보코스
C01,추천코스,C0116,캠핑코스
C01,추천코스,C0117,맛코스
C01,추천코스,C0112,가족코스
C01,추천코스,C0113,나홀로코스
C01,추천코스,C0114,힐링코스
C01,추천코스,C0115,도보코스
C01,추천코스,C0116,캠핑코스
C01,추천코스,C0117,맛코스
C01,추천코스,C0112,가족코스
C01,추천코스,C0113,나홀로코스
C01,추천코스,C0114,힐링코스
C01,추천코스,C0115,도보코스
C01,추천코스,C0116,캠핑코스
C01,추천코스,C0117,맛코스
EV,축제/공연/행사,EV01,축제
EV,축제/공연/행사,EV02,공연
EV,축제/공연/행사,EV03,행사
EV,축제/공연/행사,EV01,축제
EV,축제/공연/행사,EV02,공연
EV,축제/공연/행사,EV03,행사
EV,축제/공연/행사,EV01,축제
EV,축제/공연/행사,EV02,공연
EV,축제/공연/행사,EV03,행사
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
EX,체험관광,EX01,전통체험
EX,체험관광,EX02,공예체험
EX,체험관광,EX03,농.산.어촌 체험
EX,체험관광,EX04,산사체험
EX,체험관광,EX05,웰니스관광
EX,체험관광,EX06,산업관광
EX,체험관광,EX07,기타체험
FD,음식,FD01,한식
FD,음식,FD02,외국식
FD,음식,FD03,간이음식
FD,음식,FD04,주점
FD,음식,FD05,카페/ 찻집
FD,음식,FD01,한식
FD,음식,FD02,외국식
FD,음식,FD03,간이음식
FD,음식,FD04,주점
FD,음식,FD05,카페/ 찻집
FD,음식,FD01,한식
FD,음식,FD02,외국식
FD,음식,FD03,간이음식
FD,음식,FD04,주점
FD,음식,FD05,카페/ 찻집
FD,음식,FD01,한식
FD,음식,FD02,외국식
FD,음식,FD03,간이음식
FD,음식,FD04,주점
FD,음식,FD05,카페/ 찻집
FD,음식,FD01,한식
FD,음식,FD02,외국식
FD,음식,FD03,간이음식
FD,음식,FD04,주점
FD,음식,FD05,카페/ 찻집
NA,자연관광,NA01,자연경관(산)
NA,자연관광,NA02,자연경관(하천‧해양)
NA,자연관광,NA03,자연생태
NA,자연관광,NA04,자연공원
NA,자연관광,NA05,기타자연관광
NA,자연관광,NA01,자연경관(산)
NA,자연관광,NA02,자연경관(하천‧해양)
NA,자연관광,NA03,자연생태
NA,자연관광,NA04,자연공원
NA,자연관광,NA05,기타자연관광
NA,자연관광,NA01,자연경관(산)
NA,자연관광,NA02,자연경관(하천‧해양)
NA,자연관광,NA03,자연생태
NA,자연관광,NA04,자연공원
NA,자연관광,NA05,기타자연관광
NA,자연관광,NA01,자연경관(산)
NA,자연관광,NA02,자연경관(하천‧해양)
NA,자연관광,NA03,자연생태
NA,자연관광,NA04,자연공원
NA,자연관광,NA05,기타자연관광
NA,자연관광,NA01,자연경관(산)
NA,자연관광,NA02,자연경관(하천‧해양)
NA,자연관광,NA03,자연생태
NA,자연관광,NA04,자연공원
NA,자연관광,NA05,기타자연관광
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
SH,쇼핑,SH01,백화점
SH,쇼핑,SH02,쇼핑몰
SH,쇼핑,SH03,대형마트
SH,쇼핑,SH04,면세점
SH,쇼핑,SH05,전문매장/상가
SH,쇼핑,SH06,시장
SH,쇼핑,SH07,기타쇼핑시설
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
VE,문화관광,VE01,랜드마크관광
VE,문화관광,VE02,테마공원
VE,문화관광,VE03,도시공원
VE,문화관광,VE04,도시.지역문화관광
VE,문화관광,VE05,복합관광시설
VE,문화관광,VE06,공연시설
VE,문화관광,VE07,전시시설
VE,문화관광,VE08,행사시설
VE,문화관광,VE09,교육시설
VE,문화관광,VE10,레저스포츠시설
VE,문화관광,VE11,교통시설
VE,문화관광,VE12,기타문화관광지
