contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2019720	가고파 꼬부랑길 벽화마을	36	경상남도 창원시 마산합포구 성호서7길 15-8	20150721030848	20250317231916	16	A02	A0203	A02030100	128.5696552845	35.2077664004		51281
2994116	가곡유황온천&스파	32	강원특별자치도 삼척시 가곡면 탕곡리	20230717155822	20241122151714	4	A02	A0202	A02020300	129.2062296318	37.1507494904	033-572-1800	25954
3482667	가금철교 문화공원	31	경기도 의정부시 가능동	20250318170121	20250318170732	25	A02	A0202	A02020700	127.0455151412	37.7533531645		11685
129194	가나아트파크	31	경기도 양주시 장흥면 권율로 117	20060807090000	20241011153024	18	A02	A0202	A02020600	126.9497496852	37.7254519094		11520
2777865	가남체육공원	31	경기도 여주시 가남읍 대명산길 98	20211123182854	20250731161057	20	A02	A0202	A02020700	127.5349142281	37.2017093544		12662
3015365	가덕도외양포전망대	6	부산광역시 강서구 대항동	20230925164008	20240927145826	1	A02	A0205	A02050600	128.8310519246	35.0017831264		46771
2761729	가람리조트	32	강원특별자치도 홍천군 두촌면 부채들길 29	20211025231847	20250317124726	16	A02	A0202	A02020200	128.0184630062	37.8364309102		25164
1553085	가루매마을	31	경기도 양평군 지평면 옥현리	20120216000046	20250109160817	19	A02	A0203	A02030100	127.6145192906	37.4519513148		12544
3068424	가리왕산케이블카	32	강원특별자치도 정선군 북평면 중봉길 41-35	20231214095937	20240523135350	11	A02	A0203	A02030400	128.6097538017	37.4742535268	033-560-3467	26100
2820640	가림상회	34	충청남도 부여군 임천면 성흥로97번길 4-5	20220519113231	20250701151301	6	A02	A0203	A02030400	126.8928691464	36.1899003585		33219
2745573	가막들공원	31	경기도 의왕시 양지편로 41-2	20210915232109	20250321174112	24	A02	A0202	A02020700	126.9956966089	37.3916915204		16007
128498	가뫼골마을	36	경상남도 진주시 명석면 관덕길 174	20050512090000	20250626094049	13	A02	A0203	A02030100	128.0324121006	35.2586565930		52641
127268	가배량성	36	경상남도 거제시 동부면 가배리	20040119090000	20240613161328	1	A02	A0201	A02010200	128.5722052958	34.7817585943		53330
294369	가산사	33	충청북도 옥천군 안내면 안내회남로 671	20071126234108	20250316160131	5	A02	A0201	A02010800	127.5973920906	36.4015885618		29005
2629074	가산산성마을	35	경상북도 칠곡군 가산면 가산로 891	20191023014804	20241213173305	22	A02	A0203	A02030100	128.5978129850	36.0501079498		39853
1957336	가산서원	38	전라남도 장성군 삼서면 영장로 2015	20141017190007	20250319164704	19	A02	A0201	A02010700	126.6931003984	35.2313226604		57256
2784347	가산수변공원	36	경상남도 양산시 동면 가산리	20211201193109	20250808120005	10	A02	A0202	A02020700	129.0180165474	35.2951703547		50642
1578561	가선정	36	경상남도 거창군 북상면 송계로 731-42	20120327013044	20241016111926	2	A02	A0201	A02010700	127.8160339922	35.7788772875		50102
294390	가섭사	33	충청북도 음성군 음성읍 가섭길 494	20071126235315	20250316211827	6	A02	A0201	A02010800	127.7030557496	36.9666339700		27688
1579499	가섭암지 마애여래삼존입상	36	경상남도 거창군 위천면 상천리	20120327035657	20240530140854	2	A02	A0201	A02010700	127.7941371179	35.7345485901		50103
3026711	가시리국산화풍력발전단지	39	제주특별자치도 서귀포시 표선면 녹산로 464-78	20230920140339	20250408135047	3	A02	A0204	A02040400	126.7341100468	33.3939370848		63622
3023389	가실벚꽃길	31	경기도 용인시 처인구 포곡읍 가실리	20231024111746	20250527131400	23	A02	A0203	A02030600	127.1950173777	37.2938508782		17021
2513971	가실성당	35	경상북도 칠곡군 왜관읍 가실1길 1	20171102234940	20250512170441	22	A02	A0201	A02010900	128.4048776375	35.9363922928		39912
2732489	가야금산조테마공원	38	전라남도 영암군 영암읍 기찬랜드로 19-10	20210810225939	20250702175507	17	A02	A0202	A02020600	126.6856118867	34.7919693222		58420
3459087	가야금신조기념관	38	전라남도 영암군 영암읍 기찬랜드로 19-10	20241224113727	20241226133322	17	A02	A0203	A02030400	126.6856118867	34.7919693222		58420
2714140	가야랜드	36	경상남도 김해시 인제로 368 (삼방동)	20210420194949	20250401131958	4	A02	A0202	A02020600	128.8993306204	35.2607025891		50811
2733515	가야산역사신화테마관	35	경상북도 성주군 수륜면 가야산식물원길 17	20210813004227	20250811140153	10	A02	A0202	A02020700	128.1418796034	35.8002612681		40063
250121	가야의 거리	36	경상남도 김해시 구지로 95 (대성동)	20060728090000	20250702172436	4	A02	A0203	A02030600	128.8739750841	35.2392795268		50911
1236556	가야진사	36	경상남도 양산시 원동면 용당들길 43-62	20110321195941	20241107114035	10	A02	A0201	A02010700	128.9023718710	35.3675378711		50586
3337798	가얏고마을	35	경상북도 고령군 대가야읍 정정골길 55	20240725142055	20250305150159	3	A02	A0203	A02030100	128.2607262742	35.7414561912		40132
128132	가오실공원	35	경상북도 예천군 개포면 가곡리	20040510090000	20231110155505	16	A02	A0202	A02020700	128.3508189720	36.6118727137		36844
2788127	가왕 송흥록·국창 박초월 생가	37	전북특별자치도 남원시 운봉읍 비전길 7	20211208012601	20241204102357	4	A02	A0201	A02010500	127.5626899062	35.4575758647		55717
3006493	가우도 모노레일	38	전라남도 강진군 가우도길 2-87	20230816182305	20250812154132	1	A02	A0203	A02030400	126.7847455361	34.5339749368		59251
2514003	가우도 출렁다리	38	전라남도 강진군 도암면 신기리	20171103004852	20250319192718	1	A02	A0205	A02050100	126.7717356912	34.5288669609		59251
3410648	가을동화 감귤밭	39	제주특별자치도 서귀포시 서홍동	20241108145631	20241108145650	3	A02	A0203	A02030100	126.5518123101	33.2556272247		63578
2357441	가인 김병로 생가터	37	전북특별자치도 순창군 복흥면 하리길 160	20161229221055	20241206140542	7	A02	A0201	A02010500	126.9774224423	35.4505693165		56002
2793231	가장마을	37	전북특별자치도 남원시 운봉읍 가장길 4	20211213232419	20250318212819	4	A02	A0203	A02030100	127.5179339854	35.4101221138		55720
128427	가정녹색농촌체험마을	38	전라남도 곡성군 고달면 가정마을길 120	20050422090000	20230516120040	3	A02	A0203	A02030100	127.3712766775	35.2263181024		57547
127956	가조 백두산천지온천	36	경상남도 거창군 가조면 온천길 161	20040127090000	20250317212111	2	A02	A0202	A02020300	128.0229317531	35.6985345364		50118
130523	가족문화센터	7	울산광역시 남구 대공원로 84	20041008090000	20250311164549	2	A02	A0203	A02030400	129.2905556337	35.5319960593		44660
2034446	가창 찐빵 골목	4	대구광역시 달성군 가창면 가창로 1099	20151021001307	20250731155922	3	A02	A0203	A02030600	128.6222232980	35.8027142041		42933
127778	가천 다랭이마을	36	경상남도 남해군 남면 홍현리 남면로 679번길 21	20040129090000	20250626093654	5	A02	A0203	A02030100	127.8943963083	34.7279803963		668-861,21
2785941	가탄마을	36	경상남도 하동군 화개면 탑리	20211206190608	20241227135256	18	A02	A0203	A02030100	127.6380178715	35.1951401371		52303
3006131	가톨릭 목포 성지	38	전라남도 목포시 산정동	20230831163332	20240522163730	8	A02	A0201	A02010900	126.3857937169	34.7996301851		58712
3344437	가파도 소망전망대	39	제주특별자치도 서귀포시 대정읍 가파리	20240807154450	20250110145739	3	A02	A0205	A02050600	126.2688165585	33.1688017961		63514
128418	가파마을	34	충청남도 청양군 대치면 가파로 506-8	20070914090000	20250326152538	13	A02	A0203	A02030100	126.8800510114	36.4978037404		33341
630461	가평 아홉마지기마을	31	경기도 가평군 가평읍 용추로 238	20081001023346	20250315122025	1	A02	A0203	A02030100	127.4877442849	37.8475697154		12408
129285	가평 연인산마을	31	경기도 가평군 북면 백둔로 417-11	20061031090000	20250409135746	1	A02	A0203	A02030100	127.4626644345	37.9014296489		12406
129407	가평 영양잣마을	31	경기도 가평군 상면 축령로 70	20061213090000	20250318190819	1	A02	A0203	A02030100	127.3645382139	37.7741593259		12448
1104176	가평 현충탑	31	경기도 가평군 가평읍 호반로 2540	20101006023757	20250318191023	1	A02	A0205	A02050200	127.5157483134	37.8126354086		12422
3077222	가평군어린이음악놀이터	31	경기도 가평군 가평읍 중앙로 10	20231024103926	20240112142012	1	A02	A0203	A02030400	127.5132759112	37.8264393122		12420
1201082	가평별묘	31	경기도 가평군 설악면 방일리	20110210225513	20250318191243	1	A02	A0201	A02010700	127.4915450327	37.6196823854		12472
1283850	가평학도의용대 참전비	31	경기도 가평군 가평읍 문화로 131	20110520231515	20250722131849	1	A02	A0205	A02050200	127.5085736093	37.8248171919		12416
921096	가평향교	31	경기도 가평군 가평읍 호반로 1660-143	20100113183142	20241113102325	1	A02	A0201	A02010700	127.5133533425	37.7431684422		12430
2783808	가포수변공원	36	경상남도 창원시 마산합포구 가포본동7길 11-13	20211130231853	20250408091640	16	A02	A0202	A02020700	128.5842831951	35.1552892222		51755
2864214	가포해안변공원	36	경상남도 창원시 마산합포구 드림베이대로 361	20221006104642	20240731072844	16	A02	A0202	A02020700	128.5901742863	35.1575501862		51755
736597	가학동지석묘	31	경기도 광명시 가학동	20090520194046	20240808173352	4	A02	A0201	A02010700	126.8568365465	37.4085426445		14339
1959464	가호서원	36	경상남도 진주시 이반성면 용암길 59-2	20141023195955	20240430091426	13	A02	A0201	A02010700	128.3325771223	35.1664473205		52614
2733967	가회동성당	1	서울특별시 종로구 북촌로 57 (가회동)	20210817184103	20250312152659	23	A02	A0201	A02010900	126.9846616856	37.5820858828		03052
2863978	각골공원	31	경기도 안산시 상록구 본오동	20221005155740	20250613092351	15	A02	A0202	A02020700	126.8741021292	37.2914704176		15557
538472	각사산촌생태마을	36	경상남도 합천군 가야면 야천로 101	20080417225018	20250116130934	21	A02	A0203	A02030100	128.1397749758	35.7729976524		50201
127241	각연사(괴산)	33	충청북도 괴산군 칠성면 각연길 451	20030813090000	20250718171214	1	A02	A0201	A02010800	127.9274860663	36.7543041419		28018
125885	각원사	34	충청남도 천안시 동남구 각원사길 245 (안서동)	20031205090000	20250710094144	12	A02	A0201	A02010800	127.1964300734	36.8338567886		31066
1956297	간곡서원	34	충청남도 부여군 임천면 성흥로283번길 31-4	20141015192144	20250319185643	6	A02	A0201	A02010700	126.9083929500	36.1825403583		33220
2763807	간데메공원	1	서울특별시 동대문구 서울시립대로2길 59 (답십리동)	20211027233001	20250711160959	11	A02	A0202	A02020700	127.0490783005	37.5728353382		02595
126792	간성향교	32	강원특별자치도 고성군 간성읍 진부령로 2659	20020510090000	20250625162955	2	A02	A0201	A02010700	128.4389748268	38.3778814721		24727
3483083	간송옛집	1	서울특별시 도봉구 시루봉로 149-18 (방학동)	20250324132519	20250324132532	10	A02	A0201	A02010400	127.0282025819	37.6649464754		01316
129181	간월도 어리굴젓 기념탑	34	충청남도 서산시 부석면 간월도리	20060725090000	20250316214156	7	A02	A0205	A02050200	126.4165120460	36.6097467485		32023
129045	간월도마을	34	충청남도 서산시 부석면 간월도리	20060622090000	20250718090000	7	A02	A0203	A02030100	126.4227029018	36.6192846446		32023
125880	간월암(서산)	34	충청남도 서산시 부석면 간월도1길 119-29	20020408090000	20250619180243	7	A02	A0201	A02010800	126.4114209947	36.6038362307	041-664-6624	32023
2750389	간월호 쉼터공원	34	충청남도 서산시 부석면 창리	20210928185544	20250311092845	7	A02	A0202	A02020700	126.3770097125	36.6229473299		32022
1608562	간재선생유지	37	전북특별자치도 부안군 계화면 양지길 12	20120420194659	20250318212510	6	A02	A0201	A02010700	126.6371856100	35.7943022476		56300
2871546	간절곶소망우체통	7	울산광역시 울주군 서생면 대송리	20221020113347	20240731072014	5	A02	A0205	A02050600	129.3611487843	35.3588057199		45015
126644	간현관광지	32	강원특별자치도 원주시 소금산길 12	20030328090000	20250704174612	9	A02	A0202	A02020700	127.8340575195	37.3646293574		26359
2511669	갈골한과마을 명인의 집	32	강원특별자치도 강릉시 사천면 중앙서로 62	20171018191334	20240827093538	1	A02	A0204	A02040600	128.8432831780	37.8245147710		25434
129024	갈두마을(땅끝마을)	38	전라남도 해남군 송지면 땅끝마을길 82	20060621090000	20250316120821	23	A02	A0203	A02030100	126.5285847288	34.2998052878		59065
2629105	갈두천권역마을	34	충청남도 태안군 원북면 대기길 12-20	20191023022226	20250326131031	14	A02	A0203	A02030100	126.2574770059	36.7988972173		32112
3074319	갈마공원	3	대전광역시 서구 한밭대로 664 (갈마동)	20231129121347	20250512174054	3	A02	A0202	A02020700	127.3721884377	36.3571340745		35227
3447845	갈매구릉산자락길	31	경기도 구리시 산마루로 106 (갈매동)	20241217170141	20250731155316	6	A02	A0203	A02030400	127.1238754676	37.6280830442		11902
3007381	갈매중앙공원	31	경기도 구리시 산마루로 41 (갈매동)	20230905142819	20250731155043	6	A02	A0202	A02020700	127.1185814171	37.6311631455		11901
2749170	갈미한글공원	31	경기도 의왕시 문화예술로 65	20210924201939	20250320110525	24	A02	A0202	A02020700	126.9849674131	37.3780068044		16038
1116925	갈산공원	1	서울특별시 양천구 신정동 162-56	20101026223528	20250624100230	19	A02	A0202	A02020700	126.8684105358	37.5061176314		08104
635593	갈중이(천연염색체험)	39	제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이	20081010200127	20240828095020	3	A02	A0203	A02030200	126.3136584209	33.2351423980		63528
129010	갈천동초가까치구멍집	35	경상북도 영덕군 창수면 장육사길 363	20060619090000	20241029132851	12	A02	A0201	A02010400	129.3218943100	36.5975288568		36402
1577060	갈천서당	36	경상남도 거창군 북상면 송계로 767-34	20120324013740	20241106134125	2	A02	A0201	A02010700	127.8160978214	35.7808909491		50102
1959468	갈천서원	36	경상남도 고성군 대가면 갈천로 620	20141023200356	20250316103735	3	A02	A0201	A02010700	128.2510123914	35.0480785952		52927
3061205	갈현체육공원	2	인천광역시 계양구 황어로 66 (갈현동)	20231128171735	20250527182630	2	A02	A0202	A02020700	126.7285768374	37.5777207077		21002
1114686	감곡매괴성모순례지성당	33	충청북도 음성군 감곡면 성당길 10	20101021190531	20250306110232	6	A02	A0201	A02010900	127.6411569266	37.1213983401		27602
294439	감로암(서울)	1	서울특별시 종로구 율곡로23길 16 (충신동)	20071127005251	20250311172529	23	A02	A0201	A02010800	127.0066515383	37.5753815016		03099
3351911	감못(부지)	35	경상북도 경산시 감못둑길 20 (갑제동)	20240822102815	20241107092047	1	A02	A0202	A02020700	128.7670624312	35.8351021080		38540
3082301	감사공묘역	39	제주특별자치도 제주시 조천읍 함대로 362	20231201180445	20240116160523	4	A02	A0201	A02010700	126.6611469938	33.5129949735		63335
1118418	감삼못공원	4	대구광역시 서구 서대구로3길 43	20101028191433	20250318190326	6	A02	A0202	A02020700	128.5522334637	35.8586426972		41856
2820184	감성공작소	32	강원특별자치도 삼척시 대학로 13-1 (당저동)	20220517144326	20250626144704	4	A02	A0203	A02030400	129.1631079016	37.4423790237		25917
3056401	감수굴 밭담길	39	제주특별자치도 제주시 구좌읍 평대7길 34	20231204110507	20250428175030	4	A02	A0203	A02030100	126.8432807691	33.5310570194		63360
2569511	감악산 출렁다리	31	경기도 파주시 적성면 설마천로 273-9	20181125013058	20250708110629	27	A02	A0205	A02050100	126.9446579202	37.9390158074		10805
2755857	감악산항노화웰니스체험장	36	경상남도 거창군 신원면 연수사길 456	20211013014530	20250311143305	2	A02	A0203	A02030400	127.9199604172	35.5901644033		50153
294441	감응사(경북)	35	경상북도 성주군 월항면 대산1길 234	20071127011221	20241101163900	10	A02	A0201	A02010800	128.3325146302	35.9347328236		40041
2767573	감중공원	2	인천광역시 서구 가정로98번길 18	20211103190015	20250318131811	7	A02	A0202	A02020700	126.6736203249	37.4932378921		22838
294452	감천사(부산)	6	부산광역시 연제구 묘봉산로 40	20071127012214	20250424114002	13	A02	A0201	A02010800	129.0912632411	35.1833036953		47582
2735620	감추사	32	강원특별자치도 동해시 해안로 120	20210820185711	20250324162430	3	A02	A0201	A02010800	129.1265089534	37.5146783131		25779
1254680	갑곶돈대	2	인천광역시 강화군 강화읍 해안동로1366번길 18	20110412020054	20250314100215	1	A02	A0201	A02010200	126.5171140395	37.7335377029		23027
2768133	갑곶순교성지	2	인천광역시 강화군 강화읍 해안동로1366번길 35	20211104194215	20240502111559	1	A02	A0201	A02010900	126.5174945418	37.7341959658		23027
125891	갑사	34	충청남도 공주시 계룡면 갑사로 567-3	20031205090000	20250721142214	1	A02	A0201	A02010800	127.1875769727	36.3650187978		32615
1625103	갑오동학혁명 100주년 기념탑	37	전북특별자치도 정읍시 내장호반로 214	20120509012120	20240604111213	13	A02	A0205	A02050200	126.9002222297	35.5097335146		56199
