contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3015365	가덕도외양포전망대	6	부산광역시 강서구 대항동	20230925164008	20240927145826	1	A02	A0205	A02050600	128.8310519246	35.0017831264		46771
2514003	가우도 출렁다리	38	전라남도 강진군 도암면 신기리	20171103004852	20250319192718	1	A02	A0205	A02050100	126.7717356912	34.5288669609		59251
3344437	가파도 소망전망대	39	제주특별자치도 서귀포시 대정읍 가파리	20240807154450	20250110145739	3	A02	A0205	A02050600	126.2688165585	33.1688017961		63514
1104176	가평 현충탑	31	경기도 가평군 가평읍 호반로 2540	20101006023757	20250318191023	1	A02	A0205	A02050200	127.5157483134	37.8126354086		12422
1283850	가평학도의용대 참전비	31	경기도 가평군 가평읍 문화로 131	20110520231515	20250722131849	1	A02	A0205	A02050200	127.5085736093	37.8248171919		12416
129181	간월도 어리굴젓 기념탑	34	충청남도 서산시 부석면 간월도리	20060725090000	20250316214156	7	A02	A0205	A02050200	126.4165120460	36.6097467485		32023
2871546	간절곶소망우체통	7	울산광역시 울주군 서생면 대송리	20221020113347	20240731072014	5	A02	A0205	A02050600	129.3611487843	35.3588057199		45015
2569511	감악산 출렁다리	31	경기도 파주시 적성면 설마천로 273-9	20181125013058	20250708110629	27	A02	A0205	A02050100	126.9446579202	37.9390158074		10805
1625103	갑오동학혁명 100주년 기념탑	37	전북특별자치도 정읍시 내장호반로 214	20120509012120	20240604111213	13	A02	A0205	A02050200	126.9002222297	35.5097335146		56199
127377	강동예찬시비	1	서울특별시 강동구 구천면로 141 (천호동)	20040227090000	20250717104911	2	A02	A0205	A02050200	127.1207892964	37.5426290283		05246
2721544	강문솟대다리	32	강원특별자치도 강릉시 해안로406번길 2 (강문동)	20210616230937	20250711105843	1	A02	A0205	A02050100	128.9126221751	37.7985635711		25460
128778	강원 경찰충혼탑	32	강원특별자치도 춘천시 서면 신매리	20060209090000	20250319152657	13	A02	A0205	A02050200	127.7130161606	37.9167408445		24460
128824	강화 장정리 오층석탑	2	인천광역시 강화군 하점면 장정리	20060308090000	20240612111724	1	A02	A0205	A02050200	126.4203938355	37.7798472622		23014
631066	강화도제적봉 평화전망대	2	인천광역시 강화군 양사면 전망대로 797	20081002023451	20250313170848	1	A02	A0205	A02050600	126.4329663820	37.8263253898		23012
2761294	개미허리아치교	31	경기도 안산시 단원구 대부북동	20211022201300	20250318153122	15	A02	A0205	A02050100	126.5377106391	37.2867511488		15640
2611154	거가대교	36	경상남도 거제시 장목면 유호리	20190716020519	20250812142744	1	A02	A0205	A02050100	128.7190862459	35.0175820996		53200
2703718	거금대교	38	전라남도 고흥군 도양읍	20210113202732	20250319191456	2	A02	A0205	A02050100	127.1293326451	34.5066976247		59564
3015782	거린사슴전망대	39	제주특별자치도 서귀포시 1100로 791 (대포동)	20230920163532	20241119100700	3	A02	A0205	A02050600	126.4550112359	33.3062367724		63554
3008543	거문대교	38	전라남도 여수시 삼산면 동도리	20230904200351	20250612100650	13	A02	A0205	A02050100	127.3018063143	34.0564312951		59790
2508988	거북선대교	38	전라남도 여수시 종화동	20170926231546	20250316204253	13	A02	A0205	A02050100	127.7495115300	34.7364352647		59746
2704694	거제 우제봉전망대	36	경상남도 거제시 남부면 갈곶리	20210127235450	20250718163706	1	A02	A0205	A02050600	128.6750254917	34.7305356030		53334
2750703	거제 유호리전망대	36	경상남도 거제시 장목면 유호리 산 85-2	20210928223511	20241204100738	1	A02	A0205	A02050600	128.7172948018	35.0151017891		53200
249970	거제대교	36	경상남도 거제시 사등면 덕호해안길 26	20040119090000	20250808131539	1	A02	A0205	A02050100	128.4759526694	34.8830038868		53274
128654	거창 갈계리 삼층석탑	36	경상남도 거창군 북상면 갈계리	20051114090000	20250316162537	2	A02	A0205	A02050200	127.8147003936	35.7931506445		50102
2774556	건봉령승호대	32	강원특별자치도 춘천시 북산면 부귀리 산59-8	20211116004830	20250327104312	13	A02	A0205	A02050600	127.8621819771	37.9555307882		24208
2767585	경인아라뱃길 아라타워 전망대	2	인천광역시 서구 정서진1로 41	20211103191134	20250317175818	7	A02	A0205	A02050600	126.6073967784	37.5584374728		22850
129521	경주 남산 용장사곡 삼층석탑	35	경상북도 경주시 내남면 용장리	20070419090000	20250718152514	2	A02	A0205	A02050200	129.2238155541	35.7805334817		38197
129522	경주 남산동 동ㆍ서 삼층석탑	35	경상북도 경주시 남산동	20070420090000	20250314093053	2	A02	A0205	A02050200	129.2438078898	35.7931268829		38174
2603500	경주 양남 주상절리 전망대	35	경상북도 경주시 양남면 동해안로 498-13	20190528023832	20250722131717	2	A02	A0205	A02050600	129.4719020226	35.6890734835		38219
128682	경주 장항리 서 오층석탑	35	경상북도 경주시 문무대왕면 장항리	20051122090000	20240903140354	2	A02	A0205	A02050200	129.3730609851	35.7749424906		38120
231891	경주 정혜사지 십삼층석탑	35	경상북도 경주시 안강읍 옥산리	20071004090000	20241024164850	2	A02	A0205	A02050200	129.1577284330	36.0191025015		38000
250269	경주능지탑지	35	경상북도 경주시 능말길 38-6	20071018090000	20241030105155	2	A02	A0205	A02050200	129.2398434127	35.8259869891		38174
1826438	경찰혼	1	서울특별시 영등포구 국회대로 608 (당산동3가)	20130710015447	20250731142143	20	A02	A0205	A02050200	126.9015402823	37.5262992108		07258
126879	고경명선생비	34	충청남도 금산군 금성면 양전리	20020513090000	20250316220145	2	A02	A0205	A02050200	127.4733190694	36.1229459521		32708
2703743	고군산대교	37	전북특별자치도 군산시 옥도면	20210114002700	20250611175426	2	A02	A0205	A02050100	126.4443606944	35.8130885149		54000
1826457	고당조만식선생동상	1	서울특별시 광진구 능동로 216	20130710020447	20250730102353	6	A02	A0205	A02050400	127.0771625000	37.5500801547		04991
2366500	고산골	4	대구광역시 남구 고산3길 95-1	20160204200133	20250315151147	1	A02	A0205	A02050600	128.6007580634	35.8191841675		42502
128171	고성 통일전망타워	32	강원특별자치도 고성군 현내면 금강산로 481	20040610090000	20250731135000	2	A02	A0205	A02050600	128.4173974953	38.5147706205		24702
2706019	고하도 전망대	38	전라남도 목포시 고하도안길 234 (달동)	20210215234729	20250731133718	8	A02	A0205	A02050600	126.3592243617	34.7779821890		58762
1827189	고하송진우선생동상	1	서울특별시 광진구 능동로 216 (능동)	20130711223757	20250610100630	6	A02	A0205	A02050400	127.0762792676	37.5493552228		04991
1608625	고홍건신도비	37	전북특별자치도 부안군 하서면 석불산길 138	20120420221151	20250812110227	6	A02	A0205	A02050200	126.6418424751	35.7267128018		56331
2380835	고흥우주발사전망대	38	전라남도 고흥군 영남면 남열리	20160427034204	20250325153922	2	A02	A0205	A02050600	127.4923183873	34.5850366731		59521
3090542	공업탑	7	울산광역시 남구 신정동	20231211115835	20240129164635	2	A02	A0205	A02050600	129.3093427530	35.5366264476		44685
129665	관음사석탑	34	충청남도 아산시 영인면 영인로96번길 16-6	20070813090000	20250316201130	9	A02	A0205	A02050200	126.9521819903	36.8583635261		31432
753747	광개토태왕비ㆍ동상	31	경기도 구리시 장자대로 34	20090617005233	20250327095337	6	A02	A0205	A02050400	127.1309204428	37.5870296093		11949
2633915	광교 프라이부르크전망대	31	경기도 수원시 영통구 광교호수로 127 (하동)	20191107224108	20250611111543	13	A02	A0205	A02050600	127.0660072256	37.2807250828		16514
127061	광주 3·1 만세운동 기념비	5	광주광역시 남구 백서로 13	20020510090000	20250807101133	2	A02	A0205	A02050200	126.9096947007	35.1367619930		61643
128158	광주 경찰충혼탑	5	광주광역시 남구 사직길 49	20040602090000	20250321144114	2	A02	A0205	A02050200	126.9155968119	35.1425419960		61638
1621388	광주지산동오층석탑	5	광주광역시 동구 지산동	20120503205245	20250807134436	3	A02	A0205	A02050200	126.9330145565	35.1489387907		61444
1366921	광진교 8번가	1	서울특별시 강동구 구천면로 77	20110819021516	20250331150334	2	A02	A0205	A02050600	127.1141592915	37.5444759163		05250
3094518	광통교	1	서울특별시 종로구 서린동	20240202155541	20240202155603	23	A02	A0205	A02050100	126.9811151529	37.5691539885		03188
791770	괴산 보안사 삼층석탑	33	충청북도 괴산군 청안면 효근1길 23	20090903022444	20241007105507	1	A02	A0205	A02050200	127.6554881414	36.7573071731		28051
1435934	괴산 봉학사지 오층석탑	33	충청북도 괴산군 사리면 사담리	20111114200443	20250316125323	1	A02	A0205	A02050200	127.6684185993	36.8184476059		28046
1434663	괴산 삼방리 삼층석탑	33	충청북도 괴산군 불정면 삼방연지길 49	20111111231314	20241031154035	1	A02	A0205	A02050200	127.8101775887	36.9344951828		28000
129554	구리타워	31	경기도 구리시 왕숙천로 49	20070514090000	20250319114043	6	A02	A0205	A02050600	127.1609426580	37.5888216106		11960
2615560	구봉도 낙조전망대	31	경기도 안산시 단원구 구봉타운길 43	20190817011236	20250318130657	15	A02	A0205	A02050600	126.5345192221	37.2882592514		15639
2654617	구봉산 전망대	38	전라남도 광양시 구봉산전망대길 155	20200428194302	20250326142546	4	A02	A0205	A02050600	127.6427324447	34.9365220881		57769
228867	구천댐(구천저수지)	36	경상남도 거제시 동부면 구천리	20040608090000	20250317131408	1	A02	A0205	A02050600	128.6340765597	34.8247326845		53332
1590895	국사봉전망대	37	전북특별자치도 임실군 운암면 국사봉로 512	20120404015148	20250804125750	10	A02	A0205	A02050600	127.1379977612	35.6402505620		55904
126827	국회의사당	1	서울특별시 영등포구 의사당대로 1	20030405090000	20240521104438	20	A02	A0205	A02050600	126.9142167446	37.5319710006		07233
917032	군산 발산리 오층석탑	37	전북특별자치도 군산시 개정면 바르메길 43	20100108202810	20240614165115	2	A02	A0205	A02050200	126.7958894224	35.9587417615		54065
914536	군산 해망굴	37	전북특별자치도 군산시 군산창2길 48	20100106200526	20240517152709	2	A02	A0205	A02050500	126.7047828394	35.9911698337		54018
2638519	군위 화산산성 전망대	4	대구광역시 군위군 삼국유사면 화북리	20191125201229	20250610150611	9	A02	A0205	A02050600	128.7845256945	36.0985448169		43157
126876	권율장군 이치대첩비	34	충청남도 금산군 진산면 대둔산로 191	20020513090000	20250121113724	2	A02	A0205	A02050200	127.3531212020	36.1323094258		32704
790307	권충민공순절비	34	충청남도 금산군 제원면 저곡리	20090901180606	20250316144002	2	A02	A0205	A02050200	127.5665361272	36.1095241376		32720
3080478	그리움이 물들면	36	경상남도 사천시 대포동	20240111164136	20250804165500	8	A02	A0205	A02050600	128.0393158086	34.9883009915		52546
2841299	그리팅맨	31	경기도 연천군 군남면 옥계리	20220823101922	20250702091129	21	A02	A0205	A02050600	127.0334166773	38.1227570607		11005
2714817	금강보행교	8	세종특별자치시 보람동	20210429021304	20250722154835	1	A02	A0205	A02050100	127.2873176539	36.4817460765		30151
2385045	금강산전기철도교량	32	강원특별자치도 철원군 철원읍 평화로 3591	20160525012206	20250313153808	12	A02	A0205	A02050100	127.1663088494	38.2575770502		24000
129696	금곡사삼층석탑	38	전라남도 강진군 군동면 까치내로 261-21	20070828090000	20241104151956	1	A02	A0205	A02050200	126.7773457532	34.6664321757		59221
2759618	금오산전망대	36	경상남도 하동군 금남면 경충로 493-223	20211020190914	20240529150251	18	A02	A0205	A02050600	127.8709915620	34.9920337230		52351
2754979	급치산전망대	38	전라남도 진도군 지산면 지산로 160-60	20211008193540	20250328134718	21	A02	A0205	A02050600	126.1001392140	34.4118608191		58952
1623698	기미3.1운동비	37	전북특별자치도 장수군 비행로 82-4	20120507190751	20250319190539	11	A02	A0205	A02050200	127.4018480026	35.5857668766		55647
1623735	김남택신도비	37	전북특별자치도 장수군 계남면 원호덕길 79	20120507194325	20241105135634	11	A02	A0205	A02050200	127.5905252250	35.7106476938		55622
2703754	김대중대교	38	전라남도 신안군 압해읍	20210114010313	20250316220208	12	A02	A0205	A02050100	126.3362510258	34.9086420861		58820
1942245	김민부전망대	6	부산광역시 동구 영초윗길26번길 11	20140819233838	20241017091512	5	A02	A0205	A02050200	129.0352504641	35.1177100066		48808
