contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
1104176	가평 현충탑	31	경기도 가평군 가평읍 호반로 2540	20101006023757	20250318191023	1	A02	A0205	A02050200	127.5157483134	37.8126354086		12422
1283850	가평학도의용대 참전비	31	경기도 가평군 가평읍 문화로 131	20110520231515	20250722131849	1	A02	A0205	A02050200	127.5085736093	37.8248171919		12416
129181	간월도 어리굴젓 기념탑	34	충청남도 서산시 부석면 간월도리	20060725090000	20250316214156	7	A02	A0205	A02050200	126.4165120460	36.6097467485		32023
1625103	갑오동학혁명 100주년 기념탑	37	전북특별자치도 정읍시 내장호반로 214	20120509012120	20240604111213	13	A02	A0205	A02050200	126.9002222297	35.5097335146		56199
127377	강동예찬시비	1	서울특별시 강동구 구천면로 141 (천호동)	20040227090000	20250717104911	2	A02	A0205	A02050200	127.1207892964	37.5426290283		05246
128778	강원 경찰충혼탑	32	강원특별자치도 춘천시 서면 신매리	20060209090000	20250319152657	13	A02	A0205	A02050200	127.7130161606	37.9167408445		24460
128824	강화 장정리 오층석탑	2	인천광역시 강화군 하점면 장정리	20060308090000	20240612111724	1	A02	A0205	A02050200	126.4203938355	37.7798472622		23014
128654	거창 갈계리 삼층석탑	36	경상남도 거창군 북상면 갈계리	20051114090000	20250316162537	2	A02	A0205	A02050200	127.8147003936	35.7931506445		50102
129521	경주 남산 용장사곡 삼층석탑	35	경상북도 경주시 내남면 용장리	20070419090000	20250718152514	2	A02	A0205	A02050200	129.2238155541	35.7805334817		38197
129522	경주 남산동 동ㆍ서 삼층석탑	35	경상북도 경주시 남산동	20070420090000	20250314093053	2	A02	A0205	A02050200	129.2438078898	35.7931268829		38174
128682	경주 장항리 서 오층석탑	35	경상북도 경주시 문무대왕면 장항리	20051122090000	20240903140354	2	A02	A0205	A02050200	129.3730609851	35.7749424906		38120
231891	경주 정혜사지 십삼층석탑	35	경상북도 경주시 안강읍 옥산리	20071004090000	20241024164850	2	A02	A0205	A02050200	129.1577284330	36.0191025015		38000
250269	경주능지탑지	35	경상북도 경주시 능말길 38-6	20071018090000	20241030105155	2	A02	A0205	A02050200	129.2398434127	35.8259869891		38174
1826438	경찰혼	1	서울특별시 영등포구 국회대로 608 (당산동3가)	20130710015447	20250731142143	20	A02	A0205	A02050200	126.9015402823	37.5262992108		07258
126879	고경명선생비	34	충청남도 금산군 금성면 양전리	20020513090000	20250316220145	2	A02	A0205	A02050200	127.4733190694	36.1229459521		32708
1608625	고홍건신도비	37	전북특별자치도 부안군 하서면 석불산길 138	20120420221151	20250812110227	6	A02	A0205	A02050200	126.6418424751	35.7267128018		56331
129665	관음사석탑	34	충청남도 아산시 영인면 영인로96번길 16-6	20070813090000	20250316201130	9	A02	A0205	A02050200	126.9521819903	36.8583635261		31432
127061	광주 3·1 만세운동 기념비	5	광주광역시 남구 백서로 13	20020510090000	20250807101133	2	A02	A0205	A02050200	126.9096947007	35.1367619930		61643
128158	광주 경찰충혼탑	5	광주광역시 남구 사직길 49	20040602090000	20250321144114	2	A02	A0205	A02050200	126.9155968119	35.1425419960		61638
1621388	광주지산동오층석탑	5	광주광역시 동구 지산동	20120503205245	20250807134436	3	A02	A0205	A02050200	126.9330145565	35.1489387907		61444
791770	괴산 보안사 삼층석탑	33	충청북도 괴산군 청안면 효근1길 23	20090903022444	20241007105507	1	A02	A0205	A02050200	127.6554881414	36.7573071731		28051
1435934	괴산 봉학사지 오층석탑	33	충청북도 괴산군 사리면 사담리	20111114200443	20250316125323	1	A02	A0205	A02050200	127.6684185993	36.8184476059		28046
1434663	괴산 삼방리 삼층석탑	33	충청북도 괴산군 불정면 삼방연지길 49	20111111231314	20241031154035	1	A02	A0205	A02050200	127.8101775887	36.9344951828		28000
917032	군산 발산리 오층석탑	37	전북특별자치도 군산시 개정면 바르메길 43	20100108202810	20240614165115	2	A02	A0205	A02050200	126.7958894224	35.9587417615		54065
126876	권율장군 이치대첩비	34	충청남도 금산군 진산면 대둔산로 191	20020513090000	20250121113724	2	A02	A0205	A02050200	127.3531212020	36.1323094258		32704
790307	권충민공순절비	34	충청남도 금산군 제원면 저곡리	20090901180606	20250316144002	2	A02	A0205	A02050200	127.5665361272	36.1095241376		32720
129696	금곡사삼층석탑	38	전라남도 강진군 군동면 까치내로 261-21	20070828090000	20241104151956	1	A02	A0205	A02050200	126.7773457532	34.6664321757		59221
1623698	기미3.1운동비	37	전북특별자치도 장수군 비행로 82-4	20120507190751	20250319190539	11	A02	A0205	A02050200	127.4018480026	35.5857668766		55647
1623735	김남택신도비	37	전북특별자치도 장수군 계남면 원호덕길 79	20120507194325	20241105135634	11	A02	A0205	A02050200	127.5905252250	35.7106476938		55622
1942245	김민부전망대	6	부산광역시 동구 영초윗길26번길 11	20140819233838	20241017091512	5	A02	A0205	A02050200	129.0352504641	35.1177100066		48808
1586261	김복규·김기종 효자 정려비 및 정판	37	전북특별자치도 임실군 임실읍 임삼로 1590-20	20120330195005	20241105154853	10	A02	A0205	A02050200	127.2631433957	35.5946579003		55932
128816	김상용순절비	2	인천광역시 강화군 강화읍 관청리	20060308090000	20241210092618	1	A02	A0205	A02050200	126.4848665784	37.7484326191		23031
1584139	김육불망비	37	전북특별자치도 익산시 함라면 수동길 8	20120329185852	20241105141641	9	A02	A0205	A02050200	126.9108820318	36.0610403971		54502
129284	김제남 신도비	32	강원특별자치도 원주시 지정면 흥법사지길 18	20061030090000	20250312170922	9	A02	A0205	A02050200	127.8208871289	37.3425150029		26359
129553	나만갑선생신도비	31	경기도 구리시 사노동	20070514090000	20240823160103	6	A02	A0205	A02050200	127.1358880788	37.6344686302		11905
