contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2514003	가우도 출렁다리	38	전라남도 강진군 도암면 신기리	20171103004852	20250319192718	1	A02	A0205	A02050100	126.7717356912	34.5288669609		59251
2569511	감악산 출렁다리	31	경기도 파주시 적성면 설마천로 273-9	20181125013058	20250708110629	27	A02	A0205	A02050100	126.9446579202	37.9390158074		10805
2721544	강문솟대다리	32	강원특별자치도 강릉시 해안로406번길 2 (강문동)	20210616230937	20250711105843	1	A02	A0205	A02050100	128.9126221751	37.7985635711		25460
2761294	개미허리아치교	31	경기도 안산시 단원구 대부북동	20211022201300	20250318153122	15	A02	A0205	A02050100	126.5377106391	37.2867511488		15640
2611154	거가대교	36	경상남도 거제시 장목면 유호리	20190716020519	20250812142744	1	A02	A0205	A02050100	128.7190862459	35.0175820996		53200
2703718	거금대교	38	전라남도 고흥군 도양읍	20210113202732	20250319191456	2	A02	A0205	A02050100	127.1293326451	34.5066976247		59564
3008543	거문대교	38	전라남도 여수시 삼산면 동도리	20230904200351	20250612100650	13	A02	A0205	A02050100	127.3018063143	34.0564312951		59790
2508988	거북선대교	38	전라남도 여수시 종화동	20170926231546	20250316204253	13	A02	A0205	A02050100	127.7495115300	34.7364352647		59746
249970	거제대교	36	경상남도 거제시 사등면 덕호해안길 26	20040119090000	20250808131539	1	A02	A0205	A02050100	128.4759526694	34.8830038868		53274
2703743	고군산대교	37	전북특별자치도 군산시 옥도면	20210114002700	20250611175426	2	A02	A0205	A02050100	126.4443606944	35.8130885149		54000
3094518	광통교	1	서울특별시 종로구 서린동	20240202155541	20240202155603	23	A02	A0205	A02050100	126.9811151529	37.5691539885		03188
2714817	금강보행교	8	세종특별자치시 보람동	20210429021304	20250722154835	1	A02	A0205	A02050100	127.2873176539	36.4817460765		30151
2385045	금강산전기철도교량	32	강원특별자치도 철원군 철원읍 평화로 3591	20160525012206	20250313153808	12	A02	A0205	A02050100	127.1663088494	38.2575770502		24000
2703754	김대중대교	38	전라남도 신안군 압해읍	20210114010313	20250316220208	12	A02	A0205	A02050100	126.3362510258	34.9086420861		58820
2032165	꽃게다리	34	충청남도 태안군 안면읍 창기리	20151002234452	20250529095356	14	A02	A0205	A02050100	126.3144107472	36.5874475719		32161
3056661	낙강교	35	경상북도 상주시 중동면 회상리	20231201152248	20250811111123	9	A02	A0205	A02050100	128.2569539318	36.4578219106		37245
3060346	남지철교	36	경상남도 창녕군 남지읍 남지리	20230926095427	20241125171311	15	A02	A0205	A02050100	128.4796250208	35.3860391686		50355
249950	남해대교	36	경상남도 남해군 설천면	20040129090000	20241206132054	5	A02	A0205	A02050100	127.8717955718	34.9416616133		52400
2657135	낭도대교(여수)	38	전라남도 여수시 화정면	20200525185123	20250316220433	13	A02	A0205	A02050100	127.5441822888	34.6253580492		59781
2714510	논산 탑정호 출렁다리	34	충청남도 논산시 부적면 신풍리	20210424020213	20250316123530	3	A02	A0205	A02050100	127.1589150011	36.1817448126		32916
2728939	대왕암공원 출렁다리	7	울산광역시 동구 등대로 95	20210730221412	20250312151537	3	A02	A0205	A02050100	129.4352775223	35.4904034587		44058
2616177	대황강출렁다리	38	전라남도 곡성군 죽곡면 대황강로 802	20190821015432	20250319184447	3	A02	A0205	A02050100	127.3188443840	35.1491647895		57549
3067422	덕암교	34	충청남도 천안시 동남구 광덕면 대덕리	20231213113412	20250410104823	12	A02	A0205	A02050100	127.0914155492	36.6953653061		31218
2994172	도덕산 출렁다리	31	경기도 광명시 광명동	20230717175549	20240829161522	4	A02	A0205	A02050100	126.8597151908	37.4674525228		14202
2508502	돌산대교	38	전라남도 여수시 돌산읍 돌산로 3617-7	20170923020926	20250319191506	13	A02	A0205	A02050100	127.7371127721	34.7302246350		59768
2703775	동백대교	37	전북특별자치도 군산시 금동	20210114014659	20250306132028	2	A02	A0205	A02050100	126.7059770945	35.9943500462		54018
2657137	둔병대교(여수)	38	전라남도 여수시 화정면 조발리	20200525185549	20250315145717	13	A02	A0205	A02050100	127.5555617183	34.6305493301		59781
2633942	마장호수 출렁다리	31	경기도 파주시 광탄면 기산로 313	20191107224658	20250804110629	27	A02	A0205	A02050100	126.9280169842	37.7729265443		10953
753558	마포대교	1	서울특별시 마포구 마포동	20090616203942	20241010185654	13	A02	A0205	A02050100	126.9418446559	37.5364709722		04175
2714735	만년교	36	경상남도 창녕군 영산면 원다리길 42	20210428032013	20240520092500	15	A02	A0205	A02050100	128.5296521436	35.4533102803		50348
2656474	목포대교	38	전라남도 목포시 고하대로597번길 73	20200518182357	20250326135846	8	A02	A0205	A02050100	126.3604293086	34.7988937425		58625
2703786	무녀교	37	전북특별자치도 군산시 옥도면	20210114190113	20250307100629	2	A02	A0205	A02050100	126.4441357079	35.8133357050		54000
2900711	무릉교	36	경상남도 산청군 금서면 특리	20221107171136	20240709163006	9	A02	A0205	A02050100	127.8283447971	35.4365995769		52229
250129	무섬 외나무다리	35	경상북도 영주시 문수면 무섬로234번길 31-12	20060728090000	20250807091338	14	A02	A0205	A02050100	128.6217469615	36.7309391651		36173
2657714	무한의다리	38	전라남도 신안군 자은면	20200529185604	20250316213643	12	A02	A0205	A02050100	126.0612640185	34.9193141812		58828
3067855	미르샘 다리	37	전북특별자치도 정읍시 신정동	20231213154931	20250108135907	13	A02	A0205	A02050100	126.8570260890	35.5088412140		56212
3026405	방축도 출렁 다리	37	전북특별자치도 군산시 옥도면 말도리	20231025152156	20241211094336	2	A02	A0205	A02050100	126.3725356500	35.8491720807		54000
250166	방화대교	1	서울특별시 강서구 방화동로 61 (방화동)	20060731090000	20241024160810	4	A02	A0205	A02050100	126.8122361958	37.5660513299		07615
2765238	배꼽다리	31	경기도 동두천시 탑신로 170	20211101190051	20250326170355	10	A02	A0205	A02050100	127.1116994456	37.8954017010		11322
3448062	백제교	34	충청남도 부여군 부여읍 동남리	20241218093640	20250315151153	6	A02	A0205	A02050100	126.8946139323	36.2762460631		33149
3404355	보현산댐 출렁다리	35	경상북도 영천시 화북면 입석리	20241101150435	20250319191644	15	A02	A0205	A02050100	128.9477797012	36.1350909545		38812
3346734	봉명산 출렁다리	35	경상북도 문경시 문경읍 온천강변1길 27	20240812173914	20250305152855	7	A02	A0205	A02050100	128.1104926847	36.7271995043		36920
2674968	봉화선유교	35	경상북도 봉화군 명호면 고계리	20201007043541	20241210200051	8	A02	A0205	A02050100	128.8905258437	36.8247474191		36254
