contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3345823	남당항 해양분수공원	34	충청남도 홍성군 서부면 남당항로 171	20240809162151	20250316121638	15	A02	A0205	A02050300	126.4761863320	36.5377616112		32206
2738691	내장산 워터파크	37	전북특별자치도 정읍시 내장호반로 37	20210901193242	20250718153443	13	A02	A0205	A02050300	126.8973999766	35.5207877681		56199
2744496	노래하는분수대	31	경기도 고양시 일산동구 호수로 595 (장항동)	20210914225938	20250730170731	2	A02	A0205	A02050300	126.7689209714	37.6553373919		10400
769761	다대포 꿈의 낙조분수	6	부산광역시 사하구 몰운대1길 14 (다대동)	20090723224818	20250714175656	10	A02	A0205	A02050300	128.9680471374	35.0463945293		49527
126766	도담삼봉 음악분수	33	충청북도 단양군 매포읍 삼봉로 644-13	20020422090000	20250730142733	2	A02	A0205	A02050300	128.3417752212	37.0007696372		27008
2733852	물빛광장	1	서울특별시 영등포구 한강남자전거길 1451 (여의도동)	20210813193630	20250619105114	20	A02	A0205	A02050300	126.9277599856	37.5309019230		07240
729167	반포대교 달빛무지개분수	1	서울특별시 서초구 반포동	20090428223804	20250731194756	15	A02	A0205	A02050300	126.9985151666	37.5126525328		06500
2758638	방축천 음악분수	8	세종특별자치시 어진동	20211019020239	20250520213454	1	A02	A0205	A02050300	127.2542174261	36.4971465024		30121
2736685	석문 국가산업단지 음악분수대	34	충청남도 당진시 석문면 석문방조제로 1755	20210826194953	20250318214123	4	A02	A0205	A02050300	126.5796084454	37.0235268152		31702
127944	음악분수 휴게광장	36	경상남도 통영시 도남동	20040107090000	20240619134810	17	A02	A0205	A02050300	128.4339105684	34.8275510023		53079
129497	진주 음악분수대	36	경상남도 진주시 남강로 542	20070328090000	20240612090246	13	A02	A0205	A02050300	128.0756546747	35.1856877942		52693
2604885	춤추는 바다분수	38	전라남도 목포시 미항로 115	20190603223452	20250718155532	8	A02	A0205	A02050300	126.4306953255	34.7987976814		58750
2738064	평화분수	35	경상북도 칠곡군 왜관읍 왜관리	20210831230849	20250317130850	22	A02	A0205	A02050300	128.3959239148	35.9989433662		39889
2783060	BIG-O쇼 (빅오쇼)	38	전라남도 여수시 박람회길 1	20211130003920	20240725132304	13	A02	A0205	A02050300	127.7465197232	34.7522251119		59723
