contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3015365	가덕도외양포전망대	6	부산광역시 강서구 대항동	20230925164008	20240927145826	1	A02	A0205	A02050600	128.8310519246	35.0017831264		46771
3344437	가파도 소망전망대	39	제주특별자치도 서귀포시 대정읍 가파리	20240807154450	20250110145739	3	A02	A0205	A02050600	126.2688165585	33.1688017961		63514
2871546	간절곶소망우체통	7	울산광역시 울주군 서생면 대송리	20221020113347	20240731072014	5	A02	A0205	A02050600	129.3611487843	35.3588057199		45015
631066	강화도제적봉 평화전망대	2	인천광역시 강화군 양사면 전망대로 797	20081002023451	20250313170848	1	A02	A0205	A02050600	126.4329663820	37.8263253898		23012
3015782	거린사슴전망대	39	제주특별자치도 서귀포시 1100로 791 (대포동)	20230920163532	20241119100700	3	A02	A0205	A02050600	126.4550112359	33.3062367724		63554
2704694	거제 우제봉전망대	36	경상남도 거제시 남부면 갈곶리	20210127235450	20250718163706	1	A02	A0205	A02050600	128.6750254917	34.7305356030		53334
2750703	거제 유호리전망대	36	경상남도 거제시 장목면 유호리 산 85-2	20210928223511	20241204100738	1	A02	A0205	A02050600	128.7172948018	35.0151017891		53200
2774556	건봉령승호대	32	강원특별자치도 춘천시 북산면 부귀리 산59-8	20211116004830	20250327104312	13	A02	A0205	A02050600	127.8621819771	37.9555307882		24208
2767585	경인아라뱃길 아라타워 전망대	2	인천광역시 서구 정서진1로 41	20211103191134	20250317175818	7	A02	A0205	A02050600	126.6073967784	37.5584374728		22850
2603500	경주 양남 주상절리 전망대	35	경상북도 경주시 양남면 동해안로 498-13	20190528023832	20250722131717	2	A02	A0205	A02050600	129.4719020226	35.6890734835		38219
2366500	고산골	4	대구광역시 남구 고산3길 95-1	20160204200133	20250315151147	1	A02	A0205	A02050600	128.6007580634	35.8191841675		42502
128171	고성 통일전망타워	32	강원특별자치도 고성군 현내면 금강산로 481	20040610090000	20250731135000	2	A02	A0205	A02050600	128.4173974953	38.5147706205		24702
2706019	고하도 전망대	38	전라남도 목포시 고하도안길 234 (달동)	20210215234729	20250731133718	8	A02	A0205	A02050600	126.3592243617	34.7779821890		58762
2380835	고흥우주발사전망대	38	전라남도 고흥군 영남면 남열리	20160427034204	20250325153922	2	A02	A0205	A02050600	127.4923183873	34.5850366731		59521
3090542	공업탑	7	울산광역시 남구 신정동	20231211115835	20240129164635	2	A02	A0205	A02050600	129.3093427530	35.5366264476		44685
2633915	광교 프라이부르크전망대	31	경기도 수원시 영통구 광교호수로 127 (하동)	20191107224108	20250611111543	13	A02	A0205	A02050600	127.0660072256	37.2807250828		16514
1366921	광진교 8번가	1	서울특별시 강동구 구천면로 77	20110819021516	20250331150334	2	A02	A0205	A02050600	127.1141592915	37.5444759163		05250
129554	구리타워	31	경기도 구리시 왕숙천로 49	20070514090000	20250319114043	6	A02	A0205	A02050600	127.1609426580	37.5888216106		11960
2615560	구봉도 낙조전망대	31	경기도 안산시 단원구 구봉타운길 43	20190817011236	20250318130657	15	A02	A0205	A02050600	126.5345192221	37.2882592514		15639
2654617	구봉산 전망대	38	전라남도 광양시 구봉산전망대길 155	20200428194302	20250326142546	4	A02	A0205	A02050600	127.6427324447	34.9365220881		57769
228867	구천댐(구천저수지)	36	경상남도 거제시 동부면 구천리	20040608090000	20250317131408	1	A02	A0205	A02050600	128.6340765597	34.8247326845		53332
1590895	국사봉전망대	37	전북특별자치도 임실군 운암면 국사봉로 512	20120404015148	20250804125750	10	A02	A0205	A02050600	127.1379977612	35.6402505620		55904
126827	국회의사당	1	서울특별시 영등포구 의사당대로 1	20030405090000	20240521104438	20	A02	A0205	A02050600	126.9142167446	37.5319710006		07233
2638519	군위 화산산성 전망대	4	대구광역시 군위군 삼국유사면 화북리	20191125201229	20250610150611	9	A02	A0205	A02050600	128.7845256945	36.0985448169		43157
3080478	그리움이 물들면	36	경상남도 사천시 대포동	20240111164136	20250804165500	8	A02	A0205	A02050600	128.0393158086	34.9883009915		52546
2841299	그리팅맨	31	경기도 연천군 군남면 옥계리	20220823101922	20250702091129	21	A02	A0205	A02050600	127.0334166773	38.1227570607		11005
2759618	금오산전망대	36	경상남도 하동군 금남면 경충로 493-223	20211020190914	20240529150251	18	A02	A0205	A02050600	127.8709915620	34.9920337230		52351
2754979	급치산전망대	38	전라남도 진도군 지산면 지산로 160-60	20211008193540	20250328134718	21	A02	A0205	A02050600	126.1001392140	34.4118608191		58952
3008466	끝등 전망대	38	전라남도 여수시 돌산읍 금성리	20230904195050	20250609175000	13	A02	A0205	A02050600	127.7749769530	34.5881578476		59777
2782619	낙동강철교전망대	36	경상남도 김해시 생림면 마사로 476	20211129193424	20250407112756	4	A02	A0205	A02050600	128.8234702240	35.3751161224		50800
3027444	낙조정	6	부산광역시 사하구 낙동남로 1169 (하단동)	20231030094655	20250408090426	10	A02	A0205	A02050600	128.9394840158	35.1096647018		49300
2755474	난정리 전망대	2	인천광역시 강화군 교동면 난정리 729	20211012185550	20250314133732	1	A02	A0205	A02050600	126.2294947954	37.7762804449		23003
3065226	남당 노을 전망대	34	충청남도 홍성군 서부면 남당리	20231211112324	20250408113314	15	A02	A0205	A02050600	126.4652510537	36.5435968637		32206
1603336	남산 팔각정	1	서울특별시 중구 예장동 8-1	20120416231413	20250416102356	24	A02	A0205	A02050600	126.9876206116	37.5516394747		04628
126535	남산서울타워	1	서울특별시 용산구 남산공원길 105	20021031090000	20250723150350	21	A02	A0205	A02050600	126.9878983791	37.5511089858		04340
2616157	남서일몰전망대	35	경상북도 울릉군 서면 남서리	20190821005205	20250107130847	17	A02	A0205	A02050600	130.8322392102	37.4681514412		40234
2913903	남애항 스카이워크 전망대	32	강원특별자치도 양양군 현남면 매바위길 138	20221107193114	20240731072435	7	A02	A0205	A02050600	128.7868845282	37.9451191407		25057
2639965	남해보물섬전망대	36	경상남도 남해군 삼동면 동부대로 720	20191209191238	20250319171214	5	A02	A0205	A02050600	128.0534091289	34.7698479386		52447
2616076	내수전일출전망대	35	경상북도 울릉군 울릉읍 저동4길 476	20190820021744	20241114154609	17	A02	A0205	A02050600	130.9083115856	37.5126201626		40214
2414735	노을이 물드는 언덕	36	경상남도 거제시 사등면 가조로 565	20160909232843	20240610095900	1	A02	A0205	A02050600	128.5187164768	34.9552354597		53273
2788424	누리바라기전망대	6	부산광역시 서구 남부민동 50-40	20211208022919	20250306165928	11	A02	A0205	A02050600	129.0203302731	35.0907988546		49259
2748755	느러지전망관람대	38	전라남도 나주시 동강면 동강로 307-194	20210924182746	20250325155046	6	A02	A0205	A02050600	126.5416327050	34.9151419552		58294
2742212	달성보전망대	4	대구광역시 달성군 논공읍 비슬로 1193	20210909221646	20250307134623	3	A02	A0205	A02050600	128.4202456845	35.7365485378		42976
2774282	달전망대	31	경기도 안산시 단원구 대부황금로 1927	20211115184056	20250318151122	15	A02	A0205	A02050600	126.6095617122	37.3128799318		15637
2767790	답다니탑망대	39	제주특별자치도 제주시 우도면 우도해안길 602	20211103230548	20241112143731	4	A02	A0205	A02050600	126.9525853309	33.5244567430		63365
2948095	대장봉 전망대	37	전북특별자치도 군산시 옥도면 대장도리	20230208101346	20240523154642	2	A02	A0205	A02050600	126.3945094848	35.8175427247		54000
127663	대청댐	3	대전광역시 대덕구 대청로 618-136	20020916090000	20250730110935	1	A02	A0205	A02050600	127.4815115699	36.4743753786		34316
2769599	대청댐 전망대	33	충청북도 청주시 상당구 문의면 대청호반로 206	20211108194130	20250318215348	10	A02	A0205	A02050600	127.4842389650	36.4794248491		28206
2710895	대포항 전망대	32	강원특별자치도 속초시 대포항1길 16-8	20210324224007	20240522153737	5	A02	A0205	A02050600	128.6061992595	38.1760054678	033-639-2354	24901
2744553	대항전망대	6	부산광역시 강서구 대항동 산1-4	20210915001944	20250520101243	1	A02	A0205	A02050600	128.8251214716	35.0171590759		46771
2350092	더베이101	6	부산광역시 해운대구 동백로 52	20151217200726	20250418100144	16	A02	A0205	A02050600	129.1520975710	35.1566216976		48100
2737304	덕유산국립공원 적상전망대	37	전북특별자치도 무주군 적상면 북창리	20210830192953	20250718145603	5	A02	A0205	A02050600	127.6985201886	35.9564439155		55528
3056754	도두봉전망대	39	제주특별자치도 제주시 도두일동	20231204115715	20250415140853	4	A02	A0205	A02050600	126.4687471529	33.5084201852		63112
252560	도라전망대	31	경기도 파주시 장단면 제3땅굴로 310	20071031090000	20250702161435	27	A02	A0205	A02050600	126.7047863286	37.9088872381		10800
588738	도리산전망대	38	전라남도 진도군 조도면 조도대로 1401-170	20080718010134	20250718170326	21	A02	A0205	A02050600	117.9925662504	19.6944274800		58955
2776829	도째비골 해랑전망대	32	강원특별자치도 동해시 묵호진동	20211122175354	20250319185407	3	A02	A0205	A02050600	129.1203277308	37.5542514085		25718
2733230	동락신나루	35	경상북도 구미시 수출대로 326-12 (임수동)	20210812025724	20250704134923	4	A02	A0205	A02050600	128.3993177280	36.1105002058		39392
3034382	두여 전망대	34	충청남도 태안군 안면읍 승언리	20231108151441	20250430173159	14	A02	A0205	A02050600	126.3271358881	36.5381562411		32166
2661441	등기산스카이워크	35	경상북도 울진군 후포면 후포리	20200630000447	20250121180518	18	A02	A0205	A02050600	129.4652291612	36.6805471769		36369
2782949	땅끝전망대	38	전라남도 해남군 송지면 땅끝마을길 100	20211130000408	20250711133429	23	A02	A0205	A02050600	126.5250351589	34.2947474622		59065
3019080	땅끝탑 스카이워크	38	전라남도 해남군 송지면 송호리	20231010172551	20241111154506	23	A02	A0205	A02050600	126.5236352951	34.2941697263		59065
2757145	뚝섬 전망 문화 콤플렉스	1	서울특별시 광진구 강변북로 2202	20211014182857	20250108155042	6	A02	A0205	A02050600	127.0659973939	37.5309294000		05089
2492348	롯데월드타워 서울스카이	1	서울특별시 송파구 올림픽로 300	20170512183852	20241126143243	18	A02	A0205	A02050600	127.1042832896	37.5136209882		05551
2003909	롯데월드타워&롯데월드몰	1	서울특별시 송파구 올림픽로 300 (신천동)	20150519202147	20250414114039	18	A02	A0205	A02050600	127.1040749597	37.5141653654		05551
3079580	만경낙조전망대	37	전북특별자치도 김제시 만경읍 화포리	20240110100744	20240118103832	3	A02	A0205	A02050600	126.7990853584	35.8901301968		54308
2778544	만리포전망타워	34	충청남도 태안군 소원면 모항리 1323-240	20211124201744	20250317195127	14	A02	A0205	A02050600	126.1409629804	36.7834636812		32123
3459331	만리포해수욕장전망대	34	충청남도 태안군 소원면 가락골길 14-10	20241224140435	20241227091844	14	A02	A0205	A02050600	126.1408296607	36.7833692454		32123
2717821	만양정육점	33	충청북도 옥천군 옥천읍 마암로1길 5	20210524233604	20250319185300	5	A02	A0205	A02050600	127.5665311530	36.2928726590		29036
2671791	말티재 전망대(말티고개)	33	충청북도 보은군 장안면 장재리	20200910234530	20250318194912	3	A02	A0205	A02050600	127.7893194701	36.4991475269		28911
129540	망끝전망대	38	전라남도 완도군 보길면 정자리 산 148-6	20070507090000	20240611100838	18	A02	A0205	A02050600	126.5057599391	34.1396783671		537-852,4
2657245	망향대	2	인천광역시 강화군 교동면	20200526003231	20240521094534	1	A02	A0205	A02050600	126.2406981981	37.8167648004		23000
128746	망향의 동산(횡성)	32	강원특별자치도 횡성군 갑천면 태기로구방5길 40	20060123090000	20250324140452	18	A02	A0205	A02050600	128.0671783695	37.5455627745		25259
3000163	망향정	35	경상북도 청도군 운문면 청려로 4957	20230818173448	20250812152710	20	A02	A0205	A02050600	128.9168965348	35.7343607181		38367
2714513	목포 스카이워크	38	전라남도 목포시 해양대학로 59	20210424022315	20250722164926	8	A02	A0205	A02050600	126.3673595194	34.7877673311	061-272-2171	58629
3008489	묘도 봉화산 전망공원	38	전라남도 여수시 묘도동	20230904195916	20250609175807	13	A02	A0205	A02050600	127.7032145912	34.8842345628		59617
2783721	문수산전망대	7	울산광역시 울주군 청량읍 문수산길 514	20211130223016	20250325104653	5	A02	A0205	A02050600	129.2139678809	35.5317252076		44959
1951612	밀마루전망대	8	세종특별자치시 도움3로 58	20140925232401	20250729151638	1	A02	A0205	A02050600	127.2558420543	36.5054483572		30064
264397	반딧불이화장실	31	경기도 수원시 장안구 광교산로 166	20030812191211	20240930092643	13	A02	A0205	A02050600	127.0322846942	37.3018525882		16213
2657241	백령도 끝섬전망대	2	인천광역시 옹진군 백령면 진촌리 1-2 백령 끝 섬 전망대	20200526002323	20250611152117	9	A02	A0205	A02050600	124.7436188960	37.9591811242		23101
2782901	백섬해상전망대	32	강원특별자치도 고성군 거진읍 거진리	20211129233408	20250324130902	2	A02	A0205	A02050600	128.4536129346	38.4487262643		24712
2715691	백수해안도로 노을전망대	38	전라남도 영광군 백수읍 대신리	20210510185745	20250527172922	16	A02	A0205	A02050600	126.3875107289	35.3486403842		57025
2751332	백암해안전망대	38	전라남도 영광군 백수읍 해안로 565-17	20210929232601	20250316201242	16	A02	A0205	A02050600	126.3788010046	35.3238708267		57025
2767621	백운산전망대	2	인천광역시 중구 운서동 산1-1	20211103195809	20250318103339	10	A02	A0205	A02050600	126.5165819042	37.4924879905		
2715643	범바위 전망대	35	경상북도 봉화군 명호면 도천리 산 343-1	20210508012515	20240529132200	8	A02	A0205	A02050600	128.9054565237	36.8695342453		
2755704	병대도전망대	36	경상남도 거제시 남부면 다포리	20211012235920	20250305093406	1	A02	A0205	A02050600	128.6101234973	34.7038374157		53334
1842210	병방치 스카이워크	32	강원특별자치도 정선군 정선읍 병방치길 225	20130904203618	20241209155451	11	A02	A0205	A02050600	128.6354715236	37.3623780337		26134
2787119	병풍바위 전망대	36	경상남도 고성군 하이면 월흥리 산3-1	20211207183529	20250618133610	3	A02	A0205	A02050600	128.1613601100	34.9041570271		52963
2775492	보문산 전망대	3	대전광역시 중구 보문산공원로530번길 86	20211117235531	20240628153733	5	A02	A0205	A02050600	127.4249571613	36.3121873745		35045
3000202	보문콜로세움	35	경상북도 경주시 보문로 132-16	20230824151747	20250721180741	2	A02	A0205	A02050600	129.2681790576	35.8526817337		38117
3060660	보성 차밭 전망대	38	전라남도 보성군 회천면 녹차로 617	20231122123108	20250528103908	10	A02	A0205	A02050600	127.0903172475	34.7071356188		59472
2753588	보현산댐 전망대	35	경상북도 영천시 화북면 천문로 2610	20211006185057	20241206155213	15	A02	A0205	A02050600	128.9527683797	36.1270697361		38812
2668973	부산엑스더스카이	6	부산광역시 해운대구 달맞이길 30	20200826014223	20250311131612	16	A02	A0205	A02050600	129.1680432760	35.1613825711		48099
2782211	부아산전망대	2	인천광역시 옹진군 자월면 이작리	20211126234900	20250722171708	9	A02	A0205	A02050600	126.2605110950	37.1769507402		23128
252580	부안다목적댐	37	전북특별자치도 부안군 변산면 부안댐로 281	20071102090000	20241028110515	6	A02	A0205	A02050600	126.5644257488	35.6728426248		56343
3056278	북촌전망대	1	서울특별시 종로구 북촌로11다길 22-3 (삼청동)	20231204104534	20250718090000	23	A02	A0205	A02050600	126.9828007145	37.5831329500		03052
