contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
914536	군산 해망굴	37	전북특별자치도 군산시 군산창2길 48	20100106200526	20240517152709	2	A02	A0205	A02050500	126.7047828394	35.9911698337		54018
2753136	노암터널	32	강원특별자치도 강릉시 노암동 200-4	20211006010206	20250320154120	1	A02	A0205	A02050500	128.9071992254	37.7481081912		25590
2616351	단양 수양개빛터널	33	충청북도 단양군 적성면 수양개유적로 390	20190823193348	20240508134833	2	A02	A0205	A02050500	128.3325466606	36.9606018560		27014
2727507	문경오미자테마터널	35	경상북도 문경시 마성면 문경대로 1356-1	20210727203446	20250808154446	7	A02	A0205	A02050500	128.1286263106	36.6599381003		36923
3006194	색현터널	31	경기도 가평군 청평면 에덴벚꽃길 39-1	20230901112113	20250409141958	1	A02	A0205	A02050500	127.4671119773	37.7818630913		12449
2778932	소금정공원 장미터널	33	충청북도 단양군 단양읍 삼봉로 192	20211124235605	20250319165932	2	A02	A0205	A02050500	128.3647183530	36.9753035478		27012
2616353	순창 향가터널	37	전북특별자치도 순창군 풍산면 대가리	20190823200426	20250808161248	7	A02	A0205	A02050500	127.1868344916	35.3402742767		56056
2606221	영도 흰여울해안터널	6	부산광역시 영도구 영선동4가 1044-6	20190613010435	20250325111856	14	A02	A0205	A02050500	129.0453201165	35.0779590845		
2790516	오림터널	38	전라남도 여수시 오림동 512-6	20211209213204	20250331153219	13	A02	A0205	A02050500	127.7191024530	34.7610292060		
2782601	용평터널	36	경상남도 밀양시 내일동	20211129192943	20250620133454	7	A02	A0205	A02050500	128.7796262001	35.4994402172		50429
2778945	이끼터널	33	충청북도 단양군 적성면 애곡리 129-2	20211125000156	20250311100312	2	A02	A0205	A02050500	128.3335520847	36.9620267104		
2788897	진치령터널	36	경상남도 진주시 가좌동	20211208184806	20250403150328	13	A02	A0205	A02050500	128.0920204985	35.1632378322		52821
2660803	청도 와인터널	35	경상북도 청도군 화양읍 송금길 100	20200623232112	20250317131259	20	A02	A0205	A02050500	128.7205615272	35.7151759115		38323
2946402	한벽굴	37	전북특별자치도 전주시 완산구 교동 산7-3 한벽당	20230128005016	20250313161706	12	A02	A0205	A02050500	127.1606634986	35.8119286687		55110
127096	해저터널(통영)	36	경상남도 통영시 당동	20040109090000	20250811101941	17	A02	A0205	A02050500	128.4114234121	34.8361385290		53064
2740067	5.16 도로숲터널	39	제주특별자치도 서귀포시 남원읍 신례천로 267-110	20210906195623	20241029174355	3	A02	A0205	A02050500	126.6304291801	33.3140386947		63608
