contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2465063	강릉 녹색도시체험센터	32	강원특별자치도 강릉시 난설헌로 131 (초당동)	20161220190353	20250728153247	1	A02	A0204	A02040800	128.9065286080	37.7879702339		25466
895963	강원특별자치도 탄광문화촌	32	강원특별자치도 영월군 북면 밤재로 351	20091212015151	20250318093231	8	A02	A0204	A02040800	128.4669118411	37.2631362582		26209
128151	강진다원	38	전라남도 강진군 성전면 백운로 93-25	20040525090000	20250402153142	1	A02	A0204	A02040800	126.7061613195	34.7409031836		59200
127651	강천산휴양농원	37	전북특별자치도 순창군 구림면 강천로 854-23	20030804090000	20250318212629	7	A02	A0204	A02040800	127.0627071317	35.4277205858		56013
2599177	강화도령 화문석 체험장	2	인천광역시 강화군 송해면 강화대로 891	20190425193433	20250708110920	1	A02	A0204	A02040800	126.4457501762	37.7678991029		23019
2470361	경기도자미술관	31	경기도 이천시 관고동	20161229222721	20250319143405	26	A02	A0204	A02040800	127.4234166524	37.2755515693		17379
2500296	경기콘텐츠 코리아 랩	31	경기도 성남시 분당구 대왕판교로645번길 12	20170719020657	20241210154042	12	A02	A0204	A02040800	127.1049419938	37.4003091464		13487
2462674	고구려대장간마을 (태왕사신기 촬영장)	31	경기도 구리시 우미내길 41	20161219182157	20250710091556	6	A02	A0204	A02040800	127.1109257882	37.5607989622		11958
2453179	고촌이종근기념관	1	서울특별시 서대문구 충정로 8	20161213013619	20250402164948	14	A02	A0204	A02040800	126.9631392793	37.5597464264		03742
2536196	공곶이	36	경상남도 거제시 일운면	20180214014304	20250604093609	1	A02	A0204	A02040800	128.7139287523	34.7945847123		53329
126760	광덕산 관광농원	34	충청남도 천안시 동남구 광덕면 해사동길 15	20030731090000	20250316220825	12	A02	A0204	A02040800	127.0361683163	36.6743972978		31220
2469406	광양만권 경제자유구역 홍보관	38	전라남도 광양시 광양읍 인덕로 1100	20161223223116	20240531150001	4	A02	A0204	A02040800	127.5827643517	34.9808660669		57741
