contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3026711	가시리국산화풍력발전단지	39	제주특별자치도 서귀포시 표선면 녹산로 464-78	20230920140339	20250408135047	3	A02	A0204	A02040400	126.7341100468	33.3939370848		63622
2796956	거창 별바람언덕	36	경상남도 거창군 신원면 연수사길 452	20211215011527	20250728161736	2	A02	A0204	A02040400	127.9175273118	35.5896644164		50153
2708718	경주 풍력발전(바람의언덕)	35	경상북도 경주시 문무대왕면 장항리	20210310185555	20250630174526	2	A02	A0204	A02040400	129.3641291235	35.7507422708		38120
3336060	국립청소년생태센터	6	부산광역시 사하구 낙동남로1233번길 43 (하단동)	20240722172638	20250306154857	10	A02	A0204	A02040400	128.9481998378	35.1128367289		49300
3423707	김해탄소중립체험관	36	경상남도 김해시 부곡로 33 (부곡동)	20241125135825	20250319162747	4	A02	A0204	A02040400	128.7962827294	35.2073650168		50990
3442423	부산기후변화체험교육관	6	부산광역시 북구 학사로 118 (화명동)	20241211161040	20250724143538	8	A02	A0204	A02040400	129.0081635592	35.2329549282		46527
252600	에너지 캠퍼스	34	충청남도 당진시 석문면 대호만로 2424	20071105090000	20250807171717	4	A02	A0204	A02040400	126.4967623527	37.0544023581		31700
3019001	영광풍력발전단지	38	전라남도 영광군 염산면 송암리	20231010162718	20241107150520	16	A02	A0204	A02040400	126.3446587730	35.2444237096		57067
128765	영덕풍력발전단지	35	경상북도 영덕군 영덕읍 창포리	20060125090000	20240923175628	12	A02	A0204	A02040400	129.4167328924	36.4189260036		766-805,4
3421849	영양 풍력발전단지	35	경상북도 영양군 석보면 요원리	20241119153014	20250319192653	13	A02	A0204	A02040400	129.2314279169	36.5770461144		36557
2465233	춘천수력발전소	32	강원특별자치도 춘천시 신동면 옛경춘로 62-15	20161220231757	20250717133058	13	A02	A0204	A02040400	127.6801188634	37.8329027626		24411
2554511	한수원 홍보관 에너지팜	35	경상북도 경주시 문무대왕면 불국로 1655	20180719195540	20250808094418	2	A02	A0204	A02040400	129.3925226570	35.7929519409		38120
3025520	활성산 풍력발전단지	38	전라남도 영암군 금정면 활성산길 219-1	20231010151726	20241014112156	17	A02	A0204	A02040400	126.7614797573	34.8100574368		58407
