contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2511669	갈골한과마을 명인의 집	32	강원특별자치도 강릉시 사천면 중앙서로 62	20171018191334	20240827093538	1	A02	A0204	A02040600	128.8432831780	37.8245147710		25434
3468741	과자의성	32	강원특별자치도 속초시 미시령로 3010 (노학동)	20250120153722	20250315121836	5	A02	A0204	A02040600	128.5364158716	38.2028426549		24859
745328	국순당 주향로	32	강원특별자치도 횡성군 둔내면 강변로 975	20090602011232	20250324145309	18	A02	A0204	A02040600	128.1966849965	37.4897022276		25266
2473001	굿데이뮤지엄	36	경상남도 창원시 마산회원구 봉암공단2길 22	20170107003936	20250519172309	16	A02	A0204	A02040600	128.5975692186	35.2186517958		51341
2948050	그랑꼬또 와이너리	31	경기도 안산시 단원구 뻐꾹산길 107 (대부북동)	20230207151531	20250611140551	15	A02	A0204	A02040600	126.5821435181	37.2570803681		15640
2847546	금풍양조장	2	인천광역시 강화군 삼랑성길 8	20220901131244	20250724104824	1	A02	A0204	A02040600	126.4913773782	37.6386205364		23050
3413163	꿈브루어리	5	광주광역시 동구 동계천로95번길 18-15 (동명동)	20241112175938	20250625165132	3	A02	A0204	A02040600	126.9223598394	35.1530714768		61430
2462827	농심 안양공장	31	경기도 군포시 농심로 35	20161219184359	20250116140753	7	A02	A0204	A02040600	126.9539457151	37.3608026903		15842
127869	대한다원	38	전라남도 보성군 보성읍 녹차로 763-65	20040112090000	20250319164532	10	A02	A0204	A02040600	127.0788124916	34.7156927977		59448
2609160	도란원 샤토미소	33	충청북도 영동군 매곡면 유전장척길 143	20190703195352	20250316123554	4	A02	A0204	A02040600	127.9366953851	36.1921296972		29121
3417639	맥주학교 농담	32	강원특별자치도 홍천군 서면 한서로 287-15	20241115164352	20250315115324	16	A02	A0204	A02040600	127.5721669163	37.6659285002		25100
2469467	맥파이 브루어리	39	제주특별자치도 제주시 동회천1길 23	20161224020256	20250324180113	4	A02	A0204	A02040600	126.6172288105	33.5031897997		63329
2948524	목도양조장	33	충청북도 괴산군 목도로2길 10 목도양조장	20230208134944	20250107165639	1	A02	A0204	A02040600	127.8537421327	36.8714976677		28002
2554516	문경오미자체험촌 (문경오미자마을)	35	경상북도 문경시 동로면 여우목로 2371-5	20180719201548	20241219160341	7	A02	A0204	A02040600	128.2756762472	36.7857347454		36902
2464602	배혜정도가	31	경기도 화성시 정남면 서봉로 835	20161220023609	20250324101517	31	A02	A0204	A02040600	126.9609287430	37.1495661666		18522
2850158	복순도가	7	울산광역시 울주군 향산동길 48	20220906151738	20240829164634	5	A02	A0204	A02040600	129.0969765879	35.5858224880		44903
2609165	불휘농장	33	충청북도 영동군 심천면 약목2길 26	20190703195916	20250316123549	4	A02	A0204	A02040600	127.7203115903	36.2019580120		29105
2608376	산막와이너리	33	충청북도 영동군 산막골길 31-45	20190628231807	20250316123929	4	A02	A0204	A02040600	127.8206258469	36.1667721585		29127
1853250	샤또무주	37	전북특별자치도 무주군 무풍면 오두재로 238-65	20131024200053	20250808174654	5	A02	A0204	A02040600	127.8394980850	35.9003778055		55563
2469257	서울우유 거창공장	36	경상남도 거창군 거창읍 거함대로 3372-71	20161223181907	20240828105627	2	A02	A0204	A02040600	127.9265493539	35.6704082178		50147
