contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127268	가배량성	36	경상남도 거제시 동부면 가배리	20040119090000	20240613161328	1	A02	A0201	A02010200	128.5722052958	34.7817585943		53330
294369	가산사	33	충청북도 옥천군 안내면 안내회남로 671	20071126234108	20250316160131	5	A02	A0201	A02010800	127.5973920906	36.4015885618		29005
1957336	가산서원	38	전라남도 장성군 삼서면 영장로 2015	20141017190007	20250319164704	19	A02	A0201	A02010700	126.6931003984	35.2313226604		57256
1578561	가선정	36	경상남도 거창군 북상면 송계로 731-42	20120327013044	20241016111926	2	A02	A0201	A02010700	127.8160339922	35.7788772875		50102
294390	가섭사	33	충청북도 음성군 음성읍 가섭길 494	20071126235315	20250316211827	6	A02	A0201	A02010800	127.7030557496	36.9666339700		27688
1579499	가섭암지 마애여래삼존입상	36	경상남도 거창군 위천면 상천리	20120327035657	20240530140854	2	A02	A0201	A02010700	127.7941371179	35.7345485901		50103
2513971	가실성당	35	경상북도 칠곡군 왜관읍 가실1길 1	20171102234940	20250512170441	22	A02	A0201	A02010900	128.4048776375	35.9363922928		39912
1236556	가야진사	36	경상남도 양산시 원동면 용당들길 43-62	20110321195941	20241107114035	10	A02	A0201	A02010700	128.9023718710	35.3675378711		50586
2788127	가왕 송흥록·국창 박초월 생가	37	전북특별자치도 남원시 운봉읍 비전길 7	20211208012601	20241204102357	4	A02	A0201	A02010500	127.5626899062	35.4575758647		55717
2357441	가인 김병로 생가터	37	전북특별자치도 순창군 복흥면 하리길 160	20161229221055	20241206140542	7	A02	A0201	A02010500	126.9774224423	35.4505693165		56002
3006131	가톨릭 목포 성지	38	전라남도 목포시 산정동	20230831163332	20240522163730	8	A02	A0201	A02010900	126.3857937169	34.7996301851		58712
1201082	가평별묘	31	경기도 가평군 설악면 방일리	20110210225513	20250318191243	1	A02	A0201	A02010700	127.4915450327	37.6196823854		12472
921096	가평향교	31	경기도 가평군 가평읍 호반로 1660-143	20100113183142	20241113102325	1	A02	A0201	A02010700	127.5133533425	37.7431684422		12430
736597	가학동지석묘	31	경기도 광명시 가학동	20090520194046	20240808173352	4	A02	A0201	A02010700	126.8568365465	37.4085426445		14339
1959464	가호서원	36	경상남도 진주시 이반성면 용암길 59-2	20141023195955	20240430091426	13	A02	A0201	A02010700	128.3325771223	35.1664473205		52614
2733967	가회동성당	1	서울특별시 종로구 북촌로 57 (가회동)	20210817184103	20250312152659	23	A02	A0201	A02010900	126.9846616856	37.5820858828		03052
127241	각연사(괴산)	33	충청북도 괴산군 칠성면 각연길 451	20030813090000	20250718171214	1	A02	A0201	A02010800	127.9274860663	36.7543041419		28018
125885	각원사	34	충청남도 천안시 동남구 각원사길 245 (안서동)	20031205090000	20250710094144	12	A02	A0201	A02010800	127.1964300734	36.8338567886		31066
