contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2605187	강릉 대도호부 관아	32	강원특별자치도 강릉시 임영로131번길 6	20190604222115	20250704152026	1	A02	A0201	A02010100	128.8921226461	37.7532767444		25534
125788	강릉 임영관 삼문	32	강원특별자치도 강릉시 임영로131번길 6	20040227090000	20250324094702	1	A02	A0201	A02010100	128.8917699042	37.7531378647		25534
127110	강진 전라병영성	38	전라남도 강진군 병영면 병영성로 175	20020513090000	20250317125652	1	A02	A0201	A02010100	126.8171492797	34.7199712691		59214
1614793	강화유수부동헌	2	인천광역시 강화군 강화읍 북문길 42	20120426024938	20240617152020	1	A02	A0201	A02010100	126.4854359021	37.7508851202		23030
1615571	강화유수부이방청	2	인천광역시 강화군 강화읍 북문길 42	20120426190342	20240618160803	1	A02	A0201	A02010100	126.4846998401	37.7515350315		23030
128033	거제현 관아	36	경상남도 거제시 거제면 읍내로2길 22	20040127090000	20240613112048	1	A02	A0201	A02010100	128.5912240320	34.8511261863		53286
1627302	결성동헌	34	충청남도 홍성군 결성면 홍남서로738번길 23	20120510223603	20250710101356	15	A02	A0201	A02010100	126.5451110316	36.5240393726		32212
147656	경기전	37	전북특별자치도 전주시 완산구 태조로 44 (풍남동3가)	20040203090000	20250711105714	12	A02	A0201	A02010100	127.1500366062	35.8142143363		55042
126508	경복궁	1	서울특별시 종로구 사직로 161 (세종로)	20041230090000	20250421100815	23	A02	A0201	A02010100	126.9767375783	37.5760836609		03045
129631	경상좌수영성지	6	부산광역시 수영구 수영성로 43	20070720090000	20250409094203	12	A02	A0201	A02010100	129.1117117085	35.1743106361		48229
128526	경주 동궁과 월지	35	경상북도 경주시 원화로 102	20050519090000	20250731154755	2	A02	A0201	A02010100	129.2283747104	35.8352023996		38163
126484	경희궁	1	서울특별시 종로구 새문안로 45	20031027090000	20250313104321	23	A02	A0201	A02010100	126.9685079323	37.5704425020		03177
1606042	경희궁 숭정전	1	서울특별시 중구 장충동2가	20120418230309	20241018171230	24	A02	A0201	A02010100	127.0011136538	37.5577528954		04623
126460	관덕정(제주)	39	제주특별자치도 제주시 관덕로 19	20021213090000	20241106173726	4	A02	A0201	A02010100	126.5219701925	33.5132954930		63166
793086	괴산 청안 안민헌	33	충청북도 괴산군 청안면 청안읍내로2길 5	20090903200919	20250325174524	1	A02	A0201	A02010100	127.6392114126	36.7720107447		28050
1433438	괴산동헌	33	충청북도 괴산군 괴산읍 읍내로2길 65-20	20111111013000	20250316125329	1	A02	A0201	A02010100	127.7924660259	36.8104035658		28029
1610651	구암정	37	전북특별자치도 순창군 동계면 구미리	20120424003758	20240523154114	7	A02	A0201	A02010100	127.2051359791	35.4357026839		56026
1599176	김제동헌	37	전북특별자치도 김제시 동헌4길 46-1	20120410200021	20250408110406	3	A02	A0201	A02010100	126.8817663970	35.8010056559		54385
126412	나주 금성관	38	전라남도 나주시 금성관길 8	20020506090000	20250319191303	6	A02	A0201	A02010100	126.7165671197	35.0333954147		58257
2751248	남한산성행궁	31	경기도 광주시 남한산성면 산성리 935-1	20210929193744	20250314175025	5	A02	A0201	A02010100	127.1815300290	37.4788986337		12700
