contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3483083	간송옛집	1	서울특별시 도봉구 시루봉로 149-18 (방학동)	20250324132519	20250324132532	10	A02	A0201	A02010400	127.0282025819	37.6649464754		01316
129010	갈천동초가까치구멍집	35	경상북도 영덕군 창수면 장육사길 363	20060619090000	20241029132851	12	A02	A0201	A02010400	129.3218943100	36.5975288568		36402
125800	강릉 선교장	32	강원특별자치도 강릉시 운정길 63	20031014090000	20250704151804	1	A02	A0201	A02010400	128.8850778068	37.7865588677		25464
128759	강릉 수리골 고택	32	강원특별자치도 강릉시 운정길 125	20060125090000	20250731172550	1	A02	A0201	A02010400	128.8911356052	37.7862090263		25464
2702581	강릉 오금집	32	강원특별자치도 강릉시 강릉대로210번길 23-9 (임당동)	20211231184112	20250325105106	1	A02	A0201	A02010400	128.8940418219	37.7563708685		25530
125789	강릉 오죽헌	32	강원특별자치도 강릉시 율곡로3139번길 24	20070910090000	20250711144458	1	A02	A0201	A02010400	128.8776814918	37.7787651808		25465
129584	강릉 해운정	32	강원특별자치도 강릉시 운정길 125	20070712090000	20250624163219	1	A02	A0201	A02010400	128.8911356052	37.7862090263		25464
2743393	강선대	33	충청북도 영동군 양산면 봉곡리 756-1	20210911000008	20250310091912	4	A02	A0201	A02010400	127.6957322633	36.1352096262		29162
1578659	거창 갈계리 임씨고가	36	경상남도 거창군 북상면 샘골길 6	20120327021527	20240531153245	2	A02	A0201	A02010400	127.8189475809	35.7804549384		50102
128653	거창 동계종택(정온 선생 고택)	36	경상남도 거창군 위천면 강동1길 13	20051114090000	20250106170159	2	A02	A0201	A02010400	127.8287668267	35.7554662802		50103
1579747	거창 동호리 이씨고가	36	경상남도 거창군 웅양면 동호1길 217	20120327202656	20250319190806	2	A02	A0201	A02010400	127.9273624890	35.7989520008		50113
1578365	거창 무릉리 정씨고가	36	경상남도 거창군 남하면 무릉3길 19-16	20120326235845	20250316162838	2	A02	A0201	A02010400	127.9458144856	35.6642175960		50123
128655	거창 황산리 신씨고가	36	경상남도 거창군 위천면 황산1길 109-5	20051114090000	20250319191559	2	A02	A0201	A02010400	127.8370186747	35.7629155826		50103
2707041	경극고택	4	대구광역시 동구 옻골로 195-3	20210224223528	20250328133736	4	A02	A0201	A02010400	128.6866758144	35.9074757619		41055
319577	경주 독락당	35	경상북도 경주시 안강읍 옥산서원길 300-3	20071207230327	20250312100328	2	A02	A0201	A02010400	129.1601060740	36.0165611670		38000
231933	경주 양동 무첨당	35	경상북도 경주시 강동면 양동마을안길 32-19	20071015090000	20240430141944	2	A02	A0201	A02010400	129.2526566960	36.0020201213		38006
129518	경주 양동마을 송첨종택	35	경상북도 경주시 강동면 양동마을안길 75-6	20070418090000	20240919150107	2	A02	A0201	A02010400	129.2536537785	36.0038393793		38006
1937772	계룡 사계고택	34	충청남도 계룡시 두마면 사계로 122-4	20140729235637	20250709144104	16	A02	A0201	A02010400	127.2714082560	36.2655816518		32836
126795	고성 어명기 고택	32	강원특별자치도 고성군 죽왕면 봉수대길 131-7	20020607090000	20250319170220	2	A02	A0201	A02010400	128.5177529605	38.3147764738		24750
1310884	고성장산리허씨고가	36	경상남도 고성군 마암면 장산길 21	20110616223158	20250319191612	3	A02	A0201	A02010400	128.3239501354	35.0603507432		52910
1621158	고원희가옥	5	광주광역시 남구 압촌1길 12	20120503033211	20240603100437	2	A02	A0201	A02010400	126.8395075721	35.0922075057		61751
2702475	고진하 가옥	32	강원특별자치도 영월군 남면 원골길 170-9	20211230230436	20250324110616	8	A02	A0201	A02010400	128.3868966548	37.1740949988		26217
126391	고창신재효고택	37	전북특별자치도 고창군 고창읍 동리로 100	20020607090000	20250807175740	1	A02	A0201	A02010400	126.7030639278	35.4322000769		56440
1605990	관훈동 민씨 가옥 (구 부마도위박영효가옥)	1	서울특별시 중구 퇴계로34길 28	20120418220136	20240611105524	24	A02	A0201	A02010400	126.9935754302	37.5585082277		04626
127014	광산김씨 유일재고택	35	경상북도 안동시 와룡면 선돌길 113-16	20020513090000	20250117112227	11	A02	A0201	A02010400	128.7740895225	36.6163884647		36611
2614384	광양 윤동주 유고보존 정병욱 가옥	38	전라남도 광양시 진월면 망덕길 249	20190807190342	20250718110415	4	A02	A0201	A02010400	127.7591880209	34.9707924868		57712
1433369	괴산 김항묵 고택	33	충청북도 괴산군 칠성면 칠성로4길 20	20111111005811	20240926201014	1	A02	A0201	A02010400	127.8592136303	36.7816914152		28020
1437090	괴산 송병일 고택	33	충청북도 괴산군 청천면 청천4길 17	20111115220918	20250313100345	1	A02	A0201	A02010400	127.7382722804	36.6618001905		28063
1677831	괴산 수월정	33	충청북도 괴산군 칠성면 산막이옛길 315-38	20120724233813	20250319192406	1	A02	A0201	A02010400	127.8407607044	36.7471256016		28016
1436162	괴산 이창훈 고가	33	충청북도 괴산군 감물면 충민로오간길 64	20111114230239	20240531142139	1	A02	A0201	A02010400	127.8592452848	36.8408901738		28006
127289	괴산 홍범식 고가(벽초 홍명희 생가)	33	충청북도 괴산군 괴산읍 임꺽정로 16	20030813090000	20250711140051	1	A02	A0201	A02010400	127.7949796011	36.8135588050		28025
2613459	구 선교사가옥	34	충청남도 공주시 쪽지골길 18-13	20190729224558	20250318214457	1	A02	A0201	A02010400	127.1264579543	36.4494913770		32563
128994	구례 운조루 고택	38	전라남도 구례군 토지면 운조루길 59	20060612090000	20240823140824	5	A02	A0201	A02010400	127.5154422680	35.2061200991		57624
705411	군위 남천고택	4	대구광역시 군위군 부계면 한밤5길 19	20090312024121	20250315131525	9	A02	A0201	A02010400	128.6539855641	36.0586385795		39065
3013816	궁집	31	경기도 남양주시 평내로 9 (평내동)	20230921144012	20250509164256	9	A02	A0201	A02010400	127.2303930849	37.6440553404		12224
1623646	권희문가옥	37	전북특별자치도 장수군 산서면 오메길 9	20120507183546	20240913153148	11	A02	A0201	A02010400	127.3862604449	35.5876608343		55646
2792804	금시당	36	경상남도 밀양시 활성로 24-183	20211213211641	20250319191512	7	A02	A0201	A02010400	128.7840483695	35.4872722244		50433
