contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
1201163	강영천효자문	31	경기도 가평군 북면 논남기길 402-19	20110210230729	20250318190822	1	A02	A0201	A02010300	127.4214078804	37.9689765715		12400
128813	강화 석수문	2	인천광역시 강화군 강화읍 국화리	20060306090000	20250314094053	1	A02	A0201	A02010300	126.4756785763	37.7468243111		23033
1604784	경희궁 흥화문	1	서울특별시 종로구 새문안로 55 (신문로2가)	20120417231735	20250313134049	23	A02	A0201	A02010300	126.9707771853	37.5698981615		03177
126980	고흥 존심당 및 아문	38	전라남도 고흥군 흥양길 40	20020607090000	20250808144000	2	A02	A0201	A02010300	127.2849331178	34.6108108156		59535
126512	광화문	1	서울특별시 종로구 사직로 161	20031027090000	20250624174100	23	A02	A0201	A02010300	126.9768042386	37.5760725520		03045
129502	광희문	1	서울특별시 중구 퇴계로 344	20070403090000	20250319172433	24	A02	A0201	A02010300	127.0096987947	37.5643772800		04614
127208	남고문(나주읍성 남문)	38	전라남도 나주시 남내동 2-20	20020607090000	20250316152212	6	A02	A0201	A02010300	126.7203752147	35.0294125943		58258
127526	남평문씨 쌍효문	5	광주광역시 남구 사직안길 9	20030627090000	20240924094737	2	A02	A0201	A02010300	126.9132581128	35.1432029927		61639
129691	남포관아문	34	충청남도 보령시 남포면 읍성향교길 19	20070824090000	20250319190852	5	A02	A0201	A02010300	126.6093165444	36.3057377621		33495
1605981	덕수궁 대한문	1	서울특별시 중구 세종대로 99 (정동)	20120418205524	20250730154607	24	A02	A0201	A02010300	126.9765906796	37.5651071556		04519
127425	독립문	1	서울특별시 서대문구 통일로 251	20041230090000	20250730135843	14	A02	A0201	A02010300	126.9556423190	37.5746640029		03732
2753508	문경 조령 관문	35	경상북도 문경시 문경읍 상초리	20211006182732	20250811145431	7	A02	A0201	A02010300	128.0759223849	36.7682497156		36919
129500	북악산 숙정문	1	서울특별시 종로구 삼청동	20070403090000	20250318205923	17	A02	A0201	A02010300	126.9811144048	37.5955536984		03053
2751272	서문	31	경기도 광주시 남한산성면 산성리	20210929223656	20250718090000	5	A02	A0201	A02010300	127.1761386873	37.4846923087		12700
125919	서한순 효자문	33	충청북도 진천군 진천읍 사석리	20031223090000	20250317203729	8	A02	A0201	A02010300	127.4035171697	36.8270501654		27826
2791413	순천만국가정원 지구동문	38	전라남도 순천시 국가정원1호길 152-55	20211210024601	20250108151858	11	A02	A0201	A02010300	127.5095637484	34.9297372147		58000
