contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
1857095	강원 영월 김삿갓면 [슬로시티]	32	강원특별자치도 영월군 김삿갓면 옥동장터길 36	20131112001016	20250321102500	8	A02	A0201	A02010600	128.5701372137	37.1256818109		26245
893974	개평한옥마을	36	경상남도 함양군 지곡면 개평길 59	20091211183048	20240513105740	20	A02	A0201	A02010600	127.7673717569	35.5658144475		50018
2784264	거북선마을	36	경상남도 사천시 용현면 사천대교로 75-61	20211201024207	20250801164357	8	A02	A0201	A02010600	128.0406209830	34.9985498643		52540
128947	거창 황산마을 옛 담장	36	경상남도 거창군 위천면 황산1길 109-5	20060426090000	20250730113307	2	A02	A0201	A02010600	127.8373158638	35.7631683370		50103
2737307	경기광주 한옥마을	31	경기도 광주시 새오개길 39 (목현동)	20210830193727	20250319095015	5	A02	A0201	A02010600	127.2300295488	37.4385041952		12765
773075	경남 하동 악양면 [슬로시티]	36	경상남도 하동군 악양면 악양서로 357	20090730202604	20241223101229	18	A02	A0201	A02010600	127.7089347057	35.1623867315		52305
1857022	경북 상주 함창·이안·공검면 [슬로시티]	35	경상북도 상주시 함창읍 함창중앙로 135	20131111191032	20240531132305	9	A02	A0201	A02010600	128.1794354346	36.5701909740		37115
1857094	경북 청송 주왕산면·파천면 [슬로시티]	35	경상북도 청송군 부동면	20131111235518	20241127132801	21	A02	A0201	A02010600	129.1593546357	36.3569003365		37438
128676	경주 교촌마을	35	경상북도 경주시 교촌길 39-2	20051121090000	20250718090000	2	A02	A0201	A02010600	129.2147232863	35.8296749875		38170
127855	경주 양동마을 [유네스코 세계유산]	35	경상북도 경주시 강동면 양동마을길 134	20030627090000	20250731142629	2	A02	A0201	A02010600	129.2536900913	35.9967040757		38006
126229	경주민속공예촌	35	경상북도 경주시 보불로 230	20031204090000	20240528172324	2	A02	A0201	A02010600	129.3112683256	35.8044963203		38126
126725	계룡산도예촌	34	충청남도 공주시 반포면 도예촌길 71-25	20020607090000	20241105105419	1	A02	A0201	A02010600	127.2151154996	36.3899747586		32625
125804	고성 왕곡마을	32	강원특별자치도 고성군 왕곡마을길 41	20031001090000	20250605141932	2	A02	A0201	A02010600	128.4995815837	38.3405981100		24746
128946	고성 학동마을 옛 담장	36	경상남도 고성군 하일면 학동돌담길 11-5	20060425090000	20250319190933	3	A02	A0201	A02010600	128.1950033417	34.9444364434		52956
2785906	관동마을	36	경상남도 하동군 적량면 관리	20211206185249	20250313142527	18	A02	A0201	A02010600	127.7660205704	35.0855380447		52321
127714	괴시리 전통마을	35	경상북도 영덕군 영해면 호지마을1길 16-1	20031222090000	20240812132415	12	A02	A0201	A02010600	129.4165708929	36.5431729856		36416
2794637	구례예술인마을	38	전라남도 구례군 광의면 예술인길 46	20211214031915	20250331160005	5	A02	A0201	A02010600	127.4489380158	35.2751750445		57609
127933	김유정문학촌	32	강원특별자치도 춘천시 신동면 김유정로 1430-14	20031023090000	20250731090149	13	A02	A0201	A02010600	127.7176992055	37.8184190354		24412
