contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
294369	가산사	33	충청북도 옥천군 안내면 안내회남로 671	20071126234108	20250316160131	5	A02	A0201	A02010800	127.5973920906	36.4015885618		29005
294390	가섭사	33	충청북도 음성군 음성읍 가섭길 494	20071126235315	20250316211827	6	A02	A0201	A02010800	127.7030557496	36.9666339700		27688
127241	각연사(괴산)	33	충청북도 괴산군 칠성면 각연길 451	20030813090000	20250718171214	1	A02	A0201	A02010800	127.9274860663	36.7543041419		28018
125885	각원사	34	충청남도 천안시 동남구 각원사길 245 (안서동)	20031205090000	20250710094144	12	A02	A0201	A02010800	127.1964300734	36.8338567886		31066
125880	간월암(서산)	34	충청남도 서산시 부석면 간월도1길 119-29	20020408090000	20250619180243	7	A02	A0201	A02010800	126.4114209947	36.6038362307	041-664-6624	32023
294439	감로암(서울)	1	서울특별시 종로구 율곡로23길 16 (충신동)	20071127005251	20250311172529	23	A02	A0201	A02010800	127.0066515383	37.5753815016		03099
294441	감응사(경북)	35	경상북도 성주군 월항면 대산1길 234	20071127011221	20241101163900	10	A02	A0201	A02010800	128.3325146302	35.9347328236		40041
294452	감천사(부산)	6	부산광역시 연제구 묘봉산로 40	20071127012214	20250424114002	13	A02	A0201	A02010800	129.0912632411	35.1833036953		47582
2735620	감추사	32	강원특별자치도 동해시 해안로 120	20210820185711	20250324162430	3	A02	A0201	A02010800	129.1265089534	37.5146783131		25779
125891	갑사	34	충청남도 공주시 계룡면 갑사로 567-3	20031205090000	20250721142214	1	A02	A0201	A02010800	127.1875769727	36.3650187978		32615
126347	강천사(순창)	37	전북특별자치도 순창군 팔덕면 강천산길 270	20031030090000	20241113140854	7	A02	A0201	A02010800	127.0555668463	35.3984154482		56020
527227	강천사(제천)	33	충청북도 제천시 송학면 옥천3길 56-10	20080329012644	20250317212443	7	A02	A0201	A02010800	128.2669759133	37.2065251190		27123
125534	강화 전등사	2	인천광역시 강화군 길상면 전등사로 37-41	20040224090000	20250602142547	1	A02	A0201	A02010800	126.4829144565	37.6316934164		23050
2753929	개덕사	34	충청남도 금산군 추부면 개덕사길 83	20211006224224	20250318192610	2	A02	A0201	A02010800	127.5307471419	36.2309235405		32710
126157	개목사(안동)	35	경상북도 안동시 서후면 개목사길 362	20040216090000	20240829135120	11	A02	A0201	A02010800	128.6679949669	36.6579122746		36616
125908	개심사 (서산)	34	충청남도 서산시 운산면 개심사로 321-86	20020508090000	20250508132157	7	A02	A0201	A02010800	126.5901482688	36.7469061582		31949
1431823	개심사(괴산)	33	충청북도 괴산군 괴산읍 역말길 22	20111109192158	20250316143057	1	A02	A0201	A02010800	127.7947184742	36.8149253105		28025
126346	개암사	37	전북특별자치도 부안군 상서면 개암로 248	20031204090000	20250811162757	6	A02	A0201	A02010800	126.6498267208	35.6628507594		56336
126501	개운사(서울)	1	서울특별시 성북구 개운사길 73	20041230090000	20250404095734	17	A02	A0201	A02010800	127.0280213987	37.5899857439		02842
294476	개원사(경기)	31	경기도 광주시 남한산성면 남한산성로 731-73	20071127013728	20240610110008	5	A02	A0201	A02010800	127.1850881761	37.4740742575		12700
127147	개천사	38	전라남도 화순군 춘양면 변천길 389	20031024090000	20240603092831	24	A02	A0201	A02010800	126.9153916468	34.9044716088		58159
125899	개태사(논산)	34	충청남도 논산시 연산면 계백로 2614-11	20040219090000	20250711140831	3	A02	A0201	A02010800	127.2293710155	36.2407281973		32910
294489	거동사	35	경상북도 영천시 사곡길 77-81 거동사	20071127015135	20240429160232	15	A02	A0201	A02010800	129.0267250873	36.1502240595		38814
2758318	거조사	35	경상북도 영천시 청통면 거조길 400-67	20211019001625	20250314165314	15	A02	A0201	A02010800	128.7646046699	36.0201338921		38867
1579613	거창 감악사지 승탑	36	경상남도 거창군 신원면	20120327195427	20250316162531	2	A02	A0201	A02010800	127.9333508920	35.5905507092		50153
