contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2788127	가왕 송흥록·국창 박초월 생가	37	전북특별자치도 남원시 운봉읍 비전길 7	20211208012601	20241204102357	4	A02	A0201	A02010500	127.5626899062	35.4575758647		55717
2357441	가인 김병로 생가터	37	전북특별자치도 순창군 복흥면 하리길 160	20161229221055	20241206140542	7	A02	A0201	A02010500	126.9774224423	35.4505693165		56002
127111	강진영랑생가	38	전라남도 강진군 강진읍 영랑생가길 15	20020506090000	20241205102531	1	A02	A0201	A02010500	126.7652918469	34.6421930307		59228
2614343	경주 최부자댁	35	경상북도 경주시 교촌안길 19-21 (교동)	20190807020317	20250724090742	2	A02	A0201	A02010500	129.2160342524	35.8307304485		38170
1624224	김남주 생가	38	전라남도 해남군 삼산면 봉학리	20120508015132	20250317144111	23	A02	A0201	A02010500	126.5577903203	34.5408176531		59046
126750	김대중 대통령 생가	38	전라남도 신안군 하의면 후광길 255	20030813090000	20250116132212	12	A02	A0201	A02010500	126.0295930844	34.6312850316		58855
584769	김상옥 생가	36	경상남도 통영시 항남1번가길 13	20080709234321	20250806102125	17	A02	A0201	A02010500	128.4222556203	34.8430768358		53061
1622198	김영삼 전 대통령 생가	36	경상남도 거제시 장목면 옥포대첩로 743-1	20120504184900	20250731111118	1	A02	A0201	A02010500	128.7151694457	34.9315083262		53202
125932	김좌진 장군 생가지	34	충청남도 홍성군 갈산면 백야로546번길 12	20031205090000	20250718090000	15	A02	A0201	A02010500	126.5471394517	36.5979059102		32203
129576	나대용생가및묘소	38	전라남도 나주시 문평면 오륜길 28-5	20070710090000	20250808111457	6	A02	A0201	A02010500	126.6135145853	35.0551690164		58204
252583	난계 박연선생 생가	33	충청북도 영동군 심천면 하고당1길 14-17	20071102090000	20241205104915	4	A02	A0201	A02010500	127.7024321890	36.2179947504		29106
