contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127268	가배량성	36	경상남도 거제시 동부면 가배리	20040119090000	20240613161328	1	A02	A0201	A02010200	128.5722052958	34.7817585943		53330
1254680	갑곶돈대	2	인천광역시 강화군 강화읍 해안동로1366번길 18	20110412020054	20250314100215	1	A02	A0201	A02010200	126.5171140395	37.7335377029		23027
126897	강릉 대공산성	32	강원특별자치도 강릉시 성산면 보현길 396	20021129090000	20250731180750	1	A02	A0201	A02010200	128.7693064482	37.7366262830		25442
129692	강진마도진만호성지	38	전라남도 강진군 마량면 마량리	20070827090000	20250317205433	1	A02	A0201	A02010200	126.8157780917	34.4533428163		59269
127185	강화 덕진진	2	인천광역시 강화군 불은면 덕진로 31-9	20040224090000	20250313165809	1	A02	A0201	A02010200	126.5256656119	37.6492060173		23047
128030	강화 초지진	2	인천광역시 강화군 길상면 해안동로 58	20040224090000	20250313170351	1	A02	A0201	A02010200	126.5322543599	37.6326163996		23049
125564	강화산성	2	인천광역시 강화군 강화읍 국화리 산3번지	20060302090000	20250314131129	1	A02	A0201	A02010200	126.4838970101	37.7560400476		417-800,1
125567	강화전적지	2	인천광역시 강화군 강화읍 해안동로1366번길 18	20060302090000	20250314111556	1	A02	A0201	A02010200	126.5160196946	37.7335599037		23027
3385851	개운포성지	7	울산광역시 남구 성암동	20241011151910	20250311162214	2	A02	A0201	A02010200	129.3426304352	35.4763394037		44784
127726	거제 둔덕기성.사등성지.오량성	36	경상남도 거제시 둔덕면 거림리	20040119090000	20240604144900	1	A02	A0201	A02010200	128.4980650274	34.8680309567		53280
3344859	거제 지세포진성	36	경상남도 거제시 일운면 지세포리	20240808130200	20250315144744	1	A02	A0201	A02010200	128.7187106519	34.8329582924		53328
252566	견훤산성	35	경상북도 상주시 화북면 장암리	20071101090000	20250709110842	9	A02	A0201	A02010200	127.8993602813	36.5756268834		37102
2699663	경주 명활성	35	경상북도 경주시 보문동	20201218195421	20250718112041	2	A02	A0201	A02010200	129.2623298822	35.8417439690		38175
128117	경주 월성(반월성)	35	경상북도 경주시 인왕동	20040419090000	20250306164416	2	A02	A0201	A02010200	129.2250084253	35.8321721215		38172
2756611	경주읍성	35	경상북도 경주시 동문로 31	20211013231947	20250306163531	2	A02	A0201	A02010200	129.2139061887	35.8473202021		38140
1620625	계룡돈대	2	인천광역시 강화군 내가면 황청리	20120502194300	20250313171458	1	A02	A0201	A02010200	126.3538237336	37.7235276660		23017
128079	고령 주산성	35	경상북도 고령군 고령읍 중화리	20040319090000	20241209130432	3	A02	A0201	A02010200	128.2603458960	35.7361595610		40131
129451	고모산성	35	경상북도 문경시 마성면 신현리	20070306090000	20250619135110	7	A02	A0201	A02010200	128.1276124617	36.6617378754		36923
126390	고사부리성(고부구읍성)	37	전북특별자치도 정읍시 고부면 고부리	20020607090000	20241031153705	13	A02	A0201	A02010200	126.7690254087	35.6246710103		56151
2782806	고성 소을비포진성	36	경상남도 고성군 하일면 동화리 398-4	20211129224840	20250519133033	3	A02	A0201	A02010200	128.1894715907	34.9023771683		
3072020	고성리산성	32	강원특별자치도 정선군 신동읍 고성리	20231129135525	20250728163630	11	A02	A0201	A02010200	128.5920924092	37.2586252678		26136
128766	고창 무장현 관아와 읍성	37	전북특별자치도 고창군 무장면 무장읍성길 45	20060125090000	20250704165354	1	A02	A0201	A02010200	126.5575994348	35.4179798008		56455
126398	고창읍성	37	전북특별자치도 고창군 고창읍 모양성로 1	20031210090000	20250709132227	1	A02	A0201	A02010200	126.7044055224	35.4303280891		56440
127265	고현성	36	경상남도 거제시 고현동	20040119090000	20240619093139	1	A02	A0201	A02010200	128.6209762454	34.8795735426		53257
250441	고흥발포만호성	38	전라남도 고흥군 도화면 발포성촌길 3	20071029090000	20250808141437	2	A02	A0201	A02010200	127.3363956420	34.4839064423		59528
125949	공주 공산성 [유네스코 세계유산]	34	충청남도 공주시 웅진로 280	20031205090000	20250709154900	1	A02	A0201	A02010200	127.1268075582	36.4629981682		32555
125988	관북리유적과 부소산성 [유네스코 세계유산]	34	충청남도 부여군 부여읍 부소로 15	20030302090000	20241126155555	6	A02	A0201	A02010200	126.9133647824	36.2855314361		33137
2818242	관호산성	35	경상북도 칠곡군 약목면 관호리	20220429093928	20241104155256	22	A02	A0201	A02010200	128.3942235650	36.0169440703		39829
127213	광성보	2	인천광역시 강화군 불은면 해안동로466번길 27	20060302090000	20250313170124	1	A02	A0201	A02010200	126.5302453301	37.6641793544		23047
2765265	교동읍성	2	인천광역시 강화군 교동면 읍내리 577	20211101193443	20240509173405	1	A02	A0201	A02010200	126.2953056067	37.7694490592		
1624185	구례 석주관성	38	전라남도 구례군 토지면 섬진강대로 4638-8	20120508013525	20240603164525	5	A02	A0201	A02010200	127.5661269190	35.1973802987		57623
2754984	구조라성	36	경상남도 거제시 일운면 구조라로8길 7-1	20211008194303	20250304165612	1	A02	A0201	A02010200	128.6950940743	34.8022668487		53329
126866	금산 백령성	34	충청남도 금산군 남이면 역평리	20020607090000	20240613105108	2	A02	A0201	A02010200	127.3962969596	36.0639846466		32751
1118806	금오산성	35	경상북도 구미시 남통동	20101028235230	20250812094205	4	A02	A0201	A02010200	128.3089370629	36.1025188973		39309
125927	금이성	8	세종특별자치시 전동면 송성리	20040224090000	20250507191038	1	A02	A0201	A02010200	127.2039432522	36.6325356297		30009
126196	금정산성	6	부산광역시 금정구 북문로 78-5 (금성동)	20030826090000	20250731092339	2	A02	A0201	A02010200	129.0524424190	35.2553921199		46237
3027098	금정산성 동문	6	부산광역시 금정구 장전동	20231027174850	20250407175635	2	A02	A0201	A02010200	129.0642277794	35.2453406867		46247
127402	김포 덕포진	31	경기도 김포시 대곶면 덕포진로103번길 130	20030630090000	20250731085512	8	A02	A0201	A02010200	126.5366756976	37.6498366936		10041
