contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
126898	강릉 통일공원	32	강원특별자치도 강릉시 율곡로 1715-38 통일안보전시관	20040203090000	20250805100416	1	A02	A0201	A02011000	128.9984085388	37.7204603916		25626
127938	거제도 포로수용소 유적공원	36	경상남도 거제시 계룡로 61	20031029090000	20250711103747	1	A02	A0201	A02011000	128.6253953896	34.8764184192		53257
126003	국립대전현충원 보훈둘레길	3	대전광역시 유성구 현충원로 251	20031217090000	20250731104736	4	A02	A0201	A02011000	127.2985587765	36.3622460736		34151
252604	국립영천호국원	35	경상북도 영천시 고경면 호국로 1720	20071105090000	20240531112435	15	A02	A0201	A02011000	129.1115558126	35.9806393146		38902
1586632	국립임실호국원	37	전북특별자치도 임실군 강진면 호국로 420	20120330225444	20250318210452	10	A02	A0201	A02011000	127.1895732782	35.5507893785		55938
2568468	군탄공원과 전역비	32	강원특별자치도 철원군 갈말읍 호국로 4914-27	20181122003043	20250320175618	12	A02	A0201	A02011000	127.3142787595	38.1584024851		24034
529493	김일성 별장	32	강원특별자치도 고성군 거진읍 화진포길 280	20080407222201	20250317133128	2	A02	A0201	A02011000	128.4431686945	38.4725399459		24710
2569497	김화군민 망향탑	32	강원특별자치도 철원군 근남면 사곡리	20181125003348	20250120152006	12	A02	A0201	A02011000	127.4604181049	38.2530580143		24063
2733433	노근리평화공원	33	충청북도 영동군 황간면 목화실길 7	20210812192433	20250704153521	4	A02	A0201	A02011000	127.8805775641	36.2135456865		29113
2569361	대성산지구 전적비	32	강원특별자치도 화천군 상서면 다목리 산1-1	20181124001307	20250327105851	17	A02	A0201	A02011000	127.5405935748	38.1775155575		24104
2569507	도라산 평화공원	31	경기도 파주시 장단면 제3땅굴로 310	20181125011334	20250804105059	27	A02	A0201	A02011000	126.7048279898	37.9089594521		10800
127519	도라산역	31	경기도 파주시 희망로 307 도라산역	20030408090000	20240603133602	27	A02	A0201	A02011000	126.7096417227	37.8989079340		10800
2569489	두루미평화마을	32	강원특별자치도 철원군 철원읍 묘장로 301	20181124234259	20250626105214	12	A02	A0201	A02011000	127.1691555961	38.2648151444		24000
2569384	두타연 평화누리길	32	강원특별자치도 양구군 방산면	20181124002750	20250319193357	6	A02	A0201	A02011000	127.9835710384	38.2269042350		24501
2569493	미수복지구 망배단	32	강원특별자치도 철원군 철원읍 외촌리 331	20181125002007	20250115131012	12	A02	A0201	A02011000	127.2021993078	38.2808583177		24001
731587	백마고지 위령비와 기념관	32	강원특별자치도 철원군 철원읍 대마1길 72	20090507202611	20250407111724	12	A02	A0201	A02011000	127.1652863536	38.2700172415		24000
2569481	비룡전망대(구 승전OP)	31	경기도 연천군 장남면 고랑포리	20181124231631	20250407112239	21	A02	A0201	A02011000	126.8360387102	37.9873720902		11050
250367	상승전망대(제1땅굴)	31	경기도 연천군 백학면 백령리	20071024090000	20240514143905	21	A02	A0201	A02011000	126.8884538310	38.0668415252		11048
3449598	석파정	1	서울특별시 종로구 창의문로11길 4-1 (부암동)	20241218152258	20250107100457	23	A02	A0201	A02011000	126.9627744300	37.5948701151		03021
3450146	안국사	1	서울특별시 관악구 낙성대로 77 (봉천동)	20241218164019	20250731115405	5	A02	A0201	A02011000	126.9587338341	37.4716399155		08799
3448238	알펜시아리조트대관령스키역사관	32	강원특별자치도 평창군 대관령면 스포츠파크길 135	20241218102500	20241219224730	15	A02	A0201	A02011000	128.6824665357	37.6628220290		25351
1137812	연천 유엔(UN)군 화장장시설	31	경기도 연천군 미산면 마전리	20101201022753	20250702110914	21	A02	A0201	A02011000	126.9951147629	38.0228569299		11047
2569505	영토문화관독도	31	경기도 파주시 탄현면 헤이리마을길 59-128	20181125010501	20250315151206	27	A02	A0201	A02011000	126.6952905180	37.7919007222		10859
2733063	오산 죽미령 평화공원	31	경기도 오산시 경기대로 742	20210811230904	20250702114220	22	A02	A0201	A02011000	127.0490281165	37.1846608982		18112
800214	월남 파병용사 만남의 장 (구, 베트남 참전용사 만남의 장)	32	강원특별자치도 화천군 간동면 죽엽산길 81-68	20090909023533	20250324143904	17	A02	A0201	A02011000	127.8349453554	38.0551881157		24137
264483	월정리역	32	강원특별자치도 철원군 철원읍 두루미로 1882	20040306004131	20250317223541	12	A02	A0201	A02011000	127.2291459907	38.3092138272		24001
125554	유엔군 초전기념비	31	경기도 오산시 경기대로 742	20020510090000	20240827175305	22	A02	A0201	A02011000	127.0498447336	37.1837860135		18112
529498	이기붕별장	32	강원특별자치도 고성군 거진읍 화진포길 280	20080407230248	20250728102841	2	A02	A0201	A02011000	128.4430325955	38.4725343883		24710
129591	이승만별장(고성)	32	강원특별자치도 고성군 이승만별장길 33 이승만별장	20070713090000	20250730105243	2	A02	A0201	A02011000	128.4363027064	38.4708816727		24707
3043967	이종석별장	1	서울특별시 성북구 성북로 131 (성북동)	20231120134111	20250728130758	17	A02	A0201	A02011000	126.9950103900	37.5944901822		02879
2539403	임진강 독개다리	31	경기도 파주시 문산읍 마정리 1400-5	20180309194823	20250325173344	27	A02	A0201	A02011000	126.7368089147	37.8905288430		10808
264481	제2땅굴(철원)	32	강원특별자치도 철원군 동송읍 양지리	20040306000735	20250317213934	12	A02	A0201	A02011000	127.2827173522	38.2660559792		24009
127000	제3땅굴	31	경기도 파주시 군내면 제3땅굴로 210-358	20031128090000	20250331141050	27	A02	A0201	A02011000	126.6991949569	37.9165529096		10800
3452841	조령제1관문	35	경상북도 문경시 문경읍 새재로 1039	20241219151626	20241219174653	7	A02	A0201	A02011000	128.0751334868	36.7710466030		36919
125812	철원관광정보센터	32	강원특별자치도 철원군 동송읍 태봉로 1825	20040227090000	20250315130819	12	A02	A0201	A02011000	127.2868693456	38.1859626462		24023
2375571	캠프 그리브스	31	경기도 파주시 군내면 적십자로 137	20160330002018	20250324173124	27	A02	A0201	A02011000	126.7316452726	37.8984861542		10800
127001	통일공원(파주)	31	경기도 파주시 파주읍 봉서리	20021022090000	20250325165008	27	A02	A0201	A02011000	126.7935131703	37.8512538863		10836
2514802	통일안보공원	32	강원특별자치도 고성군 현내면 금강산로 481	20171110232116	20250318101713	2	A02	A0201	A02011000	128.4166336872	38.5144234240		24702
2569508	통일촌마을	31	경기도 파주시 군내면 통일촌길 220	20181125011723	20250325174757	27	A02	A0201	A02011000	126.7311617586	37.9063713366		10800
127548	파주 임진각(평화누리공원)	31	경기도 파주시 문산읍 임진각로 177	20030418090000	20250718090000	27	A02	A0201	A02011000	126.7402002968	37.8895929015		10808
125579	판문점	31	경기도 파주시 문산읍 임진각로 148-40	20021022090000	20250527160353	27	A02	A0201	A02011000	126.7448053593	37.8920982471		10808
2569459	펀치볼지구전투전적비	32	강원특별자치도 양구군 동면 팔랑리	20181124032943	20250120143758	6	A02	A0201	A02011000	128.0463239786	38.2160011446		24507
922013	필리핀군 참전기념비	31	경기도 고양시 덕양구 관산동	20100114003921	20250731140253	2	A02	A0201	A02011000	126.8729133116	37.6884548383		10285
2570364	한국DMZ평화생명동산	32	강원특별자치도 인제군 서화면 금강로 1630	20181127235443	20250704150147	10	A02	A0201	A02011000	128.2082167941	38.2405874812		24600
2569472	한반도통일미래센터	31	경기도 연천군 전곡읍 남계로 408	20181124224217	20250319171919	21	A02	A0201	A02011000	127.0080891882	38.0016346439		11040
127408	1.21 무장공비 침투로	31	경기도 연천군 장남면 반정리 294	20040225090000	20250318164632	21	A02	A0201	A02011000	126.8281565928	37.9702017321		486-890,1
2568711	643고지전투전적비	32	강원특별자치도 화천군 화천읍 대이리	20181122024839	20250327161424	17	A02	A0201	A02011000	127.7590200916	38.1095553517		24132
2569488	DMZ 두루미 평화타운(구 철새마을)	32	강원특별자치도 철원군 동송읍 양지2길 15-19	20181124233855	20250316125352	12	A02	A0201	A02011000	127.2827145794	38.2659004414		24009
2831210	DMZ 생생누리	31	경기도 파주시 문산읍 임진각로 148-57	20220729162029	20250317103709	27	A02	A0201	A02011000	126.7397336451	37.8905844440		10808
2353577	DMZ 생태평화공원	32	강원특별자치도 철원군 김화읍 생창길 481-1	20151224183034	20250306112315	12	A02	A0201	A02011000	127.4513042085	38.2812378818		24053
2569463	DMZ펀치볼둘레길	32	강원특별자치도 양구군 해안면 해안서화로 23	20181124034746	20250708110352	6	A02	A0201	A02011000	128.1442044239	38.2906137518		24562
