contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
1957336	가산서원	38	전라남도 장성군 삼서면 영장로 2015	20141017190007	20250319164704	19	A02	A0201	A02010700	126.6931003984	35.2313226604		57256
1578561	가선정	36	경상남도 거창군 북상면 송계로 731-42	20120327013044	20241016111926	2	A02	A0201	A02010700	127.8160339922	35.7788772875		50102
1579499	가섭암지 마애여래삼존입상	36	경상남도 거창군 위천면 상천리	20120327035657	20240530140854	2	A02	A0201	A02010700	127.7941371179	35.7345485901		50103
1236556	가야진사	36	경상남도 양산시 원동면 용당들길 43-62	20110321195941	20241107114035	10	A02	A0201	A02010700	128.9023718710	35.3675378711		50586
1201082	가평별묘	31	경기도 가평군 설악면 방일리	20110210225513	20250318191243	1	A02	A0201	A02010700	127.4915450327	37.6196823854		12472
921096	가평향교	31	경기도 가평군 가평읍 호반로 1660-143	20100113183142	20241113102325	1	A02	A0201	A02010700	127.5133533425	37.7431684422		12430
736597	가학동지석묘	31	경기도 광명시 가학동	20090520194046	20240808173352	4	A02	A0201	A02010700	126.8568365465	37.4085426445		14339
1959464	가호서원	36	경상남도 진주시 이반성면 용암길 59-2	20141023195955	20240430091426	13	A02	A0201	A02010700	128.3325771223	35.1664473205		52614
1956297	간곡서원	34	충청남도 부여군 임천면 성흥로283번길 31-4	20141015192144	20250319185643	6	A02	A0201	A02010700	126.9083929500	36.1825403583		33220
126792	간성향교	32	강원특별자치도 고성군 간성읍 진부령로 2659	20020510090000	20250625162955	2	A02	A0201	A02010700	128.4389748268	38.3778814721		24727
1608562	간재선생유지	37	전북특별자치도 부안군 계화면 양지길 12	20120420194659	20250318212510	6	A02	A0201	A02010700	126.6371856100	35.7943022476		56300
1577060	갈천서당	36	경상남도 거창군 북상면 송계로 767-34	20120324013740	20241106134125	2	A02	A0201	A02010700	127.8160978214	35.7808909491		50102
1959468	갈천서원	36	경상남도 고성군 대가면 갈천로 620	20141023200356	20250316103735	3	A02	A0201	A02010700	128.2510123914	35.0480785952		52927
3082301	감사공묘역	39	제주특별자치도 제주시 조천읍 함대로 362	20231201180445	20240116160523	4	A02	A0201	A02010700	126.6611469938	33.5129949735		63335
946216	강경 구 연수당 건재 약방	34	충청남도 논산시 강경읍 옥녀봉로24번길 12-1	20100206015742	20250319192811	3	A02	A0201	A02010700	127.0184336426	36.1620223920		32934
946451	강경 중앙초등학교 강당	34	충청남도 논산시 강경읍 옥녀봉로 8	20100208225913	20250319192751	3	A02	A0201	A02010700	127.0191725131	36.1602309428		32934
1627011	강경미내다리	34	충청남도 논산시 채운면 삼거리	20120510190424	20241209085820	3	A02	A0201	A02010700	127.0319493430	36.1528570080		32944
946844	강경역사관	34	충청남도 논산시 강경읍 계백로167번길 50	20100209195422	20250704135933	3	A02	A0201	A02010700	127.0152089296	36.1620834404		32935
946712	강경역사문화안내소(구 강경노동조합)	34	충청남도 논산시 강경읍 옥녀봉로27번길 30-5	20100209184734	20250319192735	3	A02	A0201	A02010700	127.0146367865	36.1610252177		32935
129132	강댕이 미륵불	34	충청남도 서산시 운산면 마애삼존불길 18-1	20060711090000	20250312154929	7	A02	A0201	A02010700	126.6025046578	36.7778111433		31950
1957338	강덕사	38	전라남도 강진군 군동면 호라길 199-39	20141017190442	20250316214217	1	A02	A0201	A02010700	126.8026827060	34.6544228340		59220
125790	강릉 경포대	32	강원특별자치도 강릉시 경포로 365	20040203090000	20250704151938	1	A02	A0201	A02010700	128.8965126086	37.7955691591		25461
125769	강릉 굴산사지	32	강원특별자치도 강릉시 구정면 학산리	20021127090000	20250411092331	1	A02	A0201	A02010700	128.8918046506	37.7072681694		25623
125787	강릉향교	32	강원특별자치도 강릉시 명륜로 29	20040227090000	20250702155314	1	A02	A0201	A02010700	128.8952470467	37.7635561721		25491
1957340	강성서원	38	전라남도 장흥군 유치면 유치로 70	20141017190808	20240522145153	20	A02	A0201	A02010700	126.8342346678	34.8015290538		59301
1622799	강양향교	36	경상남도 합천군 합천읍 충효로1길 5-14	20120505014302	20250319191041	21	A02	A0201	A02010700	128.1612398605	35.5636856061		50236
126416	강진 고려청자 요지	38	전라남도 강진군 대구면 사당리	20031107090000	20240607113050	1	A02	A0201	A02010700	126.8017668880	34.5081420024		59263
2515265	강진 백운동별서정원	38	전라남도 강진군 성전면 월하안운길 100-63	20171115223600	20250319192719	1	A02	A0201	A02010700	126.6998840655	34.7420918349		59201
128952	강진 병영마을 옛 담장	38	전라남도 강진군 병영면 동삼인길 20	20060426090000	20250317144914	1	A02	A0201	A02010700	126.8181743133	34.7148996334		59214
1624164	강진향교	38	전라남도 강진군 강진읍 향교로 140	20120508012218	20250316214026	1	A02	A0201	A02010700	126.7714883256	34.6503616614		59222
1955953	강한사	31	경기도 여주시 청심로 113 (하동)	20141015010410	20250630115748	20	A02	A0201	A02010700	127.6331386778	37.2991248935		12619
125565	강화 고인돌 유적 [유네스코 세계유산]	2	인천광역시 강화군 하점면 부근리	20060302090000	20250313165158	1	A02	A0201	A02010700	126.4374730037	37.7734344221		23014
250304	강화 선원사지	2	인천광역시 강화군 선원면 선원사지로 222	20071022090000	20250313173239	1	A02	A0201	A02010700	126.4924889291	37.7188250962		23042
128823	강화 장정리 석조여래입상	2	인천광역시 강화군 하점면 장정리	20060308090000	20240617112257	1	A02	A0201	A02010700	126.4256211035	37.7809416705		23014
125566	강화 홍릉	2	인천광역시 강화군 강화읍 국화리	20040224090000	20240502155104	1	A02	A0201	A02010700	126.4393070303	37.7425658342		417-804,1
2765210	강화오상리고인돌군	2	인천광역시 강화군 내가면 강화서로416번길 53-37	20211101182906	20250326162038	1	A02	A0201	A02010700	126.4009025027	37.7323802364		23018
125563	강화향교	2	인천광역시 강화군 강화읍 향교길 58	20060302090000	20250624150719	1	A02	A0201	A02010700	126.4786892184	37.7537263369		23029
1607032	개령암지 마애불상군	37	전북특별자치도 남원시 산내면 정령치로 1523	20120419181023	20241031153443	4	A02	A0201	A02010700	127.5220487154	35.3638163064		55805
1954998	개령향교	35	경상북도 김천시 개령면 동부1길 78-27	20141010194743	20250804110333	6	A02	A0201	A02010700	128.1872542598	36.1715560406		39515
126812	개삼터·개삼각	34	충청남도 금산군 남이면 개삼로 101	20020513090000	20250321112000	2	A02	A0201	A02010700	127.4782837945	36.0753931283		32752
1432440	개심사 목조여래좌상과 목조관음보살좌상	33	충청북도 괴산군 괴산읍 역말길 22	20111110001838	20250316143055	1	A02	A0201	A02010700	127.7948351290	36.8149947491		28025
947611	개항장 거리	2	인천광역시 중구 관동1가	20100210030556	20250807163143	10	A02	A0201	A02010700	126.6210062460	37.4729337678		22315
127266	거제향교	36	경상남도 거제시 거제면 기성로7길 10	20040119090000	20240614111034	1	A02	A0201	A02010700	128.5898602232	34.8526037743		53285
1579507	거창 강남사지 석조여래입상	36	경상남도 거창군 위천면 상천리	20120327040334	20250317110636	2	A02	A0201	A02010700	127.8165766434	35.7403816619		50103
1578811	거창 내오리 지석묘	36	경상남도 거창군 주상면	20120327030834	20250317103537	2	A02	A0201	A02010700	127.8907050804	35.7819116096		50114
1578542	거창 농산리 석조여래입상	36	경상남도 거창군 북상면 농산리	20120327011100	20240618132218	2	A02	A0201	A02010700	127.8103903399	35.7679617584		50101
128657	거창 둔마리 벽화 고분	36	경상남도 거창군 남하면 대촌1길	20051114090000	20240503095215	2	A02	A0201	A02010700	127.9671554833	35.7222975123		50121
127696	거창 수승대	36	경상남도 거창군 위천면 은하리길 2	20040127090000	20250708152609	2	A02	A0201	A02010700	127.8336967988	35.7609657443		50103
1578958	거창 요수정	36	경상남도 거창군 위천면 은하리길 100	20120327031803	20250319191005	2	A02	A0201	A02010700	127.8309664506	35.7622516612		50103
1578445	거창 일원정	36	경상남도 거창군 남상면 밤티재로 863	20120327002642	20250317103258	2	A02	A0201	A02010700	127.9530587980	35.6453004220		50150
1955226	거창향교	36	경상남도 거창군 거창읍 성산길 34	20141011021921	20250319190122	2	A02	A0201	A02010700	127.9037785388	35.6929441479		50130
1622226	건계정	36	경상남도 거창군 거창읍 거안로 1173-21	20120504190619	20241104145607	2	A02	A0201	A02010700	127.8790001805	35.6926715144		50124
1604652	건청궁	1	서울특별시 종로구 사직로 161 (세종로)	20120417200928	20250313155516	23	A02	A0201	A02010700	126.9767375783	37.5760836609		03045
1956299	검계서원	34	충청남도 천안시 동남구 풍세면 금호1길 117-10	20141015192621	20250319185600	12	A02	A0201	A02010700	127.0900947887	36.7479758981		31214
1955985	검암서원	33	충청북도 청주시 상당구 가덕면 병암리 215-2	20141015014554	20250307175307	10	A02	A0201	A02010700	127.5715339648	36.5788983496		28205
1627251	결성향교	34	충청남도 홍성군 결성면 홍남서로707번길 21-8	20120510221657	20250317213914	15	A02	A0201	A02010700	126.5431610786	36.5289137789		32212
1957342	겸천서원	38	전라남도 순천시 주암면 죽림리	20141017191155	20250319192913	11	A02	A0201	A02010700	127.2495077760	35.0812434783		57911
1957963	경광서원	35	경상북도 안동시 서후면 금계3길 131-24	20141021180033	20250627172439	11	A02	A0201	A02010700	128.6822925820	36.6005191001		36616
