contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2513971	가실성당	35	경상북도 칠곡군 왜관읍 가실1길 1	20171102234940	20250512170441	22	A02	A0201	A02010900	128.4048776375	35.9363922928		39912
3006131	가톨릭 목포 성지	38	전라남도 목포시 산정동	20230831163332	20240522163730	8	A02	A0201	A02010900	126.3857937169	34.7996301851		58712
2733967	가회동성당	1	서울특별시 종로구 북촌로 57 (가회동)	20210817184103	20250312152659	23	A02	A0201	A02010900	126.9846616856	37.5820858828		03052
1114686	감곡매괴성모순례지성당	33	충청북도 음성군 감곡면 성당길 10	20101021190531	20250306110232	6	A02	A0201	A02010900	127.6411569266	37.1213983401		27602
2768133	갑곶순교성지	2	인천광역시 강화군 강화읍 해안동로1366번길 35	20211104194215	20240502111559	1	A02	A0201	A02010900	126.5174945418	37.7341959658		23027
250326	강화 서도 중앙교회	2	인천광역시 강화군 서도면 주문도길 256-1	20071023090000	20240529172734	1	A02	A0201	A02010900	126.2442776542	37.6436850663		23008
127802	강화 참성단	2	인천광역시 강화군 화도면 흥왕리	20040224090000	20240612142931	1	A02	A0201	A02010900	126.4315613145	37.6140195745		23062
1578694	거창 거기리 성황단	36	경상남도 거창군 주상면 거기리	20120327023713	20250316121840	2	A02	A0201	A02010900	127.9391237212	35.7559265332		50115
1578267	거창 당동 당집	36	경상남도 거창군 가조면 장군봉1길 439-42	20120326231807	20250316162705	2	A02	A0201	A02010900	128.0087489825	35.7241036091		50118
3006094	경동성당	38	전라남도 목포시 해안로165번길 33 (경동2가)	20230831160154	20250725143111	8	A02	A0201	A02010900	126.3813389000	34.7852900614		58754
250309	고창오거리당산	37	전북특별자치도 고창군 고창읍 읍내리	20071022090000	20240614134433	1	A02	A0201	A02010900	126.7082884486	35.4327723227		56438
126399	곡성 단군전	38	전라남도 곡성군 곡성읍 영운1길 33	20020513090000	20240618145134	3	A02	A0201	A02010900	127.2932708830	35.2874348574		57534
127239	공주 계룡산 중악단	34	충청남도 공주시 계룡면 신원사동길 1	20020513090000	20250721142350	1	A02	A0201	A02010900	127.1839669782	36.3355276659		32619
2613461	공주 중동성당	34	충청남도 공주시 성당길 6	20190729230510	20250319190635	1	A02	A0201	A02010900	127.1277076887	36.4551824131		32562
127240	공주 황새바위 순교성지	34	충청남도 공주시 왕릉로 118 (금성동)	20030122090000	20250311163120	1	A02	A0201	A02010900	127.1200886904	36.4639646057		32541
791697	괴산 문당리 서낭단	33	충청북도 괴산군 청안면 문당리	20090903012349	20250327145245	1	A02	A0201	A02010900	127.6826360926	36.7434898072		28052
2931432	교남YMCA 회관	4	대구광역시 중구 남성로 22	20221207142706	20240702110701	8	A02	A0201	A02010900	128.5893132677	35.8680812005		41933
946272	구 강경성결교회 예배당	34	충청남도 논산시 강경읍 계백로219번길 40-1	20100206024753	20241205143400	3	A02	A0201	A02010900	127.0185058382	36.1627889719		32934
2048794	구 철원제일교회	32	강원특별자치도 철원군 철원읍 금강산로 319	20151211200324	20250306111018	12	A02	A0201	A02010900	127.2033945460	38.2503313577		24001
126805	구산성지	31	경기도 하남시 미사강변북로 99	20031128090000	20240513110300	30	A02	A0201	A02010900	127.1894627372	37.5729517479		12903
1951648	금강대도	8	세종특별자치시 금남면 금천1길 78	20140926011640	20250711144916	1	A02	A0201	A02010900	127.3151939479	36.4444286252		30088
250328	금산교회	37	전북특별자치도 김제시 금산면 모악로 407	20071023090000	20240520150449	3	A02	A0201	A02010900	127.0354937087	35.7194036915		54343
