contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2019720	가고파 꼬부랑길 벽화마을	36	경상남도 창원시 마산합포구 성호서7길 15-8	20150721030848	20250317231916	16	A02	A0203	A02030100	128.5696552845	35.2077664004		51281
1553085	가루매마을	31	경기도 양평군 지평면 옥현리	20120216000046	20250109160817	19	A02	A0203	A02030100	127.6145192906	37.4519513148		12544
3068424	가리왕산케이블카	32	강원특별자치도 정선군 북평면 중봉길 41-35	20231214095937	20240523135350	11	A02	A0203	A02030400	128.6097538017	37.4742535268	033-560-3467	26100
2820640	가림상회	34	충청남도 부여군 임천면 성흥로97번길 4-5	20220519113231	20250701151301	6	A02	A0203	A02030400	126.8928691464	36.1899003585		33219
128498	가뫼골마을	36	경상남도 진주시 명석면 관덕길 174	20050512090000	20250626094049	13	A02	A0203	A02030100	128.0324121006	35.2586565930		52641
2629074	가산산성마을	35	경상북도 칠곡군 가산면 가산로 891	20191023014804	20241213173305	22	A02	A0203	A02030100	128.5978129850	36.0501079498		39853
3023389	가실벚꽃길	31	경기도 용인시 처인구 포곡읍 가실리	20231024111746	20250527131400	23	A02	A0203	A02030600	127.1950173777	37.2938508782		17021
3459087	가야금신조기념관	38	전라남도 영암군 영암읍 기찬랜드로 19-10	20241224113727	20241226133322	17	A02	A0203	A02030400	126.6856118867	34.7919693222		58420
250121	가야의 거리	36	경상남도 김해시 구지로 95 (대성동)	20060728090000	20250702172436	4	A02	A0203	A02030600	128.8739750841	35.2392795268		50911
3337798	가얏고마을	35	경상북도 고령군 대가야읍 정정골길 55	20240725142055	20250305150159	3	A02	A0203	A02030100	128.2607262742	35.7414561912		40132
3006493	가우도 모노레일	38	전라남도 강진군 가우도길 2-87	20230816182305	20250812154132	1	A02	A0203	A02030400	126.7847455361	34.5339749368		59251
3410648	가을동화 감귤밭	39	제주특별자치도 서귀포시 서홍동	20241108145631	20241108145650	3	A02	A0203	A02030100	126.5518123101	33.2556272247		63578
2793231	가장마을	37	전북특별자치도 남원시 운봉읍 가장길 4	20211213232419	20250318212819	4	A02	A0203	A02030100	127.5179339854	35.4101221138		55720
128427	가정녹색농촌체험마을	38	전라남도 곡성군 고달면 가정마을길 120	20050422090000	20230516120040	3	A02	A0203	A02030100	127.3712766775	35.2263181024		57547
130523	가족문화센터	7	울산광역시 남구 대공원로 84	20041008090000	20250311164549	2	A02	A0203	A02030400	129.2905556337	35.5319960593		44660
2034446	가창 찐빵 골목	4	대구광역시 달성군 가창면 가창로 1099	20151021001307	20250731155922	3	A02	A0203	A02030600	128.6222232980	35.8027142041		42933
127778	가천 다랭이마을	36	경상남도 남해군 남면 홍현리 남면로 679번길 21	20040129090000	20250626093654	5	A02	A0203	A02030100	127.8943963083	34.7279803963		668-861,21
2785941	가탄마을	36	경상남도 하동군 화개면 탑리	20211206190608	20241227135256	18	A02	A0203	A02030100	127.6380178715	35.1951401371		52303
128418	가파마을	34	충청남도 청양군 대치면 가파로 506-8	20070914090000	20250326152538	13	A02	A0203	A02030100	126.8800510114	36.4978037404		33341
630461	가평 아홉마지기마을	31	경기도 가평군 가평읍 용추로 238	20081001023346	20250315122025	1	A02	A0203	A02030100	127.4877442849	37.8475697154		12408
129285	가평 연인산마을	31	경기도 가평군 북면 백둔로 417-11	20061031090000	20250409135746	1	A02	A0203	A02030100	127.4626644345	37.9014296489		12406
129407	가평 영양잣마을	31	경기도 가평군 상면 축령로 70	20061213090000	20250318190819	1	A02	A0203	A02030100	127.3645382139	37.7741593259		12448
3077222	가평군어린이음악놀이터	31	경기도 가평군 가평읍 중앙로 10	20231024103926	20240112142012	1	A02	A0203	A02030400	127.5132759112	37.8264393122		12420
538472	각사산촌생태마을	36	경상남도 합천군 가야면 야천로 101	20080417225018	20250116130934	21	A02	A0203	A02030100	128.1397749758	35.7729976524		50201
129045	간월도마을	34	충청남도 서산시 부석면 간월도리	20060622090000	20250718090000	7	A02	A0203	A02030100	126.4227029018	36.6192846446		32023
129024	갈두마을(땅끝마을)	38	전라남도 해남군 송지면 땅끝마을길 82	20060621090000	20250316120821	23	A02	A0203	A02030100	126.5285847288	34.2998052878		59065
2629105	갈두천권역마을	34	충청남도 태안군 원북면 대기길 12-20	20191023022226	20250326131031	14	A02	A0203	A02030100	126.2574770059	36.7988972173		32112
3447845	갈매구릉산자락길	31	경기도 구리시 산마루로 106 (갈매동)	20241217170141	20250731155316	6	A02	A0203	A02030400	127.1238754676	37.6280830442		11902
635593	갈중이(천연염색체험)	39	제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이	20081010200127	20240828095020	3	A02	A0203	A02030200	126.3136584209	33.2351423980		63528
2820184	감성공작소	32	강원특별자치도 삼척시 대학로 13-1 (당저동)	20220517144326	20250626144704	4	A02	A0203	A02030400	129.1631079016	37.4423790237		25917
3056401	감수굴 밭담길	39	제주특별자치도 제주시 구좌읍 평대7길 34	20231204110507	20250428175030	4	A02	A0203	A02030100	126.8432807691	33.5310570194		63360
2755857	감악산항노화웰니스체험장	36	경상남도 거창군 신원면 연수사길 456	20211013014530	20250311143305	2	A02	A0203	A02030400	127.9199604172	35.5901644033		50153
126828	갓바위 문화타운	38	전라남도 목포시 남농로 135	20040224090000	20250731153657	8	A02	A0203	A02030600	126.4209824186	34.7936564349		58699
3082347	강경구락부	34	충청남도 논산시 강경읍 계백로167번길 46-11	20240116165644	20250316120610	3	A02	A0203	A02030400	127.0155005764	36.1618473607		32935
2650372	강경근대거리	34	충청남도 논산시 강경읍 옥녀봉로 30-5	20200325020256	20241017160957	3	A02	A0203	A02030600	127.0178753661	36.1617724110		32934
264570	강남	1	서울특별시 강남구 압구정로 161 (압구정동)	20050623224701	20250604133052	1	A02	A0203	A02030400	127.0270732739	37.5268958352		06001
801339	강당골 산촌체험관	34	충청남도 아산시 송악면 강당학마을길 7	20090911003758	20250626171827	9	A02	A0203	A02030100	127.0155023533	36.7169948120		31557
128293	강릉 대기리마을	32	강원특별자치도 강릉시 왕산면 왕산로 1327	20050308090000	20250319160222	1	A02	A0203	A02030100	128.7776435739	37.5883185884		25642
2628994	강릉 명주동 거리	32	강원특별자치도 강릉시 명주동	20191022233650	20250319174254	1	A02	A0203	A02030600	128.8927254362	37.7511381142		25538
1086405	강릉 모래내 한과마을(갈골한과)	32	강원특별자치도 강릉시 사천면 한과마을길 20	20100904020650	20250414164149	1	A02	A0203	A02030100	128.8328344506	37.8138296931		25437
128359	강릉 복사꽃마을	32	강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타	20050414090000	20250324105424	1	A02	A0203	A02030100	128.7773762919	37.8801348222		25402
2588752	강릉 월화거리	32	강원특별자치도 강릉시 금성로11번길 9	20190117231019	20250410131825	1	A02	A0203	A02030600	128.8974470859	37.7559015445		25542
3379937	강릉 한복 문화 창작소	32	강원특별자치도 강릉시 동부시장3길 9 (옥천동)	20241004131207	20250319190639	1	A02	A0203	A02030400	128.9006133766	37.7588151581		25552
128360	강릉 한울타리마을	32	강원특별자치도 강릉시 옥계면 북동용소길 137	20050414090000	20250318104118	1	A02	A0203	A02030100	128.9747778772	37.6128390281		25637
129337	강릉 해살이마을	32	강원특별자치도 강릉시 사천면 중앙서로 557-1	20061108090000	20250317142810	1	A02	A0203	A02030100	128.8109759564	37.7929261321		25438
3050590	강릉수월래	32	강원특별자치도 강릉시 죽헌길9번길 17 (유천동)	20231128133958	20250723134016	1	A02	A0203	A02030400	128.8737571477	37.7690162327		25457
2804474	강릉아기동물농장	32	강원특별자치도 강릉시 사천면 해안로 1121-144	20221231023919	20250624102837	1	A02	A0203	A02030100	128.8611225614	37.8462598232		25435
2774698	강릉아트센터	32	강원특별자치도 강릉시 종합운동장길 84	20211116184519	20250108132248	1	A02	A0203	A02030400	128.8954273345	37.7716996777		25474
2930702	강릉안반데기관광농원	32	강원특별자치도 강릉시 안반데기1길 203	20221206145801	20250718090000	1	A02	A0203	A02030100	128.7400518871	37.6087932748	033-644-5882	25642
2414791	강릉커피거리	32	강원특별자치도 강릉시 창해로14번길 20-1	20160909234953	20250718090000	1	A02	A0203	A02030600	128.9473504054	37.7726505813		25556
3043735	강서역사문화거리	1	서울특별시 강서구 양천로 291 (마곡동)	20231120105441	20250613091300	4	A02	A0203	A02030600	126.8366643489	37.5722343802		07520
2610850	강원숲체험장	32	강원특별자치도 춘천시 서면 납실길 107-64	20190712185415	20250327144500	13	A02	A0203	A02030400	127.6397214646	37.9630563077		24460
2745423	강주 해바라기 마을	36	경상남도 함안군 법수면 강주4길 37	20210915192809	20250318192254	19	A02	A0203	A02030100	128.3331507132	35.3213521361		52059
