contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2019720	가고파 꼬부랑길 벽화마을	36	경상남도 창원시 마산합포구 성호서7길 15-8	20150721030848	20250317231916	16	A02	A0203	A02030100	128.5696552845	35.2077664004		51281
1553085	가루매마을	31	경기도 양평군 지평면 옥현리	20120216000046	20250109160817	19	A02	A0203	A02030100	127.6145192906	37.4519513148		12544
128498	가뫼골마을	36	경상남도 진주시 명석면 관덕길 174	20050512090000	20250626094049	13	A02	A0203	A02030100	128.0324121006	35.2586565930		52641
2629074	가산산성마을	35	경상북도 칠곡군 가산면 가산로 891	20191023014804	20241213173305	22	A02	A0203	A02030100	128.5978129850	36.0501079498		39853
3337798	가얏고마을	35	경상북도 고령군 대가야읍 정정골길 55	20240725142055	20250305150159	3	A02	A0203	A02030100	128.2607262742	35.7414561912		40132
3410648	가을동화 감귤밭	39	제주특별자치도 서귀포시 서홍동	20241108145631	20241108145650	3	A02	A0203	A02030100	126.5518123101	33.2556272247		63578
2793231	가장마을	37	전북특별자치도 남원시 운봉읍 가장길 4	20211213232419	20250318212819	4	A02	A0203	A02030100	127.5179339854	35.4101221138		55720
128427	가정녹색농촌체험마을	38	전라남도 곡성군 고달면 가정마을길 120	20050422090000	20230516120040	3	A02	A0203	A02030100	127.3712766775	35.2263181024		57547
127778	가천 다랭이마을	36	경상남도 남해군 남면 홍현리 남면로 679번길 21	20040129090000	20250626093654	5	A02	A0203	A02030100	127.8943963083	34.7279803963		668-861,21
2785941	가탄마을	36	경상남도 하동군 화개면 탑리	20211206190608	20241227135256	18	A02	A0203	A02030100	127.6380178715	35.1951401371		52303
128418	가파마을	34	충청남도 청양군 대치면 가파로 506-8	20070914090000	20250326152538	13	A02	A0203	A02030100	126.8800510114	36.4978037404		33341
630461	가평 아홉마지기마을	31	경기도 가평군 가평읍 용추로 238	20081001023346	20250315122025	1	A02	A0203	A02030100	127.4877442849	37.8475697154		12408
129285	가평 연인산마을	31	경기도 가평군 북면 백둔로 417-11	20061031090000	20250409135746	1	A02	A0203	A02030100	127.4626644345	37.9014296489		12406
129407	가평 영양잣마을	31	경기도 가평군 상면 축령로 70	20061213090000	20250318190819	1	A02	A0203	A02030100	127.3645382139	37.7741593259		12448
538472	각사산촌생태마을	36	경상남도 합천군 가야면 야천로 101	20080417225018	20250116130934	21	A02	A0203	A02030100	128.1397749758	35.7729976524		50201
129045	간월도마을	34	충청남도 서산시 부석면 간월도리	20060622090000	20250718090000	7	A02	A0203	A02030100	126.4227029018	36.6192846446		32023
129024	갈두마을(땅끝마을)	38	전라남도 해남군 송지면 땅끝마을길 82	20060621090000	20250316120821	23	A02	A0203	A02030100	126.5285847288	34.2998052878		59065
2629105	갈두천권역마을	34	충청남도 태안군 원북면 대기길 12-20	20191023022226	20250326131031	14	A02	A0203	A02030100	126.2574770059	36.7988972173		32112
3056401	감수굴 밭담길	39	제주특별자치도 제주시 구좌읍 평대7길 34	20231204110507	20250428175030	4	A02	A0203	A02030100	126.8432807691	33.5310570194		63360
801339	강당골 산촌체험관	34	충청남도 아산시 송악면 강당학마을길 7	20090911003758	20250626171827	9	A02	A0203	A02030100	127.0155023533	36.7169948120		31557
128293	강릉 대기리마을	32	강원특별자치도 강릉시 왕산면 왕산로 1327	20050308090000	20250319160222	1	A02	A0203	A02030100	128.7776435739	37.5883185884		25642
1086405	강릉 모래내 한과마을(갈골한과)	32	강원특별자치도 강릉시 사천면 한과마을길 20	20100904020650	20250414164149	1	A02	A0203	A02030100	128.8328344506	37.8138296931		25437
128359	강릉 복사꽃마을	32	강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타	20050414090000	20250324105424	1	A02	A0203	A02030100	128.7773762919	37.8801348222		25402
128360	강릉 한울타리마을	32	강원특별자치도 강릉시 옥계면 북동용소길 137	20050414090000	20250318104118	1	A02	A0203	A02030100	128.9747778772	37.6128390281		25637
129337	강릉 해살이마을	32	강원특별자치도 강릉시 사천면 중앙서로 557-1	20061108090000	20250317142810	1	A02	A0203	A02030100	128.8109759564	37.7929261321		25438
2804474	강릉아기동물농장	32	강원특별자치도 강릉시 사천면 해안로 1121-144	20221231023919	20250624102837	1	A02	A0203	A02030100	128.8611225614	37.8462598232		25435
2930702	강릉안반데기관광농원	32	강원특별자치도 강릉시 안반데기1길 203	20221206145801	20250718090000	1	A02	A0203	A02030100	128.7400518871	37.6087932748	033-644-5882	25642
2745423	강주 해바라기 마을	36	경상남도 함안군 법수면 강주4길 37	20210915192809	20250318192254	19	A02	A0203	A02030100	128.3331507132	35.3213521361		52059
801871	강진 갯들소리마을	38	전라남도 강진군 신전면 논정길 10-3	20090911230714	20241029133955	1	A02	A0203	A02030100	126.7458720283	34.4985032699		59254
1349796	강진 백사어촌체험마을	38	전라남도 강진군 대구면 청자해안길 253	20110804005631	20250319185317	1	A02	A0203	A02030100	126.7939012802	34.4928741381		59266
1350167	강진 서중어촌체험마을	38	전라남도 강진군 마량면 까막섬로 75-7	20110804015343	20250316122236	1	A02	A0203	A02030100	126.8076232442	34.4536620901		59267
800798	강화 달빛동화마을	2	인천광역시 강화군 양도면 강화남로921번길 10-6	20090910185833	20250314094916	1	A02	A0203	A02030100	126.4164969660	37.6803032508		23056
128385	강화 용두레마을	2	인천광역시 강화군 내가면 황청포구로385번길 8	20050419090000	20250314133501	1	A02	A0203	A02030100	126.3604121578	37.7184755935		23017
129291	강화 화문석마을	2	인천광역시 강화군 송해면 전망대로468번길 11	20061031090000	20250314112509	1	A02	A0203	A02030100	126.4584675001	37.8020036798		23013
3061178	강화도 자연체험농장	2	인천광역시 강화군 길상면 해안남로 331	20231128153933	20250415113909	1	A02	A0203	A02030100	126.5178813669	37.6077579313		23052
3057021	개똥이네농장	39	제주특별자치도 제주시 조천읍 종인내길 133	20231204122707	20250731095452	4	A02	A0203	A02030100	126.6227951824	33.4949185817		63344
129391	개미들마을	32	강원특별자치도 정선군 남면 광락로 354	20061116090000	20250109142247	11	A02	A0203	A02030100	128.6927565739	37.3190202362		26143
128474	개실마을	35	경상북도 고령군 쌍림면 개실1길 29	20050509090000	20250805111704	3	A02	A0203	A02030100	128.2295921404	35.6675723190		40165
128256	거북이마을	34	충청남도 홍성군 구항면 거북로 430	20041216090000	20250718090000	15	A02	A0203	A02030100	126.6101205918	36.5710767495		32215
128607	거일1리 어촌체험마을	35	경상북도 울진군 울진대게로 671 어촌체험마을회관	20050926090000	20241105165816	18	A02	A0203	A02030100	129.4751134850	36.7109883440		36368
128396	거전마을 [농촌체험]	34	충청남도 부여군 은산면 지천로525번길 7-14	20050420090000	20250115094923	6	A02	A0203	A02030100	126.8403693657	36.3597300019		33107
1350278	거제 계도어촌체험마을	36	경상남도 거제시 사등면 가조로 837	20110804020236	20240510093208	1	A02	A0203	A02030100	128.5174966194	34.9748138011		53273
538485	거제 구조라관광어촌마을	36	경상남도 거제시 일운면 구조라로4길 3-1	20080417235329	20250305095420	1	A02	A0203	A02030100	128.6944773803	34.8053053870		53329
1350326	거제 쌍근어촌체험마을	36	경상남도 거제시 남부면 남부해안로 1094	20110804021519	20241021181845	1	A02	A0203	A02030100	128.5893265378	34.7624916086		53333
538480	거제 어구낚시마을	36	경상남도 거제시 어구길 4-1	20080417232746	20250316121633	1	A02	A0203	A02030100	128.5059655835	34.8208419298		53281
2787084	거제 옥화마을	36	경상남도 거제시 일운면 옥림4길 11	20211207181232	20250319171725	1	A02	A0203	A02030100	128.7206683593	34.8500925247		53326
3112059	거진어촌체험휴양마을	32	강원특별자치도 고성군 거진읍 거진리	20240328194705	20240930092415	2	A02	A0203	A02030100	128.4628176843	38.4476432361	033)682-2782	24713
2612816	거차뻘배마을	38	전라남도 순천시 별량면 거차길 57-16	20190724232901	20240613130718	11	A02	A0203	A02030100	127.4466521678	34.8372104117		58030
710635	거창 서변마을	36	경상남도 거창군 거창읍 주곡로 220-14	20090325181210	20230816110255	2	A02	A0203	A02030100	127.9168156812	35.7150752074		50124
1936343	거창 솔향기돌담마을	36	경상남도 거창군 웅양면 동호3길 20	20140723234049	20250317110655	2	A02	A0203	A02030100	127.9251793584	35.7986269980		50113
1977633	거창 황금원숭이마을	36	경상남도 거창군 위천면 상천길 50-159	20141218194456	20250318203124	2	A02	A0203	A02030100	127.8185428870	35.7496778653		50103
3413023	거창가남마을	36	경상남도 거창군 가조면 지산로 1242	20241112154224	20250626170329	2	A02	A0203	A02030100	128.0221793172	35.6883301231		50119
2987654	건지마을	33	충청북도 충주시 건지길 134 건지마을회관	20230511180327	20250318194340	11	A02	A0203	A02030100	127.9781628362	37.0198551194		27320
