contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3023389	가실벚꽃길	31	경기도 용인시 처인구 포곡읍 가실리	20231024111746	20250527131400	23	A02	A0203	A02030600	127.1950173777	37.2938508782		17021
250121	가야의 거리	36	경상남도 김해시 구지로 95 (대성동)	20060728090000	20250702172436	4	A02	A0203	A02030600	128.8739750841	35.2392795268		50911
2034446	가창 찐빵 골목	4	대구광역시 달성군 가창면 가창로 1099	20151021001307	20250731155922	3	A02	A0203	A02030600	128.6222232980	35.8027142041		42933
126828	갓바위 문화타운	38	전라남도 목포시 남농로 135	20040224090000	20250731153657	8	A02	A0203	A02030600	126.4209824186	34.7936564349		58699
2650372	강경근대거리	34	충청남도 논산시 강경읍 옥녀봉로 30-5	20200325020256	20241017160957	3	A02	A0203	A02030600	127.0178753661	36.1617724110		32934
2628994	강릉 명주동 거리	32	강원특별자치도 강릉시 명주동	20191022233650	20250319174254	1	A02	A0203	A02030600	128.8927254362	37.7511381142		25538
2588752	강릉 월화거리	32	강원특별자치도 강릉시 금성로11번길 9	20190117231019	20250410131825	1	A02	A0203	A02030600	128.8974470859	37.7559015445		25542
2414791	강릉커피거리	32	강원특별자치도 강릉시 창해로14번길 20-1	20160909234953	20250718090000	1	A02	A0203	A02030600	128.9473504054	37.7726505813		25556
3043735	강서역사문화거리	1	서울특별시 강서구 양천로 291 (마곡동)	20231120105441	20250613091300	4	A02	A0203	A02030600	126.8366643489	37.5722343802		07520
2774063	객사길	37	전북특별자치도 전주시 완산구 중앙동2가 10-1	20211112212647	20250318190828	12	A02	A0203	A02030600	127.1437287440	35.8176666120		
2500229	경의선책거리	1	서울특별시 마포구 와우산로37길 35	20170718230034	20250317203919	13	A02	A0203	A02030600	126.9290369242	37.5564989709		04056
2992067	경주 금리단길	35	경상북도 경주시 원효로 127	20230628173625	20250731143048	2	A02	A0203	A02030600	129.2148312586	35.8420235954		38153
2609826	경주 쌈밥거리	35	경상북도 경주시 계림로 9	20190705221637	20250718112734	2	A02	A0203	A02030600	129.2107400311	35.8392099471		38165
2658227	경주 황리단길	35	경상북도 경주시 포석로 1080 (황남동)	20200602224143	20250602143834	2	A02	A0203	A02030600	129.2099818133	35.8374517979		38166
611948	고기동 오리촌	31	경기도 용인시 수지구 고기동	20080820184931	20250321173351	23	A02	A0203	A02030600	127.0548921627	37.3584992062		16800
749192	공덕동 족발골목	1	서울특별시 마포구 만리재로 19 (공덕동)	20090608184451	20250317211337	13	A02	A0203	A02030600	126.9533433790	37.5445785695		04214
126857	광복로패션거리	6	부산광역시 중구 광복로 72-1 (광복동2가)	20040223090000	20250407110522	15	A02	A0203	A02030600	129.0327400915	35.0986398717		48954
1936453	광시한우거리	34	충청남도 예산군 광시소길 6	20140724024646	20250509173926	11	A02	A0203	A02030600	126.7747591222	36.5489071491		32457
127925	광안리해변 테마거리	6	부산광역시 수영구 민락동	20031007090000	20250522092010	12	A02	A0203	A02030600	129.1221363273	35.1551657503		48284
2915925	광양불고기특화거리	38	전라남도 광양시 서천1길 44	20221123112553	20240620165025	4	A02	A0203	A02030600	127.5790844070	34.9696061572		57754
2605353	광주 송정동 떡갈비 골목	5	광주광역시 광산구 광산로29번길	20190606011415	20250320160807	1	A02	A0203	A02030600	126.7943076079	35.1397152706		62430
126429	광주 예술의 거리	5	광주광역시 동구 궁동	20020419090000	20250808093749	3	A02	A0203	A02030600	126.9186130267	35.1499384339		61475
2946224	광주 충장로 케이팝 스타의 거리	5	광주광역시 동구 충장로 94 (충장로2가)	20230129224158	20250703135621	3	A02	A0203	A02030600	126.9172520929	35.1476581130		61483
704505	괴산 올갱이국 거리	33	충청북도 괴산군 괴산읍 괴강로 12	20090310213157	20250418093450	1	A02	A0203	A02030600	127.7957852088	36.8091287728		28033
1909659	구룡포 일본인 가옥거리	35	경상북도 포항시 남구 구룡포읍 호미로 277	20140331234310	20250806161623	23	A02	A0203	A02030600	129.5604855899	35.9906633933		37933
3067962	구룡포 피어라계단 미디어아트	35	경상북도 포항시 남구 구룡포읍 호미로 277	20231213164730	20250113143338	23	A02	A0203	A02030600	129.5604855899	35.9906633933		37933
3110569	구미 금리단길	35	경상북도 구미시 금오산로 134 (원평동)	20240320132717	20250305144037	4	A02	A0203	A02030600	128.3302567701	36.1250083986		39302
129686	구봉산 전망대 카페거리	32	강원특별자치도 춘천시 동면 장학리	20070813090000	20250522160356	13	A02	A0203	A02030600	127.7770193861	37.8925559643		24212
3080291	구시청사거리	5	광주광역시 동구 문화전당로35번길 17 (금동)	20231101155229	20250807133155	3	A02	A0203	A02030600	126.9172132704	35.1451528396		61488
2662991	구포만세거리	6	부산광역시 북구 구포만세길 109 (구포동)	20200709224154	20250528111815	8	A02	A0203	A02030600	128.9978124028	35.2066771280		46501
2591805	국제음식문화거리(INTERNATIONAL FOOD STREET)	1	서울특별시 구로구 새말로 102	20190313224536	20250610102113	7	A02	A0203	A02030600	126.8914195585	37.5058319638		08289
3018375	군산 영화의 거리	37	전북특별자치도 군산시 구영6길 60 (신창동)	20231006100823	20241115162743	2	A02	A0203	A02030600	126.7096908504	35.9866620987		54022
2783383	글로벌푸드타운	36	경상남도 김해시 가락로94번길 8-1 (서상동)	20211130190826	20250403101928	4	A02	A0203	A02030600	128.8822939185	35.2350329338		50915
1621334	금남로	5	광주광역시 동구 금남로 일대	20120503201251	20250409102031	3	A02	A0203	A02030600	126.9106747413	35.1538517467		61471
2643873	금정산성마을 먹거리촌	6	부산광역시 금정구 금성동	20200116200622	20250326135126	2	A02	A0203	A02030600	129.0538229642	35.2513870387		46237
2784680	기동 삼거리 벽화	38	전라남도 신안군 암태면 기동리 677-1	20211201223150	20250317205612	12	A02	A0203	A02030600	126.1117559185	34.8383296950		
611523	기흥맛깔촌	31	경기도 용인시 기흥구 상갈동	20080820003909	20250321144904	23	A02	A0203	A02030600	127.1063205788	37.2684716682		17067
1871383	김광석다시그리기길	4	대구광역시 중구 달구벌대로 2238	20131217001150	20250415093018	8	A02	A0203	A02030600	128.6074868512	35.8614600628		41951
3490116	김해 봉황대길(봉리단길)	36	경상남도 김해시 봉황동	20250512103456	20250519135537	4	A02	A0203	A02030600	128.8788249401	35.2290390975		50926
611883	까치울 먹거리촌 (작동 먹거리촌)	31	경기도 부천시 오정구 역곡로344번길 14 (작동)	20080820181724	20250120112610	11	A02	A0203	A02030600	126.8137180535	37.5148767499		14476
1185385	나주 구진포 장어거리	38	전라남도 나주시 다시면 가운리	20110126204216	20250528113036	6	A02	A0203	A02030600	126.6723605590	35.0073365059		58279
2751166	나태주 골목길	34	충청남도 공주시 대통1길 56-7	20210929185629	20250317200501	1	A02	A0203	A02030600	127.1229192668	36.4537797120		32546
129191	나혜석거리	31	경기도 수원시 팔달구 권광로188번길 25-2 (인계동)	20060731090000	20241106131411	13	A02	A0203	A02030600	127.0344383354	37.2640208974		16488
699222	낙원동 아구찜 거리	1	서울특별시 종로구 삼일대로 428	20090225202222	20250102113613	23	A02	A0203	A02030600	126.9883060491	37.5732314221		03140
3056376	낙원동 포장마차거리	1	서울특별시 종로구 종로3가	20231204110117	20250718090000	23	A02	A0203	A02030600	126.9891143240	37.5726898327		03139
127115	남가람문화거리	36	경상남도 진주시 망경동,칠암동 일대	20040225090000	20241218163631	13	A02	A0203	A02030600	128.0924948211	35.1873517954		52722
748018	남대문 갈치조림골목	1	서울특별시 중구 남대문시장길 16-17 (남창동)	20090605202134	20250414131902	24	A02	A0203	A02030600	126.9769408005	37.5597300093		04528
2613631	남원 추어탕 거리	37	전북특별자치도 남원시 천거동	20190731002947	20250306095154	4	A02	A0203	A02030600	127.3766717134	35.4005540714		55777
2647847	낭만포차거리	38	전라남도 여수시 하멜로 102	20200214191531	20250526112219	13	A02	A0203	A02030600	127.7495170813	34.7365852485		59746
3067187	노량진컵밥거리	1	서울특별시 동작구 노량진로 174 (노량진동)	20231212182136	20250624165209	12	A02	A0203	A02030600	126.9453227635	37.5135542529		06913
3056279	누웨마루거리	39	제주특별자치도 제주시 신광로 47 (연동)	20231204104735	20250508103602	4	A02	A0203	A02030600	126.4903040790	33.4877839241		63123
611738	단대동 닭죽촌	31	경기도 성남시 수정구 수정로 460-3	20080820022649	20250328150512	12	A02	A0203	A02030600	127.1560022734	37.4620251305		13131
3009093	단양 상상의 거리	33	충청북도 단양군 단양읍 별곡리	20230908142530	20250704094424	2	A02	A0203	A02030600	128.3714146875	36.9851997589		27011
3357254	달빛야경누리길	7	울산광역시 중구 성안동	20240830153237	20250313113412	1	A02	A0203	A02030600	129.3244291381	35.5787414403		44414
