contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3068424	가리왕산케이블카	32	강원특별자치도 정선군 북평면 중봉길 41-35	20231214095937	20240523135350	11	A02	A0203	A02030400	128.6097538017	37.4742535268	033-560-3467	26100
2820640	가림상회	34	충청남도 부여군 임천면 성흥로97번길 4-5	20220519113231	20250701151301	6	A02	A0203	A02030400	126.8928691464	36.1899003585		33219
3459087	가야금신조기념관	38	전라남도 영암군 영암읍 기찬랜드로 19-10	20241224113727	20241226133322	17	A02	A0203	A02030400	126.6856118867	34.7919693222		58420
3006493	가우도 모노레일	38	전라남도 강진군 가우도길 2-87	20230816182305	20250812154132	1	A02	A0203	A02030400	126.7847455361	34.5339749368		59251
130523	가족문화센터	7	울산광역시 남구 대공원로 84	20041008090000	20250311164549	2	A02	A0203	A02030400	129.2905556337	35.5319960593		44660
3077222	가평군어린이음악놀이터	31	경기도 가평군 가평읍 중앙로 10	20231024103926	20240112142012	1	A02	A0203	A02030400	127.5132759112	37.8264393122		12420
3447845	갈매구릉산자락길	31	경기도 구리시 산마루로 106 (갈매동)	20241217170141	20250731155316	6	A02	A0203	A02030400	127.1238754676	37.6280830442		11902
2820184	감성공작소	32	강원특별자치도 삼척시 대학로 13-1 (당저동)	20220517144326	20250626144704	4	A02	A0203	A02030400	129.1631079016	37.4423790237		25917
2755857	감악산항노화웰니스체험장	36	경상남도 거창군 신원면 연수사길 456	20211013014530	20250311143305	2	A02	A0203	A02030400	127.9199604172	35.5901644033		50153
3082347	강경구락부	34	충청남도 논산시 강경읍 계백로167번길 46-11	20240116165644	20250316120610	3	A02	A0203	A02030400	127.0155005764	36.1618473607		32935
264570	강남	1	서울특별시 강남구 압구정로 161 (압구정동)	20050623224701	20250604133052	1	A02	A0203	A02030400	127.0270732739	37.5268958352		06001
3379937	강릉 한복 문화 창작소	32	강원특별자치도 강릉시 동부시장3길 9 (옥천동)	20241004131207	20250319190639	1	A02	A0203	A02030400	128.9006133766	37.7588151581		25552
3050590	강릉수월래	32	강원특별자치도 강릉시 죽헌길9번길 17 (유천동)	20231128133958	20250723134016	1	A02	A0203	A02030400	128.8737571477	37.7690162327		25457
2774698	강릉아트센터	32	강원특별자치도 강릉시 종합운동장길 84	20211116184519	20250108132248	1	A02	A0203	A02030400	128.8954273345	37.7716996777		25474
2610850	강원숲체험장	32	강원특별자치도 춘천시 서면 납실길 107-64	20190712185415	20250327144500	13	A02	A0203	A02030400	127.6397214646	37.9630563077		24460
2515789	강진 오감통	38	전라남도 강진군 강진읍 오감길 2	20171117192620	20250328085523	1	A02	A0203	A02030400	126.7735884140	34.6391324006		59231
971122	강화 아르미애월드	2	인천광역시 강화군 불은면 중앙로 742-2	20100311195104	20250801134205	1	A02	A0203	A02030400	126.4347557746	37.7029259337		23038
2684765	강화 원도심 스토리워크	2	인천광역시 강화군 강화읍 관청길27번길 10	20201123224639	20241205154451	1	A02	A0203	A02030400	126.4861109075	37.7484743032		23031
3061177	강화 화개산 모노레일	2	인천광역시 강화군 교동면 교동동로471번길 6-60	20231130101907	20250416105154	1	A02	A0203	A02030400	126.2902251211	37.7837223036		23001
2612802	강화루지(강화씨사이드리조트)	2	인천광역시 강화군 길상면 장흥로 217	20190724222817	20250327232348	1	A02	A0203	A02030400	126.4981273568	37.6171759306		23052
3340348	강화함상공원	2	인천광역시 강화군 내가면 해안서로 855	20240730174413	20250313154838	1	A02	A0203	A02030400	126.3840493884	37.7001614769		23054
3019714	같이삽시도	34	충청남도 보령시 오천면 삽시도1길 83-23	20231013133556	20250421102020	5	A02	A0203	A02030400	126.3532940863	36.3460870976		33411
3350811	거꾸로옛이야기나라숲	35	경상북도 상주시 화북면 우복동길 63-23	20240820135333	20250731150629	9	A02	A0203	A02030400	127.9281326564	36.5775605200		37102
3440844	거꾸로하우스	1	서울특별시 성동구 고산자로 71 (성수동1가)	20241210133055	20250731150501	16	A02	A0203	A02030400	127.0361052512	37.5457465853	0507-1357-8670	04771
2638488	거제 관광모노레일	36	경상남도 거제시 계룡로 61	20191125191958	20250731150006	1	A02	A0203	A02030400	128.6253953896	34.8764184192		53257
2717293	거제도해초쑥 영농조합법인	36	경상남도 거제시 아주1로 96-1	20210515004654	20231005121629	1	A02	A0203	A02030400	128.6826850817	34.8677204249	010-7523-7749	53308
2819594	거창목재문화체험장	36	경상남도 거창군 송계로 487	20220512161758	20240618144803	2	A02	A0203	A02030400	127.8299414871	35.7642430833		50103
3012433	경기도국민안전체험관	31	경기도 오산시 북삼미로 22 (내삼미동)	20230919170955	20250702132859	22	A02	A0203	A02030400	127.0627464898	37.1784896342		18112
2605330	경기미래교육 양평캠퍼스	31	경기도 양평군 용문면 연수로 209	20190605235603	20250627134337	19	A02	A0203	A02030400	127.5782878872	37.4987368948		12516
129195	경기미래교육 파주캠퍼스	31	경기도 파주시 탄현면 얼음실로 40	20060807090000	20250424135942	27	A02	A0203	A02030400	126.6985404091	37.7852432234		10859
2747132	경기상상캠퍼스	31	경기도 수원시 권선구 서둔로 166 (서둔동)	20210917201525	20250731145056	13	A02	A0203	A02030400	126.9811903187	37.2665807612		16614
2761302	경기창작센터	31	경기도 안산시 단원구 선감로 101-19	20211022201914	20250331154136	15	A02	A0203	A02030400	126.6313815255	37.2271569225		15651
3081424	경기해양안전체험관	31	경기도 안산시 단원구 대부황금로 1546 (대부북동)	20231113100443	20250612092003	15	A02	A0203	A02030400	126.5806788449	37.2905347955		15638
3385519	경남수학문화관 밀양수학체험센터	36	경상남도 밀양시 가곡13길 24 (가곡동)	20241011134550	20250315150231	7	A02	A0203	A02030400	128.7631199470	35.4763508467		50442
3463964	경남수학문화관 진주수학체험센터	36	경상남도 진주시 문산읍 동부로588번길 18	20250106162511	20250315151413	13	A02	A0203	A02030400	128.1665028004	35.1654861268		52834
2930839	경리단길	1	서울특별시 용산구 이태원동	20221206170152	20240522153723	21	A02	A0203	A02030400	126.9875154390	37.5384521160		04343
3452165	경산청년지식놀이터	35	경상북도 경산시 압량읍 대학로 363	20241219130501	20241226164707	1	A02	A0203	A02030400	128.7600128770	35.8413290508		38511
3015482	경상남도안전체험관	36	경상남도 합천군 용주면 고품부흥1길 10-28	20230926111854	20241128140628	21	A02	A0203	A02030400	128.1147080903	35.5546357918		50212
3036201	경상북도교육청 경주안전체험관	35	경상북도 경주시 안강읍 안현로 1853-12	20231110141657	20250708135625	2	A02	A0203	A02030400	129.2256085257	36.0210063497		38002
3453929	경상북도교육청 발명체험교육관	35	경상북도 경주시 첨성로 97 (황남동)	20241220093007	20250731143740	2	A02	A0203	A02030400	129.2129927767	35.8333745372		38166
3494364	경주 깁 모어 막걸리	35	경상북도 경주시 원효로 153 (황오동)	20250529134216	20250529135012	2	A02	A0203	A02030400	129.2178809954	35.8418792252		38147
3417731	경주 비단벌레 전동차	35	경상북도 경주시 첨성로 149 (황남동)	20241118092952	20250319191041	2	A02	A0203	A02030400	129.2173951039	35.8356632513		38164
3045019	계동배렴가옥	1	서울특별시 종로구 계동길 89 (계동)	20231121110102	20250403100822	23	A02	A0203	A02030400	126.9867059647	37.5813498946		03056
2775349	고가담(가치를 담다)	36	경상남도 고성군 고성읍 성내로 62-9	20211117195201	20250305140623	3	A02	A0203	A02030400	128.3163446935	34.9759878442		52935
2747134	고색뉴지엄	31	경기도 수원시 권선구 산업로 85 (고색동)	20210917202032	20250523093145	13	A02	A0203	A02030400	126.9743222348	37.2401420342		16642
3429327	고성독수리생태체험관 (날아라 고성독수리)	36	경상남도 고성군 고성읍 기월리	20241129110201	20250315150433	3	A02	A0203	A02030400	128.3211995635	34.9859284832		52931
2647939	고스락	37	전북특별자치도 익산시 함열읍 익산대로 1424-14	20200217192235	20250711100357	9	A02	A0203	A02030400	126.9606807544	36.0459040975		54526
2946746	고양관광정보센터	31	경기도 고양시 일산동구 중앙로 1271-1 (장항동)	20230201174034	20250731134430	2	A02	A0203	A02030400	126.7727121731	37.6595397482		10402
3449335	고양드론앵커센터	31	경기도 고양시 덕양구 화랑로 57-27 (화전동)	20241218150218	20250731134318	2	A02	A0203	A02030400	126.8672578726	37.6044145170		10540
2779289	고창웰파크시티	37	전북특별자치도 고창군 고창읍 석정2로 173	20211125021705	20250307175010	1	A02	A0203	A02030400	126.7410244472	35.4320812865		56451
2690525	고창읍성 도예체험장	37	전북특별자치도 고창군 고창읍 동리로 120	20201203010023	20250807171644	1	A02	A0203	A02030400	126.7054775943	35.4325000830		56441
2867659	곤지암반디숲	31	경기도 광주시 곤지암읍 신대길 139-22	20221014151035	20250626153740	5	A02	A0203	A02030400	127.3309530804	37.3635230446		12801
2717250	곤충농장 벅스팜	32	강원특별자치도 원주시 귀래면 북원로 563-14	20210514223919	20230823174417	9	A02	A0203	A02030400	127.8906708027	37.2093011194		26501
3066378	골목대장	37	전북특별자치도 전주시 완산구 은행로 72-1 (교동)	20231212110354	20250806130930	12	A02	A0203	A02030400	127.1527308297	35.8134977974		55044
2833788	공정여행풍덩	37	전북특별자치도 진안군 노래재로 2	20220808141515	20240620153802	14	A02	A0203	A02030400	127.3928416861	35.8562304611		55414
1859903	공주치즈스쿨	34	충청남도 공주시 신풍면 심방울2길 37-4	20131118232024	20250307171501	1	A02	A0203	A02030400	126.9459000567	36.5198051423		32525
2747760	과천 플레이월드	31	경기도 과천시 대공원광장로 80	20210923224535	20241223105059	3	A02	A0203	A02030400	127.0111412395	37.4339007896		13829
2717329	관사골작업실 협동조합	35	경상북도 영주시 두서길19번길 10	20210515022605	20240618154338	14	A02	A0203	A02030400	128.6187304939	36.8286362591	010-6646-3958	36072
130938	광나루안전체험관	1	서울특별시 광진구 능동로 238	20070802090000	20250329192243	6	A02	A0203	A02030400	127.0771624650	37.5513105664		04991
2605351	광주폴리	5	광주광역시 북구 비엔날레로 111	20190606010231	20250321142605	4	A02	A0203	A02030400	126.8902591590	35.1826203741		61104
1938123	광천토굴새우젓단지	34	충청남도 홍성군 광천읍 광천로 91	20140730194220	20250512111108	15	A02	A0203	A02030400	126.6156112576	36.4852533774		32297
2765276	교동도선착장대합실	2	인천광역시 강화군 교동면 교동남로 466	20211101194015	20250326163809	1	A02	A0203	A02030400	126.3170728993	37.7749682400		23001
2657249	교동제비집	2	인천광역시 강화군 교동면 교동남로 20-1	20200526005551	20250313175617	1	A02	A0203	A02030400	126.2792873012	37.7813918290		23002
2795244	구례목재문화체험장	38	전라남도 구례군 간전면 효곡리 366-1	20211214190128	20250316160152	5	A02	A0203	A02030400	127.5406334397	35.1391836349		
2924016	구름숲아토리	38	전라남도 진도군 의신사천길 26 운림예원	20221128160101	20240621105759	21	A02	A0203	A02030400	126.2975677827	34.4657885008		58934
3426935	구리문화재단	31	경기도 구리시 아차산로 453 (교문동)	20241127153912	20241226152910	6	A02	A0203	A02030400	127.1298675159	37.5956035938		11954
3428156	국가유산 방문 캠페인 인천공항 홍보관	2	인천광역시 중구 공항로 271 (운서동)	20241128131350	20250731110554	10	A02	A0203	A02030400	126.4521751331	37.4477031811	0507-1397-0368	22382
1710166	국제선센터	1	서울특별시 양천구 목동동로 167	20120908004928	20241017172301	19	A02	A0203	A02030400	126.8700849711	37.5207742914		08013
1018702	국제시장 먹자골목	6	부산광역시 중구 중구로 36	20100511223844	20250425093214	15	A02	A0203	A02030400	129.0280793175	35.1011311741		48945
2623228	권정생동화나라	35	경상북도 안동시 일직면 성남길 119	20191008012957	20241203153331	11	A02	A0203	A02030400	128.6651564519	36.4613429906		36756
3462024	귀산 개구리섬 프로젝션 맵핑	36	경상남도 창원시 성산구 삼귀로 147 (귀곡동)	20251230164601	20250807152234	16	A02	A0203	A02030400	128.5960428477	35.1713487444		51705
3456212	그라운드서울	1	서울특별시 종로구 인사동9길 26 (견지동)	20241220155413	20241220155424	23	A02	A0203	A02030400	126.9836425781	37.5734729769		03145
3421909	그런고로	6	부산광역시 부산진구 서전로 40 (전포동)	20241119154125	20241120093621	7	A02	A0203	A02030400	129.0642468527	35.1575588567		47293
2710596	근화동396청년창업공간	32	강원특별자치도 춘천시 중앙로 186	20210323225417	20250317205053	13	A02	A0203	A02030400	127.7145756095	37.8743985775		24246
2613456	금강아트센터	34	충청남도 공주시 반포면 왕흥장악로 837	20190729223533	20250311150551	1	A02	A0203	A02030400	127.2021461657	36.4289311787		32620
2990185	금곡영화마을	38	전라남도 장성군 영화마을길 254-7 종합복지센타	20230609134633	20250430150616	19	A02	A0203	A02030400	126.7341759844	35.3952103506		57229
3044625	금성전파사 새로고침센터	1	서울특별시 동대문구 고산자로36길 3 (제기동)	20231120180408	20250107135439	11	A02	A0203	A02030400	127.0387485112	37.5789844381		02571
2800082	금오산케이블카	35	경상북도 구미시 금오산로 419	20211216023016	20250312171329	4	A02	A0203	A02030400	128.3071787206	36.1084154170		39309
