contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
635593	갈중이(천연염색체험)	39	제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이	20081010200127	20240828095020	3	A02	A0203	A02030200	126.3136584209	33.2351423980		63528
2007983	경북전통음식체험관 모심정	35	경상북도 문경시 마성면 봉생1길 13	20150605190158	20250318091453	7	A02	A0203	A02030200	128.1191187694	36.6619488053		36923
2009156	고택문화체험관	37	전북특별자치도 정읍시 산외면 공동길 58	20150610193619	20250318195513	13	A02	A0203	A02030200	127.0201949462	35.6166039952		56122
802566	광주 산두른마을	31	경기도 광주시 도척면 추곡길 38	20090914222150	20250331155915	5	A02	A0203	A02030200	127.2913729464	37.2792598597		12819
2500218	광흥당	1	서울특별시 마포구 독막로21길 15	20170718203301	20250317211355	13	A02	A0203	A02030200	126.9286760682	37.5486359893		04065
3075948	남원 화인당	37	전북특별자치도 남원시 월매안길 14-8 (쌍교동)	20240118174300	20240118174312	4	A02	A0203	A02030200	127.3814351060	35.4034482709		55775
3358056	닥나무한지체험관 콩닥콩닥	37	전북특별자치도 부안군 백산면 대수길 191	20240903140659	20250317212125	6	A02	A0203	A02030200	126.8177082499	35.6917169949		56322
3403786	대가야 다례원	35	경상북도 고령군 대가야읍 주산길 28	20241101102328	20250319191820	3	A02	A0203	A02030200	128.2634013824	35.7288160034		40137
3032740	대가야기마문화체험장	35	경상북도 고령군 신남로 61	20230831110343	20250805091731	3	A02	A0203	A02030200	128.2672042996	35.7114235955		40140
3009051	도깨비 양조장	33	충청북도 단양군 가곡면 사평3길 5	20230908135855	20250626163013	2	A02	A0203	A02030200	128.3847678434	37.0264397170		27021
2992824	락고재 컬쳐 라운지 애가헌	1	서울특별시 종로구 가회동	20230706143741	20250107145158	23	A02	A0203	A02030200	126.9839145240	37.5823525048	010-3882-3106	03052
2819158	매원마을	35	경상북도 칠곡군 왜관읍 매원리	20220510162011	20240529132854	22	A02	A0203	A02030200	128.4310237244	35.9941445556		39870
3114431	모주체험여	37	전북특별자치도 전주시 완산구 태조로 37 (교동)	20240422111009	20250317213203	12	A02	A0203	A02030200	127.1506087794	35.8141393546		55044
3013272	무계원	1	서울특별시 종로구 창의문로5가길 2 (부암동)	20230920145241	20250811094248	23	A02	A0203	A02030200	126.9636244375	37.5918454822		03022
801918	무안 감풀마을 [농촌전통테마]	38	전라남도 무안군 현경면 석북길 91-66	20090911233313	20250723104540	9	A02	A0203	A02030200	126.4060550275	35.0613398822		58510
879633	물드리네	39	제주특별자치도 제주시 한경면 낙산로 4-28	20091127223042	20240829113638	4	A02	A0203	A02030200	126.2269445635	33.3227424721		63004
2855106	백제오감체험관	34	충청남도 공주시 고마나루길 30	20220919144108	20250611171903	1	A02	A0203	A02030200	127.1112645204	36.4625673887		32535
3085314	북촌전통발효공방 빚담	1	서울특별시 종로구 북촌로12길 5-12 (가회동)	20231207151120	20250626165646	23	A02	A0203	A02030200	126.9855171542	37.5824025279		03056
3012678	사기막골 도예촌	31	경기도 이천시 경충대로2993번길 56 (사음동)	20230920105604	20241113145146	26	A02	A0203	A02030200	127.4118449616	37.2936853731		17308
3108226	사단법인 푸른차문화연구원	4	대구광역시 수성구 유니버시아드로11길 41 (삼덕동)	20240307144627	20250318191213	7	A02	A0203	A02030200	128.6771592299	35.8350782231		42250
2392994	삼거동 청사초롱 체험마을	36	경상남도 거제시 삼거4길 8	20160714182501	20250407155458	1	A02	A0203	A02030200	128.6460916648	34.8442334999		53299
2993396	상촌재	1	서울특별시 종로구 자하문로17길 12-11 (옥인동)	20230711164536	20250714164851	23	A02	A0203	A02030200	126.9697547156	37.5819273005		03035
3030491	선성현문화단지 한옥체험관	35	경상북도 안동시 도산면 선성5길 8	20231102141059	20250718090000	11	A02	A0203	A02030200	128.8131725767	36.6973521796		36605
3337188	세종전통문화체험관	8	세종특별자치시 모롱지로 94 (세종동)	20240724152630	20250728134912	1	A02	A0203	A02030200	127.2918748936	36.5069182720	010-3815-3028	30061
3357398	송해기념관 선비체험관	4	대구광역시 달성군 옥포읍 옥포로56길 5	20240902103640	20241106110701	3	A02	A0203	A02030200	128.4888525640	35.7716930394		42977
611491	수리뫼 [한국전통음식체험교육원]	35	경상북도 경주시 내남면 포석로 110-32	20080820000534	20241106160932	2	A02	A0203	A02030200	129.2079121898	35.7523613593		38197
3080477	수원전통문화관	31	경기도 수원시 팔달구 정조로 893 (장안동)	20231101094840	20250717173703	13	A02	A0203	A02030200	127.0146478075	37.2875205998		16252
800971	순창 거북장수마을 [농촌전통테마]	37	전북특별자치도 순창군 동계면 귀미로 290	20090910203400	20250318212632	7	A02	A0203	A02030200	127.2115574238	35.4438129878		56026
1437668	순창장류체험관	37	전북특별자치도 순창군 순창읍 민속마을길 55	20111116192257	20250808140915	7	A02	A0203	A02030200	127.1080408086	35.3658866950		56048
803988	순천 용오름마을 [농촌전통테마마을]	38	전라남도 순천시 주암면 운룡2길 17	20090916013009	20250325170028	11	A02	A0203	A02030200	127.2022477759	35.0921719936		57910
662234	순천전통야생차체험관	38	전라남도 순천시 승주읍 선암사길 450-1	20081205183101	20250619180345	11	A02	A0203	A02030200	127.3340941808	34.9949352004		57909
792208	신풍전통한지체험장	33	충청북도 괴산군 연풍면 원풍로 224-11	20090903024711	20240830113302	1	A02	A0203	A02030200	128.0143246313	36.7854021693		28012
2358186	쌍산재	38	전라남도 구례군 마산면 장수길 3-2	20160104190613	20250319191710	5	A02	A0203	A02030200	127.4980824388	35.2157159383		57621
802358	아산 대통령마을(농촌전통테마)	34	충청남도 아산시 음봉면 충무로604번길 106-20	20090914191642	20250325175317	9	A02	A0203	A02030200	127.0229207042	36.8344092018		31448
128694	안동한지	35	경상북도 안동시 풍산읍 나바우길 13	20051129090000	20240830091052	11	A02	A0203	A02030200	128.5551266769	36.5808245168		36617
127896	양주 도자기나라	31	경기도 양주시 장흥면 호국로 332	20030915090000	20250626093712	18	A02	A0203	A02030200	126.9539524217	37.7134339397		11521
3006699	어린이농장학농원	31	경기도 평택시 진위면 진위로 206	20230904150313	20250422131753	28	A02	A0203	A02030200	127.1107525356	37.1045657036		17711
2020734	영동 국악체험촌	33	충청북도 영동군 심천면 국악로1길 33	20150724015117	20250313173730	4	A02	A0203	A02030200	127.7022962723	36.2113232872		29106
2029564	오미요리연구소	1	서울특별시 동대문구 약령시로 97-1 (제기동)	20150917185538	20250401094415	11	A02	A0203	A02030200	127.0409426362	37.5832062084		02482
129182	오색약수골전통장	32	강원특별자치도 양양군 서면 백암길 66-1	20060725090000	20250626094140	7	A02	A0203	A02030200	128.5063057605	38.0798063869		25033
3066467	우리 놀이터 마루달	37	전북특별자치도 전주시 완산구 은행로 39 (풍남동3가)	20231212113251	20250729114132	12	A02	A0203	A02030200	127.1523502283	35.8165446667		55041
3081677	운림공원	38	전라남도 진도군 의신면 의신사천길 15-21	20231130161124	20241226104819	21	A02	A0203	A02030200	126.2946763742	34.4656384706		58934
2713569	원주옻칠기공예관	32	강원특별자치도 원주시 소초면 구룡사로 142	20210412190915	20241210131133	9	A02	A0203	A02030200	128.0561912050	37.4266374350		26304
800812	장성 자라뫼마을 [농촌전통테마]	38	전라남도 장성군 북이면 백양로 26	20090910191635	20230802211438	19	A02	A0203	A02030200	126.8087324079	35.4287689184		57201
