contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2994116	가곡유황온천&스파	32	강원특별자치도 삼척시 가곡면 탕곡리	20230717155822	20241122151714	4	A02	A0202	A02020300	129.2062296318	37.1507494904	033-572-1800	25954
3482667	가금철교 문화공원	31	경기도 의정부시 가능동	20250318170121	20250318170732	25	A02	A0202	A02020700	127.0455151412	37.7533531645		11685
129194	가나아트파크	31	경기도 양주시 장흥면 권율로 117	20060807090000	20241011153024	18	A02	A0202	A02020600	126.9497496852	37.7254519094		11520
2777865	가남체육공원	31	경기도 여주시 가남읍 대명산길 98	20211123182854	20250731161057	20	A02	A0202	A02020700	127.5349142281	37.2017093544		12662
2761729	가람리조트	32	강원특별자치도 홍천군 두촌면 부채들길 29	20211025231847	20250317124726	16	A02	A0202	A02020200	128.0184630062	37.8364309102		25164
2745573	가막들공원	31	경기도 의왕시 양지편로 41-2	20210915232109	20250321174112	24	A02	A0202	A02020700	126.9956966089	37.3916915204		16007
2784347	가산수변공원	36	경상남도 양산시 동면 가산리	20211201193109	20250808120005	10	A02	A0202	A02020700	129.0180165474	35.2951703547		50642
2732489	가야금산조테마공원	38	전라남도 영암군 영암읍 기찬랜드로 19-10	20210810225939	20250702175507	17	A02	A0202	A02020600	126.6856118867	34.7919693222		58420
2714140	가야랜드	36	경상남도 김해시 인제로 368 (삼방동)	20210420194949	20250401131958	4	A02	A0202	A02020600	128.8993306204	35.2607025891		50811
2733515	가야산역사신화테마관	35	경상북도 성주군 수륜면 가야산식물원길 17	20210813004227	20250811140153	10	A02	A0202	A02020700	128.1418796034	35.8002612681		40063
128132	가오실공원	35	경상북도 예천군 개포면 가곡리	20040510090000	20231110155505	16	A02	A0202	A02020700	128.3508189720	36.6118727137		36844
127956	가조 백두산천지온천	36	경상남도 거창군 가조면 온천길 161	20040127090000	20250317212111	2	A02	A0202	A02020300	128.0229317531	35.6985345364		50118
2783808	가포수변공원	36	경상남도 창원시 마산합포구 가포본동7길 11-13	20211130231853	20250408091640	16	A02	A0202	A02020700	128.5842831951	35.1552892222		51755
2864214	가포해안변공원	36	경상남도 창원시 마산합포구 드림베이대로 361	20221006104642	20240731072844	16	A02	A0202	A02020700	128.5901742863	35.1575501862		51755
2863978	각골공원	31	경기도 안산시 상록구 본오동	20221005155740	20250613092351	15	A02	A0202	A02020700	126.8741021292	37.2914704176		15557
2763807	간데메공원	1	서울특별시 동대문구 서울시립대로2길 59 (답십리동)	20211027233001	20250711160959	11	A02	A0202	A02020700	127.0490783005	37.5728353382		02595
2750389	간월호 쉼터공원	34	충청남도 서산시 부석면 창리	20210928185544	20250311092845	7	A02	A0202	A02020700	126.3770097125	36.6229473299		32022
126644	간현관광지	32	강원특별자치도 원주시 소금산길 12	20030328090000	20250704174612	9	A02	A0202	A02020700	127.8340575195	37.3646293574		26359
3074319	갈마공원	3	대전광역시 서구 한밭대로 664 (갈마동)	20231129121347	20250512174054	3	A02	A0202	A02020700	127.3721884377	36.3571340745		35227
3007381	갈매중앙공원	31	경기도 구리시 산마루로 41 (갈매동)	20230905142819	20250731155043	6	A02	A0202	A02020700	127.1185814171	37.6311631455		11901
2749170	갈미한글공원	31	경기도 의왕시 문화예술로 65	20210924201939	20250320110525	24	A02	A0202	A02020700	126.9849674131	37.3780068044		16038
1116925	갈산공원	1	서울특별시 양천구 신정동 162-56	20101026223528	20250624100230	19	A02	A0202	A02020700	126.8684105358	37.5061176314		08104
3061205	갈현체육공원	2	인천광역시 계양구 황어로 66 (갈현동)	20231128171735	20250527182630	2	A02	A0202	A02020700	126.7285768374	37.5777207077		21002
3351911	감못(부지)	35	경상북도 경산시 감못둑길 20 (갑제동)	20240822102815	20241107092047	1	A02	A0202	A02020700	128.7670624312	35.8351021080		38540
1118418	감삼못공원	4	대구광역시 서구 서대구로3길 43	20101028191433	20250318190326	6	A02	A0202	A02020700	128.5522334637	35.8586426972		41856
2767573	감중공원	2	인천광역시 서구 가정로98번길 18	20211103190015	20250318131811	7	A02	A0202	A02020700	126.6736203249	37.4932378921		22838
2456536	강남 마이스 관광특구	1	서울특별시 강남구 영동대로 513	20161214231140	20250108161021	1	A02	A0202	A02020200	127.0591318945	37.5118092746		06164
2776846	강남축구공원	32	강원특별자치도 강릉시 남부로 222 (노암동)	20211122182223	20250314131031	1	A02	A0202	A02020700	128.9074798939	37.7436587117		25611
