contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2761729	가람리조트	32	강원특별자치도 홍천군 두촌면 부채들길 29	20211025231847	20250317124726	16	A02	A0202	A02020200	128.0184630062	37.8364309102		25164
2456536	강남 마이스 관광특구	1	서울특별시 강남구 영동대로 513	20161214231140	20250108161021	1	A02	A0202	A02020200	127.0591318945	37.5118092746		06164
2756802	강동리조트 프라이빗콘도	35	경상북도 경주시 보불로 391	20211014004551	20250316145757	2	A02	A0202	A02020200	129.2952942021	35.8228050635		38118
1963773	경주 마우나오션 리조트	35	경상북도 경주시 양남면 동남로 1021	20141107202916	20250708100239	2	A02	A0202	A02020200	129.3695944386	35.6838693516		38221
126230	경주 보문관광단지	35	경상북도 경주시 보문로 446 (신평동)	20031112090000	20250718090000	2	A02	A0202	A02020200	129.2869971085	35.8437414327		38117
1957348	경주시 관광특구	35	경상북도 경주시 경감로 614	20141017192516	20240523095338	2	A02	A0202	A02020200	129.2892916998	35.8315650725		38118
125782	고석정국민관광지	32	강원특별자치도 철원군 동송읍 태봉로 1825	20040227090000	20250319172034	12	A02	A0202	A02020200	127.2869221163	38.1860265295		24023
2456640	고양관광특구	31	경기도 고양시 일산동구 중앙로 1271-1 (장항동)	20161214233059	20250109184554	2	A02	A0202	A02020200	126.7727121731	37.6595397482		10402
649970	곤지암리조트	31	경기도 광주시 도척면 도척윗로 278	20081111190103	20250318205919	5	A02	A0202	A02020200	127.3031619183	37.3366645398		12809
649743	곤지암리조트 콘도미니엄	31	경기도 광주시 도척면 도척윗로 278	20081111025922	20250316212045	5	A02	A0202	A02020200	127.2922239974	37.3374836915	1661-8787	12809
2705360	골드펫리조트	31	경기도 용인시 기흥구 기흥단지로 406 (고매동, 골드훼미리콘도)	20210204015021	20250721104024	23	A02	A0202	A02020200	127.1364692382	37.2188140661		17087
2756160	곰나루국민관광단지	34	충청남도 공주시 백제큰길 2110-16	20211013192531	20250312130637	1	A02	A0202	A02020200	127.1117031619	36.4702609582		32535
2826761	관광커뮤니티센터 여기	35	경상북도 안동시 축제장길 210 탈춤공연장	20220706153128	20240529151330	11	A02	A0202	A02020200	128.7315893566	36.5606995743		36709
126328	교룡산국민관광지	37	전북특별자치도 남원시 산성순환길 714	20031107090000	20241202154536	4	A02	A0202	A02020200	127.3643137624	35.4279729781		55730
126632	구례 관광특구	38	전라남도 구례군 마산면 화엄사로 539	20031111090000	20250523135142	5	A02	A0202	A02020200	127.4977425065	35.2573140182		57616
2591803	구로기계공구단지	1	서울특별시 구로구 구로중앙로 197 (구로동)	20190313223748	20250316162843	7	A02	A0202	A02020200	126.8785568966	37.5038652961		08216
2779506	궁항리조트	37	전북특별자치도 부안군 변산면 궁항로 150-1	20211125192604	20250316152028	6	A02	A0202	A02020200	126.4701553307	35.6042349563		56340
2763880	글램트리리조트	31	경기도 가평군 상면 돌아우길 73	20211028001030	20250416141833	1	A02	A0202	A02020200	127.3216917642	37.7863960064		12443
2945279	금강하구둑 관광지	34	충청남도 서천군 마서면 장산로855번길 56-2	20230126175559	20250731094226	8	A02	A0202	A02020200	126.7367236795	36.0199809789		33657
1624685	금강호 관광지	37	전북특별자치도 군산시 성산면 성덕리	20120508195822	20250306094554	2	A02	A0202	A02020200	126.7611076373	36.0188815227		573-843,11
138185	금호리조트 제주	39	제주특별자치도 서귀포시 남원읍 태위로 522-12	20040615090000	20250316145959	3	A02	A0202	A02020200	126.7028238197	33.2737526275	064-766-8000	63620
136213	금호통영마리나리조트	36	경상남도 통영시 큰발개1길 33	20031001090000	20250316211635	17	A02	A0202	A02020200	128.4401294699	34.8276177725	055-643-8000	53079
126431	남원관광단지	37	전북특별자치도 남원시 양림길 43	20040131090000	20250711110655	4	A02	A0202	A02020200	127.3901038165	35.4022068955		55795
128019	남이섬	32	강원특별자치도 춘천시 남이섬길 1 남이섬	20031210090000	20250711105210	13	A02	A0202	A02020200	127.5255090138	37.7963208193		24464
3419297	남해 이터널저니	36	경상남도 남해군 남면 남서대로1179번길 40-109	20241118161720	20250315150435	5	A02	A0202	A02020200	127.8524098074	34.7780101756		52433
1957364	단양 관광특구	33	충청북도 단양군 단양읍 고수동굴길 3-11	20141017200452	20250418105355	2	A02	A0202	A02020200	128.3817414679	36.9876968886		27024
125865	단양 다리안관광지	33	충청북도 단양군 단양읍 소백산등산길 12	20031126090000	20250721105555	2	A02	A0202	A02020200	128.4208025284	36.9648335809		27024
2652577	담양 메타프로방스	38	전라남도 담양군 담양읍 깊은실길 2-17	20200414231231	20250319162852	7	A02	A0202	A02020200	127.0018263110	35.3226453273		57351
137891	담양리조트	38	전라남도 담양군 금성면 금성산성길 202	20040712090000	20250316151229	7	A02	A0202	A02020200	127.0243815575	35.3655464134	061-380-5000	57301
2754771	담양호관광지	38	전라남도 담양군 용면 월계리 149-67	20211008003704	20250327164638	7	A02	A0202	A02020200	126.9991245340	35.4019890788		57300
