contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2994116	가곡유황온천&스파	32	강원특별자치도 삼척시 가곡면 탕곡리	20230717155822	20241122151714	4	A02	A0202	A02020300	129.2062296318	37.1507494904	033-572-1800	25954
127956	가조 백두산천지온천	36	경상남도 거창군 가조면 온천길 161	20040127090000	20250317212111	2	A02	A0202	A02020300	128.0229317531	35.6985345364		50118
1624227	강동 해수온천	7	울산광역시 북구 동해안로 1418	20120508015144	20240510170335	4	A02	A0202	A02020300	129.4505699154	35.6138565417		44233
662637	강화해수랜드	2	인천광역시 강화군 길상면 해안남로 13-12	20081206001811	20250521165954	1	A02	A0202	A02020300	126.5337766252	37.6260699674		23052
127966	거제도해수보양온천	36	경상남도 거제시 수양로 507	20031111090000	20250805105926	1	A02	A0202	A02020300	128.6352635905	34.8909030888		53235
127850	금강온천	34	충청남도 공주시 고마나루길 51-12	20030515090000	20250508144640	1	A02	A0202	A02020300	127.1075231830	36.4627950745		32535
129185	금호리조트 화순아쿠아나	38	전라남도 화순군 북면 옥리길 14-21	20060726090000	20250315134126	24	A02	A0202	A02020300	127.0841702727	35.1637952347		58101
2702655	기린사우나	32	강원특별자치도 강릉시 남부로125번길 18	20210101023844	20250317103052	1	A02	A0202	A02020300	128.8935561515	37.7435306776		25595
1921423	김해 롯데워터파크	36	경상남도 김해시 장유로 555	20140527231527	20250731084018	4	A02	A0202	A02020300	128.8291361340	35.1810435696		51011
127973	낙안온천	38	전라남도 순천시 낙안면 조정래길 933	20031113090000	20240513102329	11	A02	A0202	A02020300	127.3379874119	34.9194743091		57918
2755943	낙천탕	33	충청북도 충주시 수안보면 온천천변길 39-4	20211013022201	20250324171038	11	A02	A0202	A02020300	127.9880030171	36.8468362997		27497
127949	능암온천랜드	33	충청북도 충주시 새바지길 37 능암온천랜드	20031106090000	20250626093729	11	A02	A0202	A02020300	127.8023543105	37.0935239517		27302
127847	담양리조트 온천	38	전라남도 담양군 금성면 금성산성길 202	20040109090000	20240524102554	7	A02	A0202	A02020300	127.0244620895	35.3662018963		57301
2715100	더 스파 앳 파라다이스	2	인천광역시 중구 영종해안남로321번길 186	20210430202652	20250327173405	10	A02	A0202	A02020300	126.4557445366	37.4373461143		22382
3346627	더 스파 하스타	2	인천광역시 연수구 컨벤시아대로 153 (송도동)	20240812155443	20250318134514	8	A02	A0202	A02020300	126.6454396418	37.3902771345		21998
2794931	더벨스파 동대문현대시티아울렛점	1	서울특별시 중구 장충단로13길 20 (을지로6가)	20211214053210	20241210163032	24	A02	A0202	A02020300	127.0076821872	37.5687878415		04563
128811	더케이경주호텔 스파온천	35	경상북도 경주시 엑스포로 45	20060303090000	20240516092412	2	A02	A0202	A02020300	129.2917023695	35.8396308748		38116
126114	덕구온천 스파월드	35	경상북도 울진군 북면 덕구온천로 924	20040218090000	20250709131111	18	A02	A0202	A02020300	129.2816722994	37.0794591327		36307
3031321	덕산싸이판대온천	34	충청남도 예산군 덕산면 온천단지3로 84	20231103165535	20250704100503	11	A02	A0202	A02020300	126.6523690438	36.6946521466		32406
125859	덕산온천지구	34	충청남도 예산군 덕산면 온천단지2로 19	20031205090000	20250609162107	11	A02	A0202	A02020300	126.6596379692	36.6895250851		32406
127932	도곡 원네스 스파·리조트	38	전라남도 화순군 도곡면 온천1길 45	20031022090000	20250319192655	24	A02	A0202	A02020300	126.9033118398	35.0291490268		58148
3013448	도곡온천단지	38	전라남도 화순군 도곡면 천암리	20230918142037	20250807105024	24	A02	A0202	A02020300	126.9028896419	35.0296656282		58148
127983	도산원탕	35	경상북도 안동시 도산면 온천로 570	20031121090000	20250624163903	11	A02	A0202	A02020300	128.8201648427	36.7505017932		36604
128706	동래온천 노천족탕	6	부산광역시 동래구 금강공원로26번길 21	20051219090000	20240514090654	6	A02	A0202	A02020300	129.0814741955	35.2200382869		47709
2711056	동해약천온천실버타운	32	강원특별자치도 동해시 석두골길 145	20210325024804	20250730113941	3	A02	A0202	A02020300	129.0669812828	37.5942068674	033-534-6502	25701
127012	등억온천단지	7	울산광역시 울주군 상북면 알프스온천로 197	20040225090000	20250703151044	5	A02	A0202	A02020300	129.0720851999	35.5543366785		44952
587699	디오션리조트 워터파크	38	전라남도 여수시 소호로 295 디오션리조트	20080717183731	20250404142904	13	A02	A0202	A02020300	127.6446680548	34.7311840404		59670
127608	마금산원탕	36	경상남도 창원시 의창구 북면 천주로 1167	20030627090000	20250305105320	16	A02	A0202	A02020300	128.6094728380	35.3544117553		51101
127995	마우나오션리조트 블루 워터	35	경상북도 경주시 양남면 동남로 982	20031126090000	20250311163114	2	A02	A0202	A02020300	129.3691861270	35.6843665104		38221
126647	문경종합온천	35	경상북도 문경시 문경읍 온천2길 24	20040213090000	20241210154928	7	A02	A0202	A02020300	128.1091343918	36.7300491533		36918
2770713	미성온천	4	대구광역시 달서구 조암남로28길 9	20211109201353	20250307135239	2	A02	A0202	A02020300	128.5175432112	35.8176828065		42759
2808100	바구스스파	3	대전광역시 서구 원도안로207번길 41	20220223131827	20250626144432	3	A02	A0202	A02020300	127.3425087172	36.3217625947		35352
128210	발리온천	7	울산광역시 울주군 온양읍 상발2길 34	20041014090000	20250703172819	5	A02	A0202	A02020300	129.2931117223	35.4059713746		44976
2788442	범서온천 지지워터피아	7	울산광역시 울주군 범서읍 두동로 704	20211208024241	20250326145741	5	A02	A0202	A02020300	129.2220173109	35.6258064399		44918
3076330	변산 해수찜	37	전북특별자치도 부안군 변산면 대항리	20231115134947	20241108163742	6	A02	A0202	A02020300	126.5487155348	35.6927400955		56343
2782126	보원장탄온천	31	경기도 구리시 안골로 79	20211126231248	20250110170728	6	A02	A0202	A02020300	127.1400331992	37.5976063224		11928
2745737	북수원온천	31	경기도 수원시 장안구 서부로 2139 (율전동)	20210916023844	20250328131430	13	A02	A0202	A02020300	126.9716902619	37.2995045560		16360
