contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2388680	거제장사도유람선	36	경상남도 거제시 남부면 근포1길 71	20160617025121	20250731103117	1	A02	A0202	A02020800	128.5862834630	34.7204823536		53333
2755033	거제저도유람선	36	경상남도 거제시 장목면 거제북로 2633-15	20211008201238	20250317111651	1	A02	A0202	A02020800	128.7035269333	35.0010475573		53200
562010	경인아라뱃길유람선 현대크루즈호	31	경기도 김포시 고촌읍 아라육로270번길 74	20080521013654	20250731143251	8	A02	A0202	A02020800	126.7869848326	37.5977083101		10135
2785271	국제크루즈터미널	6	부산광역시 영도구 해양로301번길 17 (동삼동)	20211202223932	20250319165644	14	A02	A0202	A02020800	129.0791976502	35.0807982803		49111
2743288	군산선유도유람선	37	전북특별자치도 군산시 옥도면 선유북길 37	20210910222719	20250305143320	2	A02	A0202	A02020800	126.4161049225	35.8117326390		54000
128942	남해대교유람선	36	경상남도 남해군 설천면 노량로 177	20060425090000	20250721095853	5	A02	A0202	A02020800	127.8729065944	34.9413227821	055-862-9842	52400
2752388	대경도 대합실	38	전라남도 여수시 어항단지로 124	20211001193020	20250331163907	13	A02	A0202	A02020800	127.7219836234	34.7269025226		59765
3464160	대운선박	33	충청북도 괴산군 칠성면 산막이옛길 80-4	20250107143350	20250721133951	1	A02	A0202	A02020800	127.8393771000	36.7611211922		28016
2750345	대천연안여객선터미널	34	충청남도 보령시 대천항중앙길 30	20210928182337	20250326150748	5	A02	A0202	A02020800	126.5115636671	36.3270364237		33490
2783017	대천항유람선	34	충청남도 보령시 대천항중앙길 46 (신흑동)	20211130002723	20250311102306	5	A02	A0202	A02020800	126.5095832891	36.3270502775		33490
127182	도장포유람선	36	경상남도 거제시 남부면 도장포1길 55	20040119090000	20250811150657	1	A02	A0202	A02020800	128.6626095963	34.7421507509		53334
2752397	독정항	38	전라남도 여수시 남면 화태리	20211001193158	20250121150827	13	A02	A0202	A02020800	127.7302199226	34.5812356260		59784
2621914	마라도 가파도 정기여객선	39	제주특별자치도 서귀포시 대정읍 최남단해안로 120	20191001000023	20250730100731	3	A02	A0202	A02020800	126.2583887734	33.2100942980		63513
128802	마라도가는여객선	39	제주특별자치도 서귀포시 대정읍 송악관광로 424	20060222090000	20250610113953	3	A02	A0202	A02020800	126.2905304868	33.2074256509		63513
2707901	목포연안여객선터미널	38	전라남도 목포시 해안로 182	20210303200847	20250326104248	8	A02	A0202	A02020800	126.3841915033	34.7820488058		58759
2732540	민어도선착장	34	충청남도 태안군 원북면 방갈리 10-2	20210810233110	20250325113122	14	A02	A0202	A02020800	126.2511829303	36.9114396607		32105
128945	부여유람선	34	충청남도 부여군 부여읍 나루터로 72	20060425090000	20250702104915	6	A02	A0202	A02020800	126.9075651850	36.2899502743		33137
2740056	산방산유람선	39	제주특별자치도 서귀포시 안덕면 화순해안로106번길 16	20210906194347	20241016111015	3	A02	A0202	A02020800	126.3352176189	33.2370675236		63530
2709524	삼목선착장	2	인천광역시 중구 영종해안북로847번길 55	20210311183411	20250318131522	10	A02	A0202	A02020800	126.4532403015	37.4985639507		22380
127181	삼천포유람선	36	경상남도 사천시 유람선길 70 (대방동)	20031216090000	20250729100943	8	A02	A0202	A02020800	128.0629764079	34.9284608984		52555
2733133	삼학도크루즈	38	전라남도 목포시 삼학로92번길 104 (산정동)	20210812021147	20250703172722	8	A02	A0202	A02020800	126.3882106214	34.7808490068		58751
1081865	새만금유람선	37	전북특별자치도 군산시 옥도면 선유도3길 52-4	20100827025512	20241216163955	2	A02	A0202	A02020800	126.4161796156	35.8235812888		54000
128838	서귀포유람선 뉴파라다이스호	39	제주특별자치도 서귀포시 남성중로 40	20060320090000	20241017140542	3	A02	A0202	A02020800	126.5584621032	33.2391930320		63594
126665	서귀포잠수함	39	제주특별자치도 서귀포시 남성중로 40	20020927090000	20250404105909	3	A02	A0202	A02020800	126.5587093030	33.2392291431		63594
128944	선유도 월명유람선	37	전북특별자치도 군산시 비응로 6	20060425090000	20250121094659	2	A02	A0202	A02020800	126.4131272888	35.8165459289		54003
128154	성산포유람선	39	제주특별자치도 서귀포시 성산읍 성산등용로 130-21	20040531090000	20241023172535	3	A02	A0202	A02020800	126.9345186424	33.4729843609		63643
128934	소양호 유람선	32	강원특별자치도 춘천시 북산면 청평리	20060424090000	20250414113345	13	A02	A0202	A02020800	127.8139001854	37.9580712530		24208
2750733	송공여객선터미널	38	전라남도 신안군 압해읍 압해로 1846-1	20210928225340	20250317205556	12	A02	A0202	A02020800	126.2269010373	34.8485359683		58822
2781566	아라김포여객터미널	31	경기도 김포시 고촌읍 아라육로270번길 74	20211126192915	20250327134411	8	A02	A0202	A02020800	126.7869848326	37.5977083101		10135
3036538	아우라지선착장	32	강원특별자치도 정선군 여량면 아우라지길 78	20231110153640	20250411161529	11	A02	A0202	A02020800	128.7258877667	37.4755861584		26106
2725257	여수 미남크루즈	38	전라남도 여수시 돌산읍 돌산로 3617-22	20210712233657	20250804101312	13	A02	A0202	A02020800	127.7372822199	34.7294941639		59768
2752379	여수 연안여객선터미널	38	전라남도 여수시 여객선터미널길 17 (교동)	20211001191748	20250404135546	13	A02	A0202	A02020800	127.7323629714	34.7387152683		59735
2752381	오동도 유람선터미널	38	전라남도 여수시 수정동 332-23	20211001192305	20250319184732	13	A02	A0202	A02020800	127.7558803038	34.7409126522		59745
2703403	완도항 여객선터미널	38	전라남도 완도군 완도읍 장보고대로 339	20210111191129	20250316220821	18	A02	A0202	A02020800	126.7611639389	34.3165544416		59126
2388644	외도 구조라 유람선	36	경상남도 거제시 일운면 구조라로 38	20160617021403	20250805105644	1	A02	A0202	A02020800	128.6947384699	34.8052470649		53329
2776287	외도유람선 외도랑 / 와현유람선터미널	36	경상남도 거제시 일운면 와현해변길 46	20211119183732	20250317151123	1	A02	A0202	A02020800	128.7047652005	34.8118881710		53329
127363	우도잠수함	39	제주특별자치도 서귀포시 성산읍 성산등용로 112-7	20030619090000	20241127140328	3	A02	A0202	A02020800	126.9345353100	33.4728843723		63643
