contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
128961	강변스파랜드	1	서울특별시 광진구 구의강변로 45 (구의동)	20060508090000	20250328153350	6	A02	A0202	A02020400	127.0913227521	37.5349377239		05049
3034650	국화참숯불가마찜질	33	충청북도 청주시 상당구 낭성면 호정전하울길 99-45	20231107021515	20250418132526	10	A02	A0202	A02020400	127.6057410622	36.6131728142		28193
3010680	글로리비치해수찜	38	전라남도 영광군 백수읍 해안로 950	20230913174524	20250812171505	16	A02	A0202	A02020400	126.3891410344	35.3528760420		57025
2757569	네이처스파	31	경기도 파주시 교하로 677-20	20211015183915	20250319170046	27	A02	A0202	A02020400	126.7043392530	37.7089911042		10883
2735286	동막골유황천	31	경기도 연천군 연천읍 동막로25번길 181	20210819230756	20250109113917	21	A02	A0202	A02020400	127.0812438106	38.0896590238		11011
2732163	로만바스	31	경기도 용인시 처인구 지삼로 470	20210809200916	20250321154012	23	A02	A0202	A02020400	127.1569530865	37.2333155332		17090
2755820	미리내힐빙클럽	31	경기도 양평군 지평면 월산저수지길 21	20211013005952	20250709152118	19	A02	A0202	A02020400	127.6507764810	37.4739299919		12541
1799724	속초스파랜드	32	강원특별자치도 속초시 미시령로3359번길 20	20130315193512	20250728104040	5	A02	A0202	A02020400	128.5746011552	38.2071873354		24820
584698	스파레이	1	서울특별시 서초구 강남대로107길 5 (잠원동)	20080709222510	20250402171616	15	A02	A0202	A02020400	127.0182965393	37.5182911216		06524
2718732	엘리바덴 월성점	4	대구광역시 달서구 조암로 38	20210528005251	20250319191447	2	A02	A0202	A02020400	128.5256756252	35.8250210143		42753
128699	여주참숯마을	31	경기도 여주시 강천면 걸촌동길 40	20051201090000	20250320112000	20	A02	A0202	A02020400	127.6992218945	37.2887356407		12616
250412	용두암해수랜드	39	제주특별자치도 제주시 서해안로 630	20071026090000	20250417171800	4	A02	A0202	A02020400	126.5045688690	33.5158588206		63150
2949823	장흥 참숯가마	31	경기도 양주시 권율로 400	20230217160134	20250107163627	18	A02	A0202	A02020400	126.9597676597	37.7448914924		11519
662862	중앙해수랜드	6	부산광역시 남구 용호로 64	20081206011427	20250421113754	4	A02	A0202	A02020400	129.1106575793	35.1256271780		48523
322850	지리산참숯굴찜질방	36	경상남도 산청군 단성면 지리산대로 2741-24	20071211221701	20250804130600	9	A02	A0202	A02020400	127.9213881716	35.2718975782		52244
2949793	찜질하우스	32	강원특별자치도 원주시 원문로 865-5	20230217141141	20240605102917	9	A02	A0202	A02020400	127.8863978730	37.3427828517		26356
752262	청도훼미리랜드	31	경기도 파주시 문산읍 문산역로 107	20090612023256	20240828093344	27	A02	A0202	A02020400	126.7866331167	37.8557365732		10824
2789664	토담참숯가마	31	경기도 양주시 백석읍 권율로847번길 7-11	20211209001628	20250319140525	18	A02	A0202	A02020400	126.9605584227	37.7740186695		11518
126829	함평해수찜	38	전라남도 함평군 손불면 석산로 69	20031021090000	20250316145342	22	A02	A0202	A02020400	126.4646599828	35.1006891809		57112
701642	해수워터피아	2	인천광역시 서구 봉수대로 257	20090227222028	20250724162112	7	A02	A0202	A02020400	126.6606685752	37.4987481337		22844
2994739	휘닉스찜질방 힐링센터	32	강원특별자치도 평창군 봉평면 태기로 306-7	20230720102412	20250107164708	15	A02	A0202	A02020400	128.3380807715	37.5760643598		25309
