contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
129194	가나아트파크	31	경기도 양주시 장흥면 권율로 117	20060807090000	20241011153024	18	A02	A0202	A02020600	126.9497496852	37.7254519094		11520
2732489	가야금산조테마공원	38	전라남도 영암군 영암읍 기찬랜드로 19-10	20210810225939	20250702175507	17	A02	A0202	A02020600	126.6856118867	34.7919693222		58420
2714140	가야랜드	36	경상남도 김해시 인제로 368 (삼방동)	20210420194949	20250401131958	4	A02	A0202	A02020600	128.8993306204	35.2607025891		50811
2044527	강동 워터파크	35	경상북도 경주시 보불로 391 (천군동)	20151202005240	20250306134627	2	A02	A0202	A02020600	129.3056850979	35.8179335881		38118
2705409	강아지숲	32	강원특별자치도 춘천시 남산면 충효로 437	20210204182038	20250731151837	13	A02	A0202	A02020600	127.6620400154	37.7364886333		24466
3112041	개들랜드	7	울산광역시 울주군 서생면 홍골들길 41	20240328194726	20240328202539	5	A02	A0202	A02020600	129.3244296482	35.3627184808	052-237-0222	45014
1846020	거제맹종죽테마공원	36	경상남도 거제시 하청면 거제북로 700	20130918023132	20250731104835	1	A02	A0202	A02020600	128.6505379959	34.9676447812		53204
2414648	거제시농업개발원	36	경상남도 거제시 거제면 거제남서로 3577	20160909230557	20240611133502	1	A02	A0202	A02020600	128.5795582371	34.8565392606		53285
2603463	경주 동궁원	35	경상북도 경주시 보문로 74-14	20190527235745	20250722133839	2	A02	A0202	A02020600	129.2604463989	35.8527926864		38117
2002492	경주 버드파크	35	경상북도 경주시 보문로 74-14	20150511235204	20250306134333	2	A02	A0202	A02020600	129.2627490602	35.8498125109		38117
127487	경주엑스포대공원	35	경상북도 경주시 경감로 614	20031107090000	20250611103858	2	A02	A0202	A02020600	129.2888667178	35.8322483204		38118
126228	경주월드 어뮤즈먼트	35	경상북도 경주시 보문로 544	20030411090000	20250121175600	2	A02	A0202	A02020600	129.2821727414	35.8363866160		38117
