contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3038543	공주 환경성 건강 센터	34	충청남도 공주시 수원지공원길 131-21 (금학동)	20231114102559	20250429113514	1	A02	A0202	A02020500	127.1259251817	36.4304352185		32602
2660941	국립김천치유의숲	35	경상북도 김천시 증산면 수도길 1237-89	20200624232550	20250811102716	6	A02	A0202	A02020500	128.0022377784	35.8514140611	054-435-3412~4	39695
2554069	국립대관령치유의숲	32	강원특별자치도 강릉시 성산면 대관령옛길 127-42	20180718004958	20250516113416	1	A02	A0202	A02020500	128.7987935679	37.7077413074	033-642-8382	25443
2555756	국립대운산치유의숲	7	울산광역시 울주군 온양읍 대운상대길 225-92	20180727224059	20250731105115	5	A02	A0202	A02020500	129.2361865678	35.3901665277	052-237-8600	44972
2554095	국립양평치유의숲	31	경기도 양평군 양동면 황거길 262-10	20180718014333	20250702095014	19	A02	A0202	A02020500	127.7181068651	37.4611854870	031-8079-7944	12537
127394	국립장성치유의숲	38	전라남도 장성군 서삼면 추암로 716	20030703090000	20240827174739	19	A02	A0202	A02020500	126.7314629993	35.3688466251		57231
2718685	국립제천치유의숲	33	충청북도 제천시 청풍면 학현소야로 590	20210527231353	20250402162417	7	A02	A0202	A02020500	128.2447946692	37.0128775418	043-653-0246	27215
2613450	깊은산속 옹달샘	33	충청북도 충주시 노은면 우성1길 201-61	20190729201252	20250401135906	11	A02	A0202	A02020500	127.7513247320	37.0256058405	043-723-2033	27452
127989	꽃마을 경주한방병원	35	경상북도 경주시 포석로 924	20031124090000	20250731084652	2	A02	A0202	A02020500	129.2109099137	35.8232589729		38172
523984	꽃마을 경주한방병원	35	경상북도 경주시 탑동	20080321194627	20240423220245	2	A02	A0202	A02020500	129.2111043317	35.8235978273		780-170,1
2822328	대구약령시 한방의료체험타운	4	대구광역시 중구 중앙대로77길 45	20220530164539	20250808155655	8	A02	A0202	A02020500	128.5909992253	35.8682589890		41934
2364045	동해무릉건강숲	32	강원특별자치도 동해시 삼화로 455	20160125183604	20250730114105	3	A02	A0202	A02020500	129.0312662354	37.4651127210		25746
3346305	레인보우힐링센터	33	충청북도 영동군 영동읍 영동힐링로 95	20240812112203	20250730104213	4	A02	A0202	A02020500	127.7855597894	36.1569781998		29151
2900897	본초다담	33	충청북도 제천시 의림대로46길 98	20221108100657	20240507142017	7	A02	A0202	A02020500	128.2191559605	37.1809216161		27127
2660770	부산 치유의 숲	6	부산광역시 기장군 철마면 철마천로 101	20200623195838	20250325164353	3	A02	A0202	A02020500	129.1298103057	35.2690086937		46049
2746584	삼척 활기 치유의 숲	32	강원특별자치도 삼척시 미로면 준경길 651-230	20210917010344	20250711132238	4	A02	A0202	A02020500	129.0540194182	37.3852612483		25905
2660763	서귀포 치유의 숲	39	제주특별자치도 서귀포시 산록남로 2271	20200623194739	20250711104003	3	A02	A0202	A02020500	126.5279135660	33.2919672797		63576
2720028	서천 치유의 숲	34	충청남도 서천군 충서로302번길 88-81 치유센터	20210608205153	20250304180049	8	A02	A0202	A02020500	126.6599753082	36.1149493668		33610
3012012	석예원 본초 족욕 성산점	39	제주특별자치도 서귀포시 성산읍 섭지코지로25번길 34	20230918145715	20241107095528	3	A02	A0202	A02020500	126.9195734269	33.4421097515		63641
3346664	소백산 생태탐방원	35	경상북도 영주시 단산면 영단로 253	20240812164330	20250321112000	14	A02	A0202	A02020500	128.6084244302	36.9721029523		36007
3343355	수안보온천 족욕길	33	충청북도 충주시 수안보면 주정산로 35	20240806103919	20250407165933	11	A02	A0202	A02020500	127.9893501391	36.8461197406		27497
2713440	순창 쉴랜드	37	전북특별자치도 순창군 인계면 인덕로 427-128	20210409020614	20250317213750	7	A02	A0202	A02020500	127.1316037073	35.4315879963	063-650-1527	56015
2804475	숲애서	36	경상남도 양산시 탑골길 248 (용당동)	20221231023951	20250319191934	10	A02	A0202	A02020500	129.2061939849	35.4171712687		50524
523982	안동병원	35	경상북도 안동시 수상동	20080321194620	20240423220513	11	A02	A0202	A02020500	128.7010035836	36.5468561335	054-840-1004	760-410,1
2028987	오두산 치유숲	36	경상남도 고성군 상리면 신촌리	20150914224732	20250618135613	3	A02	A0202	A02020500	128.1820997668	35.0178835345		52950
3081515	완도해양치유센터	38	전라남도 완도군 신지면 해양치유길 100	20240115162014	20250514102809	18	A02	A0202	A02020500	126.8184392039	34.3279902170	061-550-7675~6	59146
3022258	제원하늘농원	39	제주특별자치도 제주시 조천읍 대흘북길 72-5	20231023133458	20250722141406	4	A02	A0202	A02020500	126.6664606497	33.5030072753		63343
3511057	주식회사뷰티홀릭	6	부산광역시 수영구 광안로7번길 17 (광안동, 세종 엠스테이3차)	20250722152732	20250728143446	12	A02	A0202	A02020500	129.1138175312	35.1579180661		48297
2638518	창원 편백 치유의 숲	36	경상남도 창원시 진해구 장복산길 47	20191125200733	20250110140414	16	A02	A0202	A02020500	128.6587456835	35.1721886774		51578
2932103	클랑포레스트	32	강원특별자치도 춘천시 금촌로 84-56	20221209145210	20240522161438	13	A02	A0202	A02020500	127.7875501974	37.8517581283	033-261-8870	24399
2760781	팔영산 편백 치유의숲	38	전라남도 고흥군 영남면 천사로 529-191	20211021225134	20250327161451	2	A02	A0202	A02020500	127.4099108546	34.6192314404		59520
2931955	하늘호수	36	경상남도 거창군 북상면 송계로 793	20221208150556	20250714162249	2	A02	A0202	A02020500	127.8148145204	35.7839155830	070-8856-3434	50102
2714875	하이원리조트 HAO 웰니스	32	강원특별자치도 정선군 사북읍 하이원길 265	20210429185947	20241226175018	11	A02	A0202	A02020500	128.8216009997	37.2127210495		26154
3022275	하이힐링원	32	강원특별자치도 영월군 상동읍 섬지골길 113	20231023134400	20250113183124	8	A02	A0202	A02020500	128.7431188190	37.1302901302	033-370-7777	26248
2589657	한방스파 여용국	1	서울특별시 송파구 석촌호수로12길 60 (잠실동)	20190130231350	20250305094052	18	A02	A0202	A02020500	127.0799300989	37.5083878233		05562
127886	한방테마파크 초락당	7	울산광역시 울주군 두동면 계명로 44-34	20031209090000	20250703172432	5	A02	A0202	A02020500	129.1996780011	35.7099187672		44914
523983	한방테마파크 초락당 (艸樂堂)	7	울산광역시 울주군 두동면 봉계리	20080321194624	20240424144232	5	A02	A0202	A02020500	129.1998196583	35.7098187809		689-843,1
2932122	후암별채	1	서울특별시 용산구 후암로35길 39	20221209150822	20240617130329	21	A02	A0202	A02020500	126.9761522655	37.5497617088		04332
