contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127480	가거도(소흑산도)	38	전라남도 신안군 흑산면 가거도길 38-2	20030905090000	20240514161814	12	A01	A0101	A01011300	125.1125145360	34.0740166502		58866
126273	가계해수욕장	38	전라남도 진도군 고군면 신비의바닷길 47	20031107090000	20250808090412	21	A01	A0101	A01011200	126.3547412438	34.4354594945		58911
2715601	가덕도	6	부산광역시 강서구 서천로42번길 351 (천성동)	20210508004846	20250519175814	1	A01	A0101	A01011300	128.8284150154	35.0399121452		46770
129156	가덕도 등대	6	부산광역시 강서구 외양포로 10	20060719090000	20250318220404	1	A01	A0101	A01011600	128.8295937487	35.0006471157		46771
2726843	가덕도 연대봉	6	부산광역시 강서구 천성동	20210723203306	20250325102838	1	A01	A0101	A01010400	128.8216713782	35.0317518247		
2789460	가덕도대항인공동굴	6	부산광역시 강서구 대항동 393-9	20211208224227	20250304162633	1	A01	A0101	A01011900	128.8274685924	35.0133095493		46771
125462	가덕산	31	경기도 가평군 북면	20030331090000	20250315120932	1	A01	A0101	A01010400	127.5683098007	37.9202321907		477-840,1
127257	가라산	36	경상남도 거제시 남부면 다대리	20031029090000	20240613111544	1	A01	A0101	A01010400	128.6303346514	34.7410502933		53322
2743285	가력도항	37	전북특별자치도 부안군 변산면 새만금로 447-27	20210910222116	20250318212635	6	A01	A0101	A01011400	126.5314023248	35.7269248004		56343
125658	가령폭포	32	강원특별자치도 홍천군 내촌면 와야리	20030806090000	20250529094930	16	A01	A0101	A01010800	128.1595225440	37.8326534604		25162
125463	가리산(포천)	31	경기도 포천시 이동면 도평리	20030725090000	20241206153454	29	A01	A0101	A01010400	127.4080179724	38.0450563404		11110
125593	가리산(홍천)	32	강원특별자치도 홍천군 두촌면 가리산길 260-9	20030327090000	20250315134152	16	A01	A0101	A01010400	127.9988086966	37.8543978969		25164
126905	가리산자연휴양림	32	강원특별자치도 홍천군 두촌면 가리산길 426	20030616090000	20250317204348	16	A01	A0101	A01010600	127.9795073354	37.8656156746		25164
127508	가리왕산	32	강원특별자치도 정선군 정선읍 가리왕산로 707	20031209090000	20250331105116	11	A01	A0101	A01010400	128.5634777835	37.4618262980		26119
127423	가마골계곡	38	전라남도 담양군 용면 용소길 261	20030925090000	20250805130524	7	A01	A0101	A01010900	127.0227046757	35.4451873670		57300
126289	가마미해수욕장	38	전라남도 영광군 홍농읍 가마미로 355	20030707090000	20250418105917	16	A01	A0101	A01011200	126.4090769892	35.3997293920		57000
1625067	가마소계곡	37	전북특별자치도 부안군 상서면 청림리	20120509010149	20240613154428	6	A01	A0101	A01010900	126.5979680020	35.6412495627		56343
1884191	가마오름	39	제주특별자치도 제주시 한경면 청수리	20140113184533	20250430134222	4	A01	A0101	A01010400	126.2466098987	33.3057279944		63007
1884202	가메창(암메)	39	제주특별자치도 제주시 한경면 청수로 13-3	20140113194252	20241210160810	4	A01	A0101	A01010400	126.2460707194	33.3209235283	064-728-2742	63006
1884505	가문이오름(감은이오름)	39	제주특별자치도 서귀포시 표선면 가시리	20140114192329	20250522111143	3	A01	A0101	A01010400	126.6876111209	33.4018299117		63623
578400	가사도	38	전라남도 진도군 조도면 가사도길 106	20080623192244	20241129162812	21	A01	A0101	A01011300	126.0510003156	34.4789302819		58953
129141	가사도 등대	38	전라남도 진도군 조도면 가사도돌목길	20060712090000	20241129172547	21	A01	A0101	A01011600	126.0429125538	34.4611877004		58953
2615324	가사동백숲해변	38	전라남도 완도군 약산면 해동리	20190815012008	20240613145912	18	A01	A0101	A01011200	126.9277952875	34.3698373475		59136
1916695	가사해수욕장	38	전라남도 완도군 약산면	20140428232048	20250316204257	18	A01	A0101	A01011200	126.9281702396	34.3704872810		59136
2633896	가산수피아	35	경상북도 칠곡군 가산면 학하들안2길 105	20191107222311	20241218190128	22	A01	A0101	A01010700	128.4850691574	36.0861545517		39849
1884521	가새기오름	39	제주특별자치도 제주시 오라삼동	20140114193335	20250319175257	4	A01	A0101	A01010400	126.5038611983	33.4893700755	064-740-6001	63148
1885746	가세오름	39	제주특별자치도 서귀포시 표선면 녹산로 554	20140116182858	20250520165953	3	A01	A0101	A01010400	126.7231832338	33.3931758821		63622
1885754	가시오름	39	제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1	20140116185151	20250319171527	3	A01	A0101	A01010400	126.2500169782	33.2236315617		63507
2788410	가야공원	6	부산광역시 부산진구 엄광로 118	20211208022652	20250605175406	7	A01	A0101	A01010500	129.0276891748	35.1483453258		47389
2414679	가야산 소리길	36	경상남도 합천군 가야면 황산리	20160909231524	20250731160406	21	A01	A0101	A01010500	128.1273204393	35.7759415388		50201
129212	가야산 야생화식물원	35	경상북도 성주군 수륜면 가야산식물원길 49	20060828090000	20250811134327	10	A01	A0101	A01010700	128.1418573045	35.8031276100		40063
125822	가야산(서산)	34	충청남도 서산시 해미면 산수리	20030930090000	20250731160223	7	A01	A0101	A01010400	126.6091060355	36.7039864327		31961
