contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
1200950	가평 연하리향나무	31	경기도 가평군 상면	20110210213947	20240531143757	1	A01	A0102	A01020100	127.3487111543	37.7990672488		12444
129693	강진 삼인리 비자나무	38	전라남도 강진군 병영면 동삼인길 28-10	20070827090000	20240507100205	1	A01	A0102	A01020100	126.8191381191	34.7148441009		59214
2357460	강천사 모과나무	37	전북특별자치도 순창군 팔덕면 강천산길 270	20161229230200	20240531143048	7	A01	A0102	A01020100	127.0556862716	35.3987570781		56020
1619788	강화 갑곶리 탱자나무	2	인천광역시 강화군 강화읍 동문로 119	20120501020349	20240617150847	1	A01	A0102	A01020100	126.4948543916	37.7541460175		23022
128817	강화 사기리 탱자나무	2	인천광역시 강화군 화도면 해안남로1114번길 6	20060308090000	20250314141901	1	A01	A0102	A01020100	126.4567228313	37.6165030596		23059
2768188	거북바위	2	인천광역시 중구 선녀바위로 68-2	20211104201549	20250318164020	10	A01	A0102	A01020200	126.3791653700	37.4391529006		22383
1704748	거북바위 및 향나무 자생지 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 서면 울릉순환로 1049	20120831001806	20241206141603	17	A01	A0102	A01020200	130.8583677106	37.4604695311		40239
793359	거제 명진리 느티나무	36	경상남도 거제시 거제면 명진리 220	20090904005652	20240617144613	1	A01	A0102	A01020100	128.6103892043	34.8445967056		53286
793418	거제 외간리 동백나무	36	경상남도 거제시 거제면 외간4길 5	20090904013042	20241022092608	1	A01	A0102	A01020100	128.5739113805	34.8613136252		53283
231943	고성 덕명리 공룡과 새발자국 화석산지	36	경상남도 고성군 하이면 덕명리	20071016090000	20250528132939	3	A01	A0102	A01020200	128.1546217137	34.9078370512		52963
2616507	고성 제3기 현무암 (강원평화지역 국가지질공원)	32	강원특별자치도 고성군 토성면 뒷골길 60	20190826235544	20250709113408	2	A01	A0102	A01020200	128.5059272541	38.2829827284		24753
231942	고현리 공룡발자국화석	36	경상남도 창원시 마산합포구 진동면 고현장터길 39	20071016090000	20250318184012	16	A01	A0102	A01020200	128.4790910101	35.1027654370		51794
2862208	곤지바위	31	경기도 광주시 곤지암로 72	20220929155203	20250425150325	5	A01	A0102	A01020200	127.3387611019	37.3495942430		12804
2614769	광석대 (무등산권 국가지질공원)	38	전라남도 화순군 이서면 영평리	20190809191649	20250718164609	24	A01	A0102	A01020200	127.0148136008	35.1204378371		58103
127325	광주 충효동 왕버들 군	5	광주광역시 북구 충효샘길 7	20020510090000	20250320151448	4	A01	A0102	A01020100	127.0009520932	35.1848719954		61146
2784718	괴곡동 느티나무	3	대전광역시 서구 괴곡동 963	20211201224710	20250318212808	3	A01	A0102	A01020100	127.3543169514	36.2863418541		
1434619	괴산 사담리 망개나무 자생지	33	충청북도 괴산군 청천면 사담리	20111111224500	20241029150602	1	A01	A0102	A01020100	127.8161441955	36.6221922566		28064
126006	괴산 송덕리 미선나무 자생지	33	충청북도 괴산군 장연면 송덕리	20031114090000	20240920173910	1	A01	A0102	A01020100	127.9384728287	36.7946302716		28010
792974	괴산 오가리 느티나무	33	충청북도 괴산군 장연면 오가리	20090903191555	20250319193430	1	A01	A0102	A01020100	127.9564508743	36.8262769691		28009
1436300	괴산 율지리 미선나무 자생지	33	충청북도 괴산군 칠성면 율지리	20111115005016	20250316125208	1	A01	A0102	A01020100	127.8687241813	36.7713511099		28019
793040	괴산 읍내리 은행나무	33	충청북도 괴산군 청안면 청안읍내로3길 8	20090903194731	20250319193414	1	A01	A0102	A01020100	127.6399002281	36.7724190437		28050
1437066	괴산 적석리 소나무	33	충청북도 괴산군 연풍면 적석2길 42	20111115212931	20240529181944	1	A01	A0102	A01020100	127.9776564792	36.7576741205		28014
127537	구문소 (강원고생대 국가지질공원)	32	강원특별자치도 태백시 동태백로 11	20030827090000	20240510160457	14	A01	A0102	A01020200	129.0395322915	37.0949998754		26048
2605829	구미 금산리 떡버들나무	35	경상북도 구미시 장천면 금산리	20190611023338	20250729102410	4	A01	A0102	A01020100	128.5175253232	36.1600439799		39163
2605836	구미 낙성리 느티나무	35	경상북도 구미시 해평면 낙성리 230-1	20190611024813	20250117150831	4	A01	A0102	A01020100	128.3840388514	36.1980594138	054-880-3597	
2614573	국수바위 (울릉도,독도 국가지질공원)	35	경상북도 울릉군 서면 남양리	20190808020054	20250731094541	17	A01	A0102	A01020200	130.8387439707	37.4748758072		40235
2366458	국우동 탱자나무	4	대구광역시 북구 도남길 45-7	20160204185103	20250317203901	5	A01	A0102	A01020100	128.5804811194	35.9531297374		41408
129466	금월봉	33	충청북도 제천시 금성면 월굴리	20070911090000	20250317210252	7	A01	A0102	A01020200	128.1732223785	37.0449502968		27206
2932011	기암 단애	35	경상북도 청송군 공원길 346	20221128185600	20241204110849	21	A01	A0102	A01020200	129.1559482277	36.3964180016		37437
2770528	기화리 코끼리바위	32	강원특별자치도 평창군 미탄면 기화리 225	20211109185445	20250321174033	15	A01	A0102	A01020200	128.5308714664	37.3068213293		
2614490	남산 화강암 (경북 동해안 국가지질공원)	35	경상북도 경주시 남산순환로 341-126 (배동)	20190807231416	20250807093331	2	A01	A0102	A01020200	129.2219208639	35.7950068134		38173
1607729	남원 진기리 느티나무	37	전북특별자치도 남원시 보절면 보절신기길 14-3	20120420022037	20241030113014	4	A01	A0102	A01020100	127.4219818974	35.4959496219		55706
129512	남해 가인리 화석산지	36	경상남도 남해군 창선면 가인리 산60-20	20070412090000	20250318185508	5	A01	A0102	A01020200	128.0493036980	34.8862959385		52454
129488	남해 물건리 방조어부림	36	경상남도 남해군 삼동면 동부대로1030번길 59	20070326090000	20240514113931	5	A01	A0102	A01020100	128.0505059329	34.7958866406		52447
129484	남해 미조리 상록수림	36	경상남도 남해군 미조면 미송로12번길 14-7	20070326090000	20250318212113	5	A01	A0102	A01020100	128.0439697309	34.7137318271		52442
128668	남해 창선도 왕후박나무	36	경상남도 남해군 창선면 대벽리	20051117090000	20240611113647	5	A01	A0102	A01020100	128.0113062884	34.9145143297		52449
2666253	내곡 모감주나무군락	4	대구광역시 동구 내곡동 221, 산91	20200803190855	20250325104613	4	A01	A0102	A01020100	128.7544705034	35.8839963437		
1626149	내장산 굴거리나무군락	37	전북특별자치도 정읍시 내장산로 987-30	20120509195050	20250721145038	13	A01	A0102	A01020100	126.9009949687	35.4867500233		56199
250407	단속사 정당매	36	경상남도 산청군 단성면 호암로673번길 12-1	20071026090000	20250404091353	9	A01	A0102	A01020100	127.8997221113	35.3212277466		52241
2614617	독립문바위 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 울릉읍 독도리	20190808202852	20240510173624	17	A01	A0102	A01020200	131.8696890800	37.2385079043		40240
126933	돌할매(영천)	35	경상북도 영천시 북안면 돌할매로 484	20040218090000	20250811144717	15	A01	A0102	A01020200	129.0458321947	35.9398232491		38906
2613112	동해면 작은 구학포 공룡 화석지	36	경상남도 고성군 동해면 조선특구로 656-33	20190726202613	20250319191819	3	A01	A0102	A01020200	128.4593651340	34.9915525486		52919
2614509	두호동 화석산지 (경북 동해안 국가지질공원)	35	경상북도 포항시 북구 환호공원길 30 (환호동)	20190807234837	20250728161413	23	A01	A0102	A01020200	129.3930758051	36.0677598046		37600
250140	라제통문	37	전북특별자치도 무주군 설천면 라제통문로 2	20060731090000	20250730134954	5	A01	A0102	A01020200	127.7949716734	35.9957994958		55554
128974	마이산 타포니지형	37	전북특별자치도 진안군 진안읍 마이산로 255	20060519090000	20240516154837	14	A01	A0102	A01020200	127.4127035856	35.7596501179		55438
2932022	만안자암 단애	35	경상북도 청송군 백석탄로 643	20221128185827	20240703133034	21	A01	A0102	A01020200	129.0042659155	36.3443960312		37449
2792772	만어사경석	36	경상남도 밀양시 삼랑진읍 만어로 776	20211213210908	20250318195059	7	A01	A0102	A01020200	128.8462743678	35.4549964478		50465
2614775	만연사 선캄브리아기 화강편마암 (무등산권 국가지질공원)	38	전라남도 화순군 화순읍 동구리	20190809192423	20250718164438	24	A01	A0102	A01020200	126.9858810969	35.0784670815		58105
2661533	맨삽지(학성리 공룡발자국화석)	34	충청남도 보령시 천북면 학성리 산45	20200630200252	20250327102920	5	A01	A0102	A01020200	126.4844989210	36.4529742791		
1624356	목포 갓바위	38	전라남도 목포시 용해동	20120508023245	20250624165247	8	A01	A0102	A01020200	126.4259097953	34.7922372309		58614
2614777	무등산 광주화강암	5	광주광역시 북구 금곡동	20190809193406	20250430133157	3	A01	A0102	A01020200	126.9966147003	35.1406380268		61147
1074432	무등산 주상절리대	5	광주광역시 동구 용연동	20100816201551	20250718170328	3	A01	A0102	A01020200	126.9990150009	35.1202403693		61512
1624064	무안 청천리 팽나무와 개서어나무 숲	38	전라남도 무안군 청계면 청천길 71-6	20120508001607	20241028155517	9	A01	A0102	A01020100	126.4598969907	34.9675152536		58545
129209	무안망운면의곰솔	38	전라남도 무안군 망운면 두모길 35	20060823090000	20250316145745	9	A01	A0102	A01020100	126.3674792158	35.0068648450		58535
709075	무주 삼공리 반송	37	전북특별자치도 무주군 설천면 삼공리 산31	20090323200555	20241017173857	5	A01	A0102	A01020100	127.7771866504	35.9112032389		55557
2738047	무흘구곡선바위	35	경상북도 성주군 금수면 영천길 210	20210831225616	20250314101956	10	A01	A0102	A01020200	128.0634634784	35.9327170503		40058
128991	물염적벽	38	전라남도 화순군 이서면 물염로	20060602090000	20250319192415	24	A01	A0102	A01020200	127.1075356983	35.1312687471		58103
2715648	발자국화석공원	39	제주특별자치도 서귀포시 대정읍 형제해안로 192	20210508012706	20250408132116	3	A01	A0102	A01020200	126.2931467063	33.2173857035		63512
2614628	버섯바위 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 서면 남서리	20190808222849	20250312102057	17	A01	A0102	A01020200	130.8100129842	37.4807273170		40233
129541	범바위	38	전라남도 완도군 청산면 청계리	20070507090000	20241206114016	18	A01	A0102	A01020200	126.8905147298	34.1583770076		59150
2776855	범바위	32	강원특별자치도 속초시 영랑호반길 140	20211122183258	20250317210453	5	A01	A0102	A01020200	128.5808225913	38.2142727422		24806
2820737	베틀바위	32	강원특별자치도 동해시 삼화로 538 무릉계곡관리사무소	20220519153340	20250316215248	3	A01	A0102	A01020200	129.0194173462	37.4635237853		25746
2615248	병바위 (전북 서해안 국가지질공원)	37	전북특별자치도 고창군 아산면 반암리	20190814220830	20250807174647	1	A01	A0102	A01020200	126.6039130518	35.4861422875		56452
2932018	병암 화강암 단애	35	경상북도 청송군 얼음골로 188-1	20221128185743	20221213175659	21	A01	A0102	A01020200	129.1164402657	36.3126351041		37444
129607	보성 비봉리 공룡알 화석산지	38	전라남도 보성군 득량면 비봉리	20070713090000	20250403111017	10	A01	A0102	A01020200	127.1865535248	34.6958162902		546-922,1
