contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2768188	거북바위	2	인천광역시 중구 선녀바위로 68-2	20211104201549	20250318164020	10	A01	A0102	A01020200	126.3791653700	37.4391529006		22383
1704748	거북바위 및 향나무 자생지 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 서면 울릉순환로 1049	20120831001806	20241206141603	17	A01	A0102	A01020200	130.8583677106	37.4604695311		40239
231943	고성 덕명리 공룡과 새발자국 화석산지	36	경상남도 고성군 하이면 덕명리	20071016090000	20250528132939	3	A01	A0102	A01020200	128.1546217137	34.9078370512		52963
2616507	고성 제3기 현무암 (강원평화지역 국가지질공원)	32	강원특별자치도 고성군 토성면 뒷골길 60	20190826235544	20250709113408	2	A01	A0102	A01020200	128.5059272541	38.2829827284		24753
231942	고현리 공룡발자국화석	36	경상남도 창원시 마산합포구 진동면 고현장터길 39	20071016090000	20250318184012	16	A01	A0102	A01020200	128.4790910101	35.1027654370		51794
2862208	곤지바위	31	경기도 광주시 곤지암로 72	20220929155203	20250425150325	5	A01	A0102	A01020200	127.3387611019	37.3495942430		12804
2614769	광석대 (무등산권 국가지질공원)	38	전라남도 화순군 이서면 영평리	20190809191649	20250718164609	24	A01	A0102	A01020200	127.0148136008	35.1204378371		58103
127537	구문소 (강원고생대 국가지질공원)	32	강원특별자치도 태백시 동태백로 11	20030827090000	20240510160457	14	A01	A0102	A01020200	129.0395322915	37.0949998754		26048
2614573	국수바위 (울릉도,독도 국가지질공원)	35	경상북도 울릉군 서면 남양리	20190808020054	20250731094541	17	A01	A0102	A01020200	130.8387439707	37.4748758072		40235
129466	금월봉	33	충청북도 제천시 금성면 월굴리	20070911090000	20250317210252	7	A01	A0102	A01020200	128.1732223785	37.0449502968		27206
2932011	기암 단애	35	경상북도 청송군 공원길 346	20221128185600	20241204110849	21	A01	A0102	A01020200	129.1559482277	36.3964180016		37437
2770528	기화리 코끼리바위	32	강원특별자치도 평창군 미탄면 기화리 225	20211109185445	20250321174033	15	A01	A0102	A01020200	128.5308714664	37.3068213293		
2614490	남산 화강암 (경북 동해안 국가지질공원)	35	경상북도 경주시 남산순환로 341-126 (배동)	20190807231416	20250807093331	2	A01	A0102	A01020200	129.2219208639	35.7950068134		38173
129512	남해 가인리 화석산지	36	경상남도 남해군 창선면 가인리 산60-20	20070412090000	20250318185508	5	A01	A0102	A01020200	128.0493036980	34.8862959385		52454
2614617	독립문바위 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 울릉읍 독도리	20190808202852	20240510173624	17	A01	A0102	A01020200	131.8696890800	37.2385079043		40240
126933	돌할매(영천)	35	경상북도 영천시 북안면 돌할매로 484	20040218090000	20250811144717	15	A01	A0102	A01020200	129.0458321947	35.9398232491		38906
2613112	동해면 작은 구학포 공룡 화석지	36	경상남도 고성군 동해면 조선특구로 656-33	20190726202613	20250319191819	3	A01	A0102	A01020200	128.4593651340	34.9915525486		52919
2614509	두호동 화석산지 (경북 동해안 국가지질공원)	35	경상북도 포항시 북구 환호공원길 30 (환호동)	20190807234837	20250728161413	23	A01	A0102	A01020200	129.3930758051	36.0677598046		37600
250140	라제통문	37	전북특별자치도 무주군 설천면 라제통문로 2	20060731090000	20250730134954	5	A01	A0102	A01020200	127.7949716734	35.9957994958		55554
128974	마이산 타포니지형	37	전북특별자치도 진안군 진안읍 마이산로 255	20060519090000	20240516154837	14	A01	A0102	A01020200	127.4127035856	35.7596501179		55438
2932022	만안자암 단애	35	경상북도 청송군 백석탄로 643	20221128185827	20240703133034	21	A01	A0102	A01020200	129.0042659155	36.3443960312		37449
2792772	만어사경석	36	경상남도 밀양시 삼랑진읍 만어로 776	20211213210908	20250318195059	7	A01	A0102	A01020200	128.8462743678	35.4549964478		50465
2614775	만연사 선캄브리아기 화강편마암 (무등산권 국가지질공원)	38	전라남도 화순군 화순읍 동구리	20190809192423	20250718164438	24	A01	A0102	A01020200	126.9858810969	35.0784670815		58105
2661533	맨삽지(학성리 공룡발자국화석)	34	충청남도 보령시 천북면 학성리 산45	20200630200252	20250327102920	5	A01	A0102	A01020200	126.4844989210	36.4529742791		
1624356	목포 갓바위	38	전라남도 목포시 용해동	20120508023245	20250624165247	8	A01	A0102	A01020200	126.4259097953	34.7922372309		58614
