contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
1200950	가평 연하리향나무	31	경기도 가평군 상면	20110210213947	20240531143757	1	A01	A0102	A01020100	127.3487111543	37.7990672488		12444
129693	강진 삼인리 비자나무	38	전라남도 강진군 병영면 동삼인길 28-10	20070827090000	20240507100205	1	A01	A0102	A01020100	126.8191381191	34.7148441009		59214
2357460	강천사 모과나무	37	전북특별자치도 순창군 팔덕면 강천산길 270	20161229230200	20240531143048	7	A01	A0102	A01020100	127.0556862716	35.3987570781		56020
1619788	강화 갑곶리 탱자나무	2	인천광역시 강화군 강화읍 동문로 119	20120501020349	20240617150847	1	A01	A0102	A01020100	126.4948543916	37.7541460175		23022
128817	강화 사기리 탱자나무	2	인천광역시 강화군 화도면 해안남로1114번길 6	20060308090000	20250314141901	1	A01	A0102	A01020100	126.4567228313	37.6165030596		23059
793359	거제 명진리 느티나무	36	경상남도 거제시 거제면 명진리 220	20090904005652	20240617144613	1	A01	A0102	A01020100	128.6103892043	34.8445967056		53286
793418	거제 외간리 동백나무	36	경상남도 거제시 거제면 외간4길 5	20090904013042	20241022092608	1	A01	A0102	A01020100	128.5739113805	34.8613136252		53283
127325	광주 충효동 왕버들 군	5	광주광역시 북구 충효샘길 7	20020510090000	20250320151448	4	A01	A0102	A01020100	127.0009520932	35.1848719954		61146
2784718	괴곡동 느티나무	3	대전광역시 서구 괴곡동 963	20211201224710	20250318212808	3	A01	A0102	A01020100	127.3543169514	36.2863418541		
1434619	괴산 사담리 망개나무 자생지	33	충청북도 괴산군 청천면 사담리	20111111224500	20241029150602	1	A01	A0102	A01020100	127.8161441955	36.6221922566		28064
126006	괴산 송덕리 미선나무 자생지	33	충청북도 괴산군 장연면 송덕리	20031114090000	20240920173910	1	A01	A0102	A01020100	127.9384728287	36.7946302716		28010
792974	괴산 오가리 느티나무	33	충청북도 괴산군 장연면 오가리	20090903191555	20250319193430	1	A01	A0102	A01020100	127.9564508743	36.8262769691		28009
1436300	괴산 율지리 미선나무 자생지	33	충청북도 괴산군 칠성면 율지리	20111115005016	20250316125208	1	A01	A0102	A01020100	127.8687241813	36.7713511099		28019
793040	괴산 읍내리 은행나무	33	충청북도 괴산군 청안면 청안읍내로3길 8	20090903194731	20250319193414	1	A01	A0102	A01020100	127.6399002281	36.7724190437		28050
1437066	괴산 적석리 소나무	33	충청북도 괴산군 연풍면 적석2길 42	20111115212931	20240529181944	1	A01	A0102	A01020100	127.9776564792	36.7576741205		28014
2605829	구미 금산리 떡버들나무	35	경상북도 구미시 장천면 금산리	20190611023338	20250729102410	4	A01	A0102	A01020100	128.5175253232	36.1600439799		39163
2605836	구미 낙성리 느티나무	35	경상북도 구미시 해평면 낙성리 230-1	20190611024813	20250117150831	4	A01	A0102	A01020100	128.3840388514	36.1980594138	054-880-3597	
2366458	국우동 탱자나무	4	대구광역시 북구 도남길 45-7	20160204185103	20250317203901	5	A01	A0102	A01020100	128.5804811194	35.9531297374		41408
1607729	남원 진기리 느티나무	37	전북특별자치도 남원시 보절면 보절신기길 14-3	20120420022037	20241030113014	4	A01	A0102	A01020100	127.4219818974	35.4959496219		55706
129488	남해 물건리 방조어부림	36	경상남도 남해군 삼동면 동부대로1030번길 59	20070326090000	20240514113931	5	A01	A0102	A01020100	128.0505059329	34.7958866406		52447
129484	남해 미조리 상록수림	36	경상남도 남해군 미조면 미송로12번길 14-7	20070326090000	20250318212113	5	A01	A0102	A01020100	128.0439697309	34.7137318271		52442
128668	남해 창선도 왕후박나무	36	경상남도 남해군 창선면 대벽리	20051117090000	20240611113647	5	A01	A0102	A01020100	128.0113062884	34.9145143297		52449
2666253	내곡 모감주나무군락	4	대구광역시 동구 내곡동 221, 산91	20200803190855	20250325104613	4	A01	A0102	A01020100	128.7544705034	35.8839963437		
1626149	내장산 굴거리나무군락	37	전북특별자치도 정읍시 내장산로 987-30	20120509195050	20250721145038	13	A01	A0102	A01020100	126.9009949687	35.4867500233		56199
250407	단속사 정당매	36	경상남도 산청군 단성면 호암로673번길 12-1	20071026090000	20250404091353	9	A01	A0102	A01020100	127.8997221113	35.3212277466		52241
1624064	무안 청천리 팽나무와 개서어나무 숲	38	전라남도 무안군 청계면 청천길 71-6	20120508001607	20241028155517	9	A01	A0102	A01020100	126.4598969907	34.9675152536		58545
129209	무안망운면의곰솔	38	전라남도 무안군 망운면 두모길 35	20060823090000	20250316145745	9	A01	A0102	A01020100	126.3674792158	35.0068648450		58535
709075	무주 삼공리 반송	37	전북특별자치도 무주군 설천면 삼공리 산31	20090323200555	20241017173857	5	A01	A0102	A01020100	127.7771866504	35.9112032389		55557
129687	보은 서원리 소나무	33	충청북도 보은군 장안면 서원리	20070823090000	20250316201123	3	A01	A0102	A01020100	127.8166203429	36.4799474403		28912
126009	보은 속리 정이품송	33	충청북도 보은군 속리산면 상판리	20020513090000	20240924100426	3	A01	A0102	A01020100	127.8154471804	36.5175125652		28910
1608746	부안 도청리 호랑가시나무군락	37	전북특별자치도 부안군 변산면 도청리	20120421002249	20250812094022	6	A01	A0102	A01020100	126.5089106766	35.5856404986		56340
2702543	사내골소나무	32	강원특별자치도 태백시 함백산로 274	20211231020737	20250120174047	14	A01	A0102	A01020100	128.8995016300	37.1447414679		26042
126461	산천단곰솔	39	제주특별자치도 제주시 516로 3041-24	20021213090000	20250324171655	4	A01	A0102	A01020100	126.5547604989	33.4476699442		63244
250406	산천재 남명매	36	경상남도 산청군 시천면 남명로 310-8	20071026090000	20250402093152	9	A01	A0102	A01020100	127.8489966382	35.2976322883		52234
2787155	산청 실매리 왕버드나무군(금포림)	36	경상남도 산청군 차황면 실매리	20211207184407	20250408142629	9	A01	A0102	A01020100	127.9307205047	35.4887399483		52206
128962	삼척 궁촌리 음나무	32	강원특별자치도 삼척시 근덕면 궁촌리	20060516090000	20250304173825	4	A01	A0102	A01020100	129.2610141887	37.3145428659		25937
917225	서산 해미읍성 회화나무	34	충청남도 서산시 해미면 동문1길 36-1	20100108234652	20241017171833	7	A01	A0102	A01020100	126.5488417988	36.7129010308		31960
918608	서산향교 은행나무	34	충청남도 서산시 향교1로 26	20100112010822	20250317212801	7	A01	A0102	A01020100	126.4563758648	36.7908571129		31969
126919	서울 신림동 굴참나무	1	서울특별시 관악구 난곡로35길 28-7	20020510090000	20240611111057	5	A01	A0102	A01020100	126.9169737649	37.4710197967		08858
126010	서천 마량리 동백나무 숲	34	충청남도 서천군 서면 마량리	20031114090000	20250319193025	8	A01	A0102	A01020100	126.4935118758	36.1375439425		33604
1627079	세종 임난수 은행나무	8	세종특별자치시 세종동	20120510193719	20250711145422	1	A01	A0102	A01020100	127.2918166385	36.5042463551		30061
228885	순천 송광사 천자암 쌍향수(곱향나무)	38	전라남도 순천시 송광면 천자암길 105	20070927090000	20240530165002	11	A01	A0102	A01020100	127.2899900768	34.9811304432		57914
794882	안동 사신리 느티나무	35	경상북도 안동시 녹전면 송두안길 22	20090904194221	20240926110104	11	A01	A0102	A01020100	128.7719790170	36.6973347339		36602
129087	안동 송사동 소태나무	35	경상북도 안동시 길안면 송사시장길 104	20060629090000	20241104174125	11	A01	A0102	A01020100	128.9290829522	36.3692834440		36735
795174	안동 용계리 은행나무	35	경상북도 안동시 길안면 수곡용계로 493-24	20090904230857	20240614135609	11	A01	A0102	A01020100	128.9243937653	36.4896613183		36737
795035	안동 주하리 뚝향나무	35	경상북도 안동시 와룡면 태리금산로 242-5	20090904222315	20241210134718	11	A01	A0102	A01020100	128.7413528629	36.6397296249		36610
127078	양림동 호랑가시나무길	5	광주광역시 남구 양림동 225-25(호랑가시나무아트폴리곤)	20031114090000	20250806172534	2	A01	A0102	A01020100	126.9120916781	35.1380924389		61643
250293	영월 청령포 관음송	32	강원특별자치도 영월군 남면 광천리	20071019090000	20250311135245	8	A01	A0102	A01020100	128.4444331369	37.1748709954		26226
798077	영월 하송리 은행나무	32	강원특별자치도 영월군 영월읍 은행나무길 65	20090905012121	20250522153726	8	A01	A0102	A01020100	128.4640618236	37.1785237238		26237
126931	영천 자천리 오리장림	35	경상북도 영천시 화북면 자천리	20040218090000	20241120133422	15	A01	A0102	A01020100	128.9149390346	36.1041660665		38813
1627085	예산 용궁리 백송	34	충청남도 예산군 신암면 용궁리 산 73-28	20120510194625	20250319192604	11	A01	A0102	A01020100	126.7966600595	36.7509315094		32417
705625	예천 금남리 황목근(팽나무)	35	경상북도 예천군 용궁면 금남리	20090312195002	20250805165630	16	A01	A0102	A01020100	128.2709152122	36.6038027093		36859
705639	예천 사부리소나무	35	경상북도 예천군 용문면 사부리	20090312195610	20240617172828	16	A01	A0102	A01020100	128.3580541606	36.7184189909		36831
127409	예천 천향리 석송령	35	경상북도 예천군 감천면 석송로 313-29	20040218090000	20240610153956	16	A01	A0102	A01020100	128.4899171966	36.7255289741		36811
799706	완도 맹선리 상록수림	38	전라남도 완도군 소안면 소안로 1107	20090908221623	20240430092217	18	A01	A0102	A01020100	126.6370286971	34.1526651600		59166
799750	완도 미라리 상록수림	38	전라남도 완도군 소안면 미라리 472	20090908223637	20241209160710	18	A01	A0102	A01020100	126.6682706024	34.1444027023		59166
1624135	울산 귀신고래 회유해면	7	울산광역시 남구 장생포동	20120508010217	20250611180209	2	A01	A0102	A01020100	129.3876451745	35.5041121316		
128193	울주 구량리 은행나무	7	울산광역시 울주군 두서면	20041013090000	20250610171100	5	A01	A0102	A01020100	129.1352305797	35.6213414259		44913
2702540	원성 대안리 느티나무	32	강원특별자치도 원주시 흥업면 금산길 42, 외 2필지	20211231015939	20250320105333	9	A01	A0102	A01020100	127.8819441321	37.2941606080		26492
129682	원성 성남리 성황림	32	강원특별자치도 원주시 신림면 성남리	20070813090000	20250324153134	9	A01	A0102	A01020100	128.0844017098	37.2658315304		26506
2613436	원주 반계리 은행나무	32	강원특별자치도 원주시 문막읍 반저리2길 42	20190729200604	20250324105251	9	A01	A0102	A01020100	127.7879665088	37.2939311194		26361
127083	의성 사촌리 가로숲	35	경상북도 의성군 점곡면 점곡길 17	20040219090000	20250709110939	19	A01	A0102	A01020100	128.7619794505	36.4256266568		37321
791511	의성 사촌리 향나무	35	경상북도 의성군 점곡면 만취당길 12	20090902204106	20240614135607	19	A01	A0102	A01020100	128.7618739440	36.4242740314		37321
791540	의성 월소리 소나무	35	경상북도 의성군 안사면 월소3길 62-13	20090902224259	20240613131048	19	A01	A0102	A01020100	128.4237880637	36.4940375320		37305
791462	의성읍 도서동의 회나무	35	경상북도 의성군 의성읍	20090902195858	20240618162059	19	A01	A0102	A01020100	128.6960319583	36.3482592297		37343
128927	이천 도립리 반룡송	31	경기도 이천시 백사면 원적로 910	20060418090000	20250321140937	26	A01	A0102	A01020100	127.4754823063	37.3406005477		17309
