contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127423	가마골계곡	38	전라남도 담양군 용면 용소길 261	20030925090000	20250805130524	7	A01	A0101	A01010900	127.0227046757	35.4451873670		57300
1625067	가마소계곡	37	전북특별자치도 부안군 상서면 청림리	20120509010149	20240613154428	6	A01	A0101	A01010900	126.5979680020	35.6412495627		56343
129681	갈거계곡	37	전북특별자치도 진안군 정천면 휴양림길 77	20070813090000	20240827100917	14	A01	A0101	A01010900	127.4377085322	35.9085419668		55410
753397	갈론계곡	33	충청북도 괴산군 칠성면 칠성로10길 547	20090616184259	20250718170834	1	A01	A0101	A01010900	127.8531905026	36.7344745015		28020
3070550	감천계곡	36	경상남도 창원시 마산회원구 내서읍 신감리	20231101160545	20250804125920	16	A01	A0101	A01010900	128.5126162513	35.1919088150		51249
125833	갑사계곡	34	충청남도 공주시 계룡면 갑사로 225	20020603090000	20250410180100	1	A01	A0101	A01010900	127.1822106747	36.3691793379		32615
125831	강당골계곡	34	충청남도 아산시 송악면 강당리 강당골	20031209090000	20250508135015	9	A01	A0101	A01010900	127.0221465167	36.7053240494		31557
127050	강정천	39	제주특별자치도 서귀포시 강정동	20020624090000	20250408150922	3	A01	A0101	A01010900	126.4747384130	33.2566620021		63563
1625118	강천사계곡	37	전북특별자치도 순창군 팔덕면 강천산길 270	20120509013523	20250728103249	7	A01	A0101	A01010900	127.0559612538	35.3984987787		56020
2783788	거락계곡	36	경상남도 창원시 마산합포구 진전면 거락2길 6	20211130230532	20250317231914	16	A01	A0101	A01010900	128.3721854292	35.1416258192		51795
126756	거림계곡	36	경상남도 산청군 시천면 세석길	20040202090000	20250402091621	9	A01	A0101	A01010900	127.7306102376	35.2821875009		52237
126840	검룡소 (강원고생대 국가지질공원)	32	강원특별자치도 태백시 창죽동	20030827090000	20250709162128	14	A01	A0101	A01010900	128.9354541660	37.2306100727		26002
2763773	경반계곡	31	경기도 가평군 가평읍 경반리	20211027231626	20250722140628	1	A01	A0101	A01010900	127.4692186211	37.8330488418		12415
2732252	고기리계곡	31	경기도 용인시 수지구 고기동	20210809223740	20250620101324	23	A01	A0101	A01010900	127.0443153442	37.3585517886		16800
127153	고선계곡(구마계곡)	35	경상북도 봉화군 소천면 고선리	20030918090000	20250811145031	8	A01	A0101	A01010900	128.9656199369	36.9856165488		36264
127536	고운동계곡	36	경상남도 산청군 시천면 반천로	20030806090000	20250402091905	9	A01	A0101	A01010900	127.7820180781	35.2342077005		52238
125630	고원통계곡	32	강원특별자치도 인제군 서화면 서흥리	20030826090000	20250110101407	10	A01	A0101	A01010900	128.1578055727	38.2129508491		24608
125651	공수전계곡	32	강원특별자치도 양양군 서면 공수전리	20030827090000	20250409162223	7	A01	A0101	A01010900	128.5611022078	38.0340155463		25037
125645	관음사·국형사계곡	32	강원특별자치도 원주시 고문골길 169 (행구동)	20030827090000	20250415094441	9	A01	A0101	A01010900	128.0141255047	37.3336557250		26455
