contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
126023	가야산국립공원(백운동 지구)	35	경상북도 성주군 수륜면 가야산식물원길 17	20040225090000	20250721145215	10	A01	A0101	A01010100	128.1418796034	35.8002612681		40063
126022	가야산국립공원(홍류동,청량동지구)	36	경상남도 합천군 가야산로 1200 가야산국립공원관리사무소	20040213090000	20250721145900	21	A01	A0101	A01010100	128.1322257899	35.7675647985		50201
2784167	가야산생태탐방원	35	경상북도 성주군 수륜면 봉양로1길 313	20211201015111	20250801130717	10	A01	A0101	A01010100	128.1537831839	35.8341354231		40064
127484	경주국립공원	35	경상북도 경주시 천북남로 12	20021002090000	20250718151906	2	A01	A0101	A01010100	129.2896579880	35.8436914887		38116
3429965	경화역공원	36	경상남도 창원시 진해구 진해대로 649 (경화동)	20241129145134	20250717160054	16	A01	A0101	A01010100	128.6866547133	35.1590351047	055-548-4000	51583
125817	계룡산국립공원	34	충청남도 공주시 반포면 동학사1로 327-6	20040217090000	20250721141736	1	A01	A0101	A01010100	127.2324620609	36.3568732990		32626
126237	내장산국립공원	37	전북특별자치도 정읍시 내장호반로 328	20040213090000	20250721143736	13	A01	A0101	A01010100	126.8985701810	35.4868694129		56199
126242	다도해 해상국립공원(완도)	38	전라남도 완도군 완도읍 구계등길 48	20040216090000	20250721150751	18	A01	A0101	A01010100	126.7102410535	34.2984945130		59110
127799	다도해해상국립공원(고흥)	38	전라남도 고흥군 봉래면 신금길 20-5	20040216090000	20250721150354	2	A01	A0101	A01010100	127.4670040641	34.4681465309		59569
3428384	대유평공원	31	경기도 수원시 장안구 수성로 175 (정자동)	20241128155611	20250721152937	13	A01	A0101	A01010100	126.9915582378	37.2874813034		16318
2929449	대진항 해상공원	32	강원특별자치도 고성군 대진항길 80	20221205122416	20240523163450	2	A01	A0101	A01010100	128.4263805057	38.4989615323		24703
126012	덕유산국립공원(남덕유분소)	36	경상남도 거창군 북상면 덕유월성로 1144	20040213090000	20250718145236	2	A01	A0101	A01010100	127.7163291480	35.7707847647		50100
126238	덕유산국립공원(본소,적상분소)	37	전북특별자치도 무주군 설천면 구천동1로 159	20040213090000	20250718152017	5	A01	A0101	A01010100	127.7751204501	35.9007210596		55557
127575	무등산국립공원	5	광주광역시 북구 금곡동	20031107090000	20250718170359	3	A01	A0101	A01010100	126.9890152840	35.1441402806		61147
2795061	무등산국립공원동부사무소	38	전라남도 화순군 화순읍 백운촌길 3-3	20211214182825	20250718164615	24	A01	A0101	A01010100	126.9980692182	35.0661631195		58105
126239	변산반도국립공원	37	전북특별자치도 부안군 변산면 방파제길 11	20040216090000	20250721155740	6	A01	A0101	A01010100	126.5797696087	35.6418575196		56337
127220	북한산국립공원(서울)	1	서울특별시 성북구 보국문로 262 (정릉동)	20040216090000	20250721151225	17	A01	A0101	A01010100	126.9939708373	37.6212287215		02700
3342991	삼성해맞이공원	1	서울특별시 강남구 영동대로128길 39 (삼성동)	20240805141018	20250319162031	1	A01	A0101	A01010100	117.9925662504	19.6944274800		06079
127586	설악산 국립공원(외설악)	32	강원특별자치도 속초시 설악산로 833 (설악동)	20040213090000	20250718164826	5	A01	A0101	A01010100	128.5168243054	38.1675797134		24903
3424152	설악산 생태탐방원	32	강원특별자치도 인제군 북면 쇠리길 106-40	20241126145911	20250319191109	10	A01	A0101	A01010100	128.3041477444	38.1245417312		24607
125586	설악산국립공원(남설악)	32	강원특별자치도 양양군 서면 설악로 801	20040213090000	20250718164418	7	A01	A0101	A01010100	128.4493635323	38.0854546303		25033
125584	설악산국립공원(내설악)	32	강원특별자치도 인제군 북면 백담로 150	20040213090000	20250718164650	10	A01	A0101	A01010100	128.3579130021	38.1917904898		24606
127670	소백산국립공원(경북)	35	경상북도 영주시 봉현면 소백로 1794	20040217090000	20250721152006	14	A01	A0101	A01010100	128.5295764585	36.8587144659		36044
125813	소백산국립공원(북부)	33	충청북도 단양군 가곡면 남한강로 494	20040216090000	20250721154744	2	A01	A0101	A01010100	128.3841596278	37.0242816200		27021
126630	속리산국립공원(경북)	35	경상북도 상주시 화북면 문장대2길 180	20030929090000	20250728144541	9	A01	A0101	A01010100	127.8928776357	36.5717577638		37102
127465	속리산국립공원(충북)	33	충청북도 보은군 법주사로 84 속리산국립공원관리사무소	20040213090000	20250718165030	3	A01	A0101	A01010100	127.8172192478	36.5173848345		28910
3354733	솔밭근린공원	1	서울특별시 강북구 삼양로 561 (우이동)	20240827160011	20250728145321	3	A01	A0101	A01010100	127.0122682634	37.6530586820		01007
125591	오대산국립공원	32	강원특별자치도 평창군 진부면 오대산로	20040216090000	20250430160508	15	A01	A0101	A01010100	128.6014971797	37.7171280754		25318
125814	월악산국립공원	33	충청북도 제천시 한수면 미륵송계로 1647	20040216090000	20250718172824	7	A01	A0101	A01010100	128.0785243139	36.8869528083		27226
127672	월출산국립공원	38	전라남도 영암군 영암읍 천황사로 280-43	20040216090000	20250730113121	17	A01	A0101	A01010100	126.7217341104	34.7752579126		58424
2747100	월출산국립공원 경포대지구	38	전라남도 강진군 성전면 백운로 148-4	20210917195423	20250721155359	1	A01	A0101	A01010100	126.7093025913	34.7457276930		59200
126020	주왕산국립공원	35	경상북도 청송군 주왕산면 공원길 169-7	20040216090000	20250729152726	21	A01	A0101	A01010100	129.1420911906	36.3939180219		37437
127590	지리산국립공원(구례)	38	전라남도 구례군 마산면 화엄사로 356	20040213090000	20250718151047	5	A01	A0101	A01010100	127.5328707526	35.3341837310		57616
127800	지리산국립공원(남원)	37	전북특별자치도 남원시 산내면 와운길 10	20040213090000	20250718150747	4	A01	A0101	A01010100	127.5057968944	35.3822139450		55805
126594	지리산국립공원(산청)	36	경상남도 산청군 시천면 지리산대로 320-2	20040202090000	20250729151315	9	A01	A0101	A01010100	127.7483302733	35.3061684415		52236
126026	지리산국립공원(하동)	36	경상남도 하동군 화개면 화개로 541-9	20040205090000	20250718150145	18	A01	A0101	A01010100	127.6420165700	35.2317749665		52302
126025	지리산국립공원(함양)	36	경상남도 함양군 마천면 백무동로	20040206090000	20250718150050	20	A01	A0101	A01010100	127.6628248485	35.3767839713		50057
125587	치악산국립공원	32	강원특별자치도 원주시 소초면 무쇠점2길 26	20040216090000	20250718171255	9	A01	A0101	A01010100	128.0506809522	37.4143609729		26304
125590	태백산 국립공원	32	강원특별자치도 태백시 번영로 59 (황지동)	20031013090000	20250711142258	14	A01	A0101	A01010100	128.9882796730	37.1493704243		26035
125818	태안해안국립공원	34	충청남도 태안군 귀실길 9 국립공원태안해안사무소	20040216090000	20250325110801	14	A01	A0101	A01010100	126.2924752192	36.7464233166		32145
2809926	한려해상 국립공원 생태탐방원	36	경상남도 통영시 산양일주로 1361-96 한려해상국립공원 생태탐방연수원	20220308171054	20250731090031	17	A01	A0101	A01010100	128.3895323516	34.7797777730		53087
126576	한려해상국립공원(거제)	36	경상남도 거제시 거제대로 981 학동야영장	20040216090000	20250718163212	1	A01	A0101	A01010100	128.6431103681	34.7770937224		53332
988187	한려해상국립공원(남해)	36	경상남도 남해군 설천면 남해대로 4110-9	20100330002005	20250721142636	5	A01	A0101	A01010100	127.8731206933	34.9324460043		52400
127686	한려해상국립공원(사천)	36	경상남도 사천시 늑도동	20040216090000	20250721142527	8	A01	A0101	A01010100	128.0479698825	34.9093711072		52570
126014	한려해상국립공원(통영)	36	경상남도 통영시 한산일주로 70	20040216090000	20250718154113	17	A01	A0101	A01010100	128.4744856404	34.7960941315		53092
126015	한려해상국립공원(하동)	36	경상남도 하동군 금남면	20040216090000	20250721142855	18	A01	A0101	A01010100	127.8880356254	34.9490499577		52352
