contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
126249	강천산 군립공원	37	전북특별자치도 순창군 팔덕면 강천산길 97	20031014090000	20250711100516	7	A01	A0101	A01010300	127.0675127446	35.4088283627		56020
127530	거열산성군립공원	36	경상남도 거창군 거창읍 거안로 1173-47	20040226090000	20250319191536	2	A01	A0101	A01010300	127.8786196518	35.6928937045		50124
126042	내연산보경사시립공원	35	경상북도 포항시 북구 송라면 보경로 523	20021118090000	20241120144227	23	A01	A0101	A01010300	129.3192296849	36.2530124080		37509
127806	명지산군립공원	31	경기도 가평군 북면 가화로 2089-47	20060608090000	20250415170331	1	A01	A0101	A01010300	127.4871945208	37.9357094415		12401
129536	봉명산시립공원	36	경상남도 사천시 곤명면 용산리	20070504090000	20250402092702	8	A01	A0101	A01010300	127.9124021299	35.0871348776		52503
127502	비슬산 군립공원	4	대구광역시 달성군 유가읍 일연선사길 99	20031204090000	20250711094726	3	A01	A0101	A01010300	128.5129249161	35.6900527100		42991
126232	상족암군립공원	36	경상남도 고성군 하이면 자란만로 618	20031111090000	20250319165101	3	A01	A0101	A01010300	128.1541605897	34.9098757035		52963
128207	신불산군립공원	7	울산광역시 울주군 상북면	20041014090000	20250325170658	5	A01	A0101	A01010300	129.0570974670	35.5598579998		44952
126040	운문산군립공원	35	경상북도 청도군 운문면	20040223090000	20250402091015	20	A01	A0101	A01010300	128.9806470397	35.6158113858		38368
126863	웅석봉군립공원	36	경상남도 산청군 산청읍 웅석봉로	20040202090000	20250407134704	9	A01	A0101	A01010300	127.8768946018	35.3872421190		52227
127970	입곡군립공원	36	경상남도 함안군 산인면 입곡공원길	20040206090000	20250707144900	19	A01	A0101	A01010300	128.4506919100	35.2656827406		52072
126258	장안산군립공원	37	전북특별자치도 장수군 계남면 장안리	20031204090000	20250307110312	11	A01	A0101	A01010300	127.5441871386	35.6253259956		597-830,1
125453	천마산 시립공원	31	경기도 남양주시 화도읍 묵현로 105-37	20030719090000	20250624110045	9	A01	A0101	A01010300	127.2905425205	37.6663593984		12158
126900	호구산군립공원	36	경상남도 남해군 이동면 용문사길 166-11	20021025090000	20241205094919	5	A01	A0101	A01010300	127.9254114941	34.7884269497		52438
126038	화왕산군립공원	36	경상남도 창녕군 창녕읍 옥천리	20040220090000	20250724145715	15	A01	A0101	A01010300	128.5431877932	35.5286187063		50335
1622663	황매산군립공원	36	경상남도 합천군 가회면 황매산공원길 4	20120504234756	20250317212306	21	A01	A0101	A01010300	127.9820689468	35.4816777718		50226
