contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
126027	가지산도립공원(밀양)	36	경상남도 밀양시 산내면	20031028090000	20250319181625	7	A01	A0101	A01010200	128.9804563782	35.5803348234		627-830,1
125588	경포도립공원	32	강원특별자치도 강릉시 창해로 473 (강문동)	20040203090000	20250724105035	1	A01	A0101	A01010200	128.9101194924	37.8027519269		25460
126016	금오산도립공원	35	경상북도 구미시 남통동 산33	20040213090000	20250709153611	4	A01	A0101	A01010200	128.3135808656	36.1107708221		39309
125589	낙산도립공원	32	강원특별자치도 양양군 강현면 일출로 42	20031014090000	20250414094725	7	A01	A0101	A01010200	128.6313821755	38.1161018139	033-670-2418	25009
125449	남한산성도립공원 [유네스코 세계유산]	31	경기도 광주시 남한산성면 남한산성로 731	20040203090000	20250314104219	5	A01	A0101	A01010200	127.1883850251	37.4766684605		12700
128001	대둔산도립공원(금산)	34	충청남도 금산군 진산면 대둔산로 2	20031209090000	20250326172331	2	A01	A0101	A01010200	127.3416665299	36.1374586362		32704
128002	대둔산도립공원(논산)	34	충청남도 논산시 벌곡면 수락리	20031208090000	20250319173458	3	A01	A0101	A01010200	127.3021171618	36.1419435389		33028
127673	대둔산도립공원(전북)	37	전북특별자치도 완주군 운주면 대둔산공원길 23	20031008090000	20250721115415	8	A01	A0101	A01010200	127.3328123047	36.1172885601		55300
125815	덕산도립공원	34	충청남도 예산군 덕산면	20030804090000	20250508134121	11	A01	A0101	A01010200	126.6225054620	36.6801283021		32407
126241	두륜산도립공원	38	전라남도 해남군 삼산면 대흥사길 400	20030422090000	20241203133925	23	A01	A0101	A01010200	126.6161141958	34.4896049087		59047
126235	마이산도립공원	37	전북특별자치도 진안군 진안읍 마이산로 130	20030922090000	20250429173951	14	A01	A0101	A01010200	127.4151031931	35.7664604977		55438
2939667	마이산도립공원 남부	37	전북특별자치도 진안군 마이산남로 182	20221229163421	20250711094609	14	A01	A0101	A01010200	127.3938497716	35.7570528603	063-430-2651	55450
2939664	마이산도립공원 북부	37	전북특별자치도 진안군 마이산로 255 마이산 도립공원 관리 사무소	20221229163118	20250711094511	14	A01	A0101	A01010200	127.4149198778	35.7663910580	063-433-2652	55438
127574	모악산도립공원	37	전북특별자치도 김제시 금산면 모악15길	20070419090000	20240611131730	3	A01	A0101	A01010200	127.0561028982	35.7228286577	063-540-3539	54343
126017	문경새재도립공원	35	경상북도 문경시 문경읍 새재로 932	20040213090000	20250704150329	7	A01	A0101	A01010200	128.0770113639	36.7616504930		36919
126248	불갑산도립공원	38	전라남도 영광군 불갑면 불갑사로 450	20030122090000	20240607153918	16	A01	A0101	A01010200	126.5494666677	35.2007737156	061-350-5804 (공원녹지과)	57058
601489	서귀포해양도립공원	39	제주특별자치도 서귀포시 남성중로 43 (서홍동)	20080801195236	20250404101910	3	A01	A0101	A01010200	126.5582787717	33.2398207377		63594
125457	수리산도립공원	31	경기도 군포시 속달로 347-4	20030429090000	20240823135732	7	A01	A0101	A01010200	126.9005398161	37.3480476617		15889
126859	연인산도립공원	31	경기도 가평군 가평읍	20030331090000	20240808155132	1	A01	A0101	A01010200	127.4145411335	37.8985068799		12408
126024	연화산도립공원	36	경상남도 고성군 개천면 연화산1로 544	20030327090000	20240607135930	3	A01	A0101	A01010200	128.2629353286	35.0867328034	055-673-4101~7	52904
2858467	제주곶자왈도립공원	39	제주특별자치도 서귀포시 대정읍 에듀시티로 178	20220922115604	20250729155823	3	A01	A0101	A01010200	126.2735802771	33.2832503451		63644
126240	조계산도립공원	38	전라남도 순천시 승주읍 승주괴목1길	20040225090000	20250416112034	11	A01	A0101	A01010200	127.2687691374	35.0042802527		57909
126253	천관산도립공원	38	전라남도 장흥군 관산읍	20030409090000	20250808165230	20	A01	A0101	A01010200	126.9278437365	34.5483645891		59350
126021	청량산도립공원	35	경상북도 봉화군 명호면 청량로 255	20040213090000	20250811141242	8	A01	A0101	A01010200	128.8950070644	36.7886599652		36257
125819	칠갑산도립공원	34	충청남도 청양군 대치면 장곡길 241	20070912090000	20250421134035	13	A01	A0101	A01010200	126.8841143716	36.3998317198		33360
126019	팔공산국립공원(갓바위지구)	35	경상북도 경산시 와촌면 갓바위로10길 5-1	20031028090000	20250718163308	1	A01	A0101	A01010200	128.7917650205	35.9622687313		38400
126590	팔공산국립공원(군위군)	4	대구광역시 군위군 부계면 동산리	20021114090000	20250721161002	9	A01	A0101	A01010200	128.6844252905	36.0321449272		43165
127659	팔공산국립공원(동화사지구)	4	대구광역시 동구 동화사1길 1	20030623090000	20250721160902	4	A01	A0101	A01010200	128.6961615543	35.9899388189		41007
126018	팔공산국립공원(은해사지구)	35	경상북도 영천시 청통면 은해사로 300	20030424090000	20250718163140	15	A01	A0101	A01010200	128.7939862569	35.9902905991		38866
