contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2789460	가덕도대항인공동굴	6	부산광역시 강서구 대항동 393-9	20211208224227	20250304162633	1	A01	A0101	A01011900	128.8274685924	35.0133095493		46771
125724	고씨굴 (강원고생대 국가지질공원)	32	강원특별자치도 영월군 김삿갓면 영월동로 1117	20060509090000	20250311133716	8	A01	A0101	A01011900	128.5353790658	37.1307444591		26245
2649975	광명동굴	31	경기도 광명시 가학로85번길 142 (가학동)	20200317021650	20250711144430	4	A01	A0101	A01011900	126.8648909266	37.4243548415		14341
2663268	광양와인동굴	38	전라남도 광양시 광양읍 강정길 33	20200713185707	20250315152257	4	A01	A0101	A01011900	127.6086181363	34.9613492633		57749
2987914	광천선굴어드벤처테마파크	32	강원특별자치도 평창군 고대동길 119	20230512133544	20250731113927	15	A01	A0101	A01011900	128.4516722463	37.5188259153		25356
2726420	근포동굴	36	경상남도 거제시 남부면 저구리 423	20210720191723	20241209143224	1	A01	A0101	A01011900	128.5912996550	34.7219794988		
125730	금강굴	32	강원특별자치도 속초시 설악산로 1091	20021216090000	20241209155223	5	A01	A0101	A01011900	128.4884989154	38.1735618013		24903
125861	단양 고수동굴	33	충청북도 단양군 단양읍 고수동굴길 8	20031106090000	20250407113929	2	A01	A0101	A01011900	128.3815386863	36.9884523536		27024
125854	단양 온달동굴	33	충청북도 단양군 영춘면 온달로 23	20031007090000	20250617161106	2	A01	A0101	A01011900	128.4923432540	37.0628736682		27020
2829793	당진 용천굴	34	충청남도 당진시 석문면 장고항리	20220727111842	20240531111604	4	A01	A0101	A01011900	126.5596126829	37.0366499492		31701
129560	대금굴 (대이리 동굴지대)	32	강원특별자치도 삼척시 신기면 환선로 800	20070528090000	20250403170947	4	A01	A0101	A01011900	129.0205714417	37.3259535342		25942
3335004	대항항 포진지 동굴	6	부산광역시 강서구 가덕해안로1212번길 48-1 (대항동)	20240719085442	20250318220132	1	A01	A0101	A01011900	128.8267741820	35.0142872051		46771
2781614	도선굴	35	경상북도 구미시 금오산로 434-1	20211126195841	20250314142108	4	A01	A0101	A01011900	128.2988156329	36.1062405109		39309
128976	마이산 화엄굴	37	전북특별자치도 진안군 마령면 마이산남로 367	20060519090000	20241021155351	14	A01	A0101	A01011900	127.4127035856	35.7596501179		55450
126452	만장굴 (제주도 국가지질공원)	39	제주특별자치도 제주시 구좌읍 만장굴길 182	20040226090000	20250730094547	4	A01	A0101	A01011900	126.7706788052	33.5280478463		63348
2738721	미천굴	39	제주특별자치도 서귀포시 성산읍 중산간동로 4150-30	20210901201107	20250103141850	3	A01	A0101	A01011900	126.8415509789	33.3833177616		63635
2663273	발효소스토굴	37	전북특별자치도 순창군 순창읍 민속마을길 61-59	20200713190757	20250808164418	7	A01	A0101	A01011900	127.1021801835	35.3671558953		56048
1333464	백룡동굴 (강원고생대 국가지질공원)	32	강원특별자치도 평창군 미탄면 문희길 63	20110718202216	20250729135938	15	A01	A0101	A01011900	128.5770904015	37.2779144274		25384
2931999	백아산 석회동굴	38	전라남도 화순군 백아면 노치리	20221128185400	20221213173011	24	A01	A0101	A01011900	127.1736322748	35.1458154558		58101
126711	보령 냉풍욕장	34	충청남도 보령시 청라면 냉풍욕장길 190	20021203090000	20250317205601	5	A01	A0101	A01011900	126.6698231108	36.3774694637		33425
126639	삼척초당굴	32	강원특별자치도 삼척시 근덕면 금계리	20040224090000	20240529160846	4	A01	A0101	A01011900	129.1888407468	37.3833668740		25932
126113	성류굴 (경북 동해안 국가지질공원)	35	경상북도 울진군 성류굴로 221	20040219090000	20250613165402	18	A01	A0101	A01011900	129.3791062330	36.9572250252		36334
