contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
129156	가덕도 등대	6	부산광역시 강서구 외양포로 10	20060719090000	20250318220404	1	A01	A0101	A01011600	128.8295937487	35.0006471157		46771
129141	가사도 등대	38	전라남도 진도군 조도면 가사도돌목길	20060712090000	20241129172547	21	A01	A0101	A01011600	126.0429125538	34.4611877004		58953
128022	간절곶	7	울산광역시 울주군 서생면 간절곶1길 39-2	20031215090000	20250731155454	5	A01	A0101	A01011600	129.3605738299	35.3589668021	052-239-6313	45015
129151	거문도 등대	38	전라남도 여수시 거문도등대길 299 항로표지관리소	20060718090000	20250317143855	13	A01	A0101	A01011600	127.3219612742	34.0084314114		59790
3007813	녹산등대	38	전라남도 여수시 삼산면 서도리	20230905153405	20250530131518	13	A01	A0101	A01011600	127.2928395524	36.0625774302		59790
128346	누에섬 등대전망대	31	경기도 안산시 단원구 선감동	20050401090000	20250318141354	15	A01	A0101	A01011600	126.6322686486	37.1872782256		15652
129144	당사도 등대	38	전라남도 완도군 소안면 당사도길 17-239	20060713090000	20250801152247	18	A01	A0101	A01011600	126.6019913810	34.0980262416		59162
129178	대진등대	32	강원특별자치도 고성군 현내면 한나루로4길 16-38	20060725090000	20250801140304	2	A01	A0101	A01011600	128.4287940231	38.5037804603		24703
1107065	도남항 동방파제 등대 (연필등대)	36	경상남도 통영시 도남로 269-38	20101013015546	20240610095523	17	A01	A0101	A01011600	128.4337077799	34.8286369883		53079
129175	도동등대(행남등대)	35	경상북도 울릉군 행남길 291-71 행남등대	20060724090000	20240603154559	17	A01	A0101	A01011600	130.9189559357	37.4869233254		40221
129174	독도 등대	35	경상북도 울릉군 울릉읍 독도이사부길 63	20060724090000	20250315151434	17	A01	A0101	A01011600	131.8699668034	37.2394022532		40240
129145	마라도 등대	39	제주특별자치도 서귀포시 대정읍 마라로 (165, 마라도항로표지관리소)	20060713090000	20241030154010	3	A01	A0101	A01011600	126.2692287758	33.1170102919		63515
129176	묵호등대	32	강원특별자치도 동해시 해맞이길 300	20060724090000	20250711141829	3	A01	A0101	A01011600	129.1181334954	37.5538569666		25717
129149	백야도 등대	38	전라남도 여수시 화정면 백야등대길 48	20060714090000	20250326152639	13	A01	A0101	A01011600	127.6539175431	34.6093811650		59782
129129	부도 등대	2	인천광역시 옹진군 영흥면 선미로 142-1	20060710090000	20240919172349	9	A01	A0101	A01011600	126.3477427705	37.1498303906		23120
129148	산지 등대	39	제주특별자치도 제주시 사라봉동길 108-1	20060714090000	20250324110535	4	A01	A0101	A01011600	126.5456624039	33.5209144715	064-722-5707	63284
3061738	산지항로표지관리소	39	제주특별자치도 제주시 사라봉동길 108-1 (건입동)	20231207102239	20250418113837	4	A01	A0101	A01011600	126.5455679603	33.5212338791		63284
2742128	서근등대	38	전라남도 신안군 팔금면 원산리	20210909193924	20250402163318	12	A01	A0101	A01011600	126.0831096645	34.7874377488		58838
129130	선미도 등대	2	인천광역시 옹진군 덕적면 선미로 91	20060711090000	20250722183423	9	A01	A0101	A01011600	126.0775831577	37.2871320274		23129
3078054	선유도항방파제등대	37	전북특별자치도 군산시 옥도면 선유도리	20231025161126	20250612112531	2	A01	A0101	A01011600	126.4183432215	35.8271142553		54000
129150	소리도 등대	38	전라남도 여수시 남면 덕포길 133	20060718090000	20241202182203	13	A01	A0101	A01011600	127.7997819573	34.4138555084		59787
129153	소매물도 등대섬	36	경상남도 통영시 한산면 소매물도길 246	20060719090000	20250731175340	17	A01	A0101	A01011600	128.5480894239	34.6195540364		53097
827203	소청도 등대	2	인천광역시 옹진군 대청면 소청서로 279 (소청도등대)	20091024025457	20250312093842	9	A01	A0101	A01011600	124.7282782529	37.7604542189		23106
128803	속초등대전망대	32	강원특별자치도 속초시 영금정로5길 8-28	20060223090000	20250318194522	5	A01	A0101	A01011600	128.6000930800	38.2137204042		24811
129166	송대말 등대	35	경상북도 경주시 감포읍 척사길 18-94	20060721090000	20240806150448	2	A01	A0101	A01011600	129.5115784813	35.8080469501		38125
2752131	슬도등대	7	울산광역시 동구 성끝길 122	20211001005211	20250312152820	3	A01	A0101	A01011600	129.4294006019	35.4781713882		44111
129139	신안 가거도 등대	38	전라남도 신안군 흑산면 가거도리	20060712090000	20240702101641	12	A01	A0101	A01011600	125.0992013701	34.0947335700		58866
129180	어룡도 등대	38	전라남도 완도군 노화읍 어룡도길 24	20060725090000	20241206103039	18	A01	A0101	A01011600	126.4747786355	34.2872141551		59159
129134	어청도 등대	37	전북특별자치도 군산시 어청도길 240 어청도항로표지 관리	20060711090000	20240830091422	2	A01	A0101	A01011600	125.9686621609	36.1251226614		54000
129157	영도 등대	6	부산광역시 영도구 전망로 181	20060719090000	20250609141709	14	A01	A0101	A01011600	129.0923639479	35.0523933666		49127
129422	영산포 등대	38	전라남도 나주시 등대길 80	20070201090000	20240604141809	6	A01	A0101	A01011600	126.7089297388	34.9996185417		58266
129152	오동도 등대	38	전라남도 여수시 오동도로 238-32	20090929011523	20250513112828	13	A01	A0101	A01011600	127.7678097276	34.7444013572		59723
129155	오륙도 등대	6	부산광역시 남구 오륙도로 130	20060719090000	20250618150015	4	A01	A0101	A01011600	129.1269154412	35.0912035523	해파랑길 관광안내소 051-607-6395<br>오륙도 선착장 051-626-8953	48595
129131	옹도 등대	34	충청남도 태안군 근흥면 가의도길 44-69	20060711090000	20250528162106	14	A01	A0101	A01011600	126.0085674237	36.6474521427		32133
129147	우도 등대	39	제주특별자치도 제주시 우도면 우도봉길 105	20060714090000	20241209103515	4	A01	A0101	A01011600	126.9665931996	33.4920855483		63365
129165	울기등대	7	울산광역시 동구 등대로 155	20060721090000	20250312135948	3	A01	A0101	A01011600	129.4438267191	35.4924756100		44058
