contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2726843	가덕도 연대봉	6	부산광역시 강서구 천성동	20210723203306	20250325102838	1	A01	A0101	A01010400	128.8216713782	35.0317518247		
125462	가덕산	31	경기도 가평군 북면	20030331090000	20250315120932	1	A01	A0101	A01010400	127.5683098007	37.9202321907		477-840,1
127257	가라산	36	경상남도 거제시 남부면 다대리	20031029090000	20240613111544	1	A01	A0101	A01010400	128.6303346514	34.7410502933		53322
125463	가리산(포천)	31	경기도 포천시 이동면 도평리	20030725090000	20241206153454	29	A01	A0101	A01010400	127.4080179724	38.0450563404		11110
125593	가리산(홍천)	32	강원특별자치도 홍천군 두촌면 가리산길 260-9	20030327090000	20250315134152	16	A01	A0101	A01010400	127.9988086966	37.8543978969		25164
127508	가리왕산	32	강원특별자치도 정선군 정선읍 가리왕산로 707	20031209090000	20250331105116	11	A01	A0101	A01010400	128.5634777835	37.4618262980		26119
1884191	가마오름	39	제주특별자치도 제주시 한경면 청수리	20140113184533	20250430134222	4	A01	A0101	A01010400	126.2466098987	33.3057279944		63007
1884202	가메창(암메)	39	제주특별자치도 제주시 한경면 청수로 13-3	20140113194252	20241210160810	4	A01	A0101	A01010400	126.2460707194	33.3209235283	064-728-2742	63006
1884505	가문이오름(감은이오름)	39	제주특별자치도 서귀포시 표선면 가시리	20140114192329	20250522111143	3	A01	A0101	A01010400	126.6876111209	33.4018299117		63623
1884521	가새기오름	39	제주특별자치도 제주시 오라삼동	20140114193335	20250319175257	4	A01	A0101	A01010400	126.5038611983	33.4893700755	064-740-6001	63148
1885746	가세오름	39	제주특별자치도 서귀포시 표선면 녹산로 554	20140116182858	20250520165953	3	A01	A0101	A01010400	126.7231832338	33.3931758821		63622
1885754	가시오름	39	제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1	20140116185151	20250319171527	3	A01	A0101	A01010400	126.2500169782	33.2236315617		63507
125822	가야산(서산)	34	충청남도 서산시 해미면 산수리	20030930090000	20250731160223	7	A01	A0101	A01010400	126.6091060355	36.7039864327		31961
3034222	가제산	34	충청남도 태안군 이원면 포지리	20231108135947	20250430171224	14	A01	A0101	A01010400	126.2905250464	36.8646346339		32103
799819	가학산	38	전라남도 완도군 소안면 미라리	20090908230442	20241104161305	18	A01	A0101	A01010400	126.6593100914	34.1522183506		537-831,1
129537	각산	36	경상남도 사천시 동림동	20070504090000	20250521095859	8	A01	A0101	A01010400	128.0571209743	34.9434368938		52553
1887368	각시바위오름	39	제주특별자치도 서귀포시 호근동	20140121002153	20250513172327	3	A01	A0101	A01010400	126.5259918298	33.2777271543		63569
128213	간월산	7	울산광역시 울주군 상북면 간월산길 614	20041015090000	20250610155732	5	A01	A0101	A01010400	129.0480650268	35.5561610255		44952
1577238	갈계숲	36	경상남도 거창군 북상면	20120324024512	20250319193354	2	A01	A0101	A01010400	127.8160256582	35.7789272818		50102
127781	갈기산	33	충청북도 영동군 양산면 호탄리	20031022090000	20250422101459	4	A01	A0101	A01010400	127.6280083624	36.1121138260		29160
1887493	감낭오름	39	제주특별자치도 서귀포시 안덕면 동광리	20140121191403	20250513174151	3	A01	A0101	A01010400	126.3497088457	33.3250274801		63523
1576464	감악산(거창)	36	경상남도 거창군 신원면 연수사길 452	20120323200137	20250804093627	2	A01	A0101	A01010400	127.9175273118	35.5896644164		50153
125600	감악산(원주)	32	강원특별자치도 원주시 신림면 황둔리	20030430090000	20241113150531	9	A01	A0101	A01010400	128.1500300952	37.2330309839		27108
125450	감악산(파주)	31	경기도 파주시 적성면 감골길 48	20021022090000	20240510161050	27	A01	A0101	A01010400	126.9520635715	37.9121440779		10805
1887866	갑선이오름	39	제주특별자치도 서귀포시 표선면 가시로592번길	20140122185007	20241206140804	3	A01	A0101	A01010400	126.7810400382	33.3621052416		63623
126034	갑장산	35	경상북도 상주시 낙동면 비룡리	20040213090000	20250728142116	9	A01	A0101	A01010400	128.1881214752	36.3481470483		37253
