contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127480	가거도(소흑산도)	38	전라남도 신안군 흑산면 가거도길 38-2	20030905090000	20240514161814	12	A01	A0101	A01011300	125.1125145360	34.0740166502		58866
2715601	가덕도	6	부산광역시 강서구 서천로42번길 351 (천성동)	20210508004846	20250519175814	1	A01	A0101	A01011300	128.8284150154	35.0399121452		46770
578400	가사도	38	전라남도 진도군 조도면 가사도길 106	20080623192244	20241129162812	21	A01	A0101	A01011300	126.0510003156	34.4789302819		58953
2024432	가우도	38	전라남도 강진군 도암면 월곶로 473	20150820235050	20250328112900	1	A01	A0101	A01011300	126.7726522891	34.5283725869		59251
125848	가의도	34	충청남도 태안군 근흥면 가의도리	20030619090000	20250530095426	14	A01	A0101	A01011300	126.0727080861	36.6761471358		32133
2754985	가조도	36	경상남도 거제시 사등면 가조로 1298	20211008194419	20250317143351	1	A01	A0101	A01011300	128.5206884618	34.9577018859		53273
126446	가파도	39	제주특별자치도 서귀포시 대정읍 가파로	20030909090000	20240829164727	3	A01	A0101	A01011300	126.2735884192	33.1664326869		63514
580102	각흘도	38	전라남도 진도군 조도면 관매작흘도길 6	20080626025226	20241129172452	21	A01	A0101	A01011300	126.0510943280	34.2577606440		58958
580288	갈목도	38	전라남도 진도군 조도면 진목도갈목길 10	20080627180914	20241202183301	21	A01	A0101	A01011300	125.9471912472	34.3062257853		58956
125502	강화도	2	인천광역시 강화군 강화읍 강화대로	20060302090000	20250313173945	1	A01	A0101	A01011300	126.4877441465	37.7465023392		23031
3026607	개도	38	전라남도 여수시 화정면 개도리	20231011174413	20241211095644	13	A01	A0101	A01011300	127.6657925016	34.5697969057		59783
128920	거금도	38	전라남도 고흥군 금산면 신촌리	20060414090000	20250808101829	2	A01	A0101	A01011300	127.1807154847	34.4566346433		59564
126283	거문도	38	전라남도 여수시 삼산면 거문길 103	20031216090000	20250730092327	13	A01	A0101	A01011300	127.3089480580	34.0274901869		59790
2781820	거북섬	31	경기도 시흥시 거북섬로 113 (정왕동)	20211126213924	20250528175112	14	A01	A0101	A01011300	126.6797384195	37.3214690582		15119
126972	거제도	36	경상남도 거제시 거제면 거제도	20021205090000	20241204090505	1	A01	A0101	A01011300	128.5172414841	34.8548244444		53280
126224	거제도 해금강	36	경상남도 거제시 남부면 갈곶리	20031027090000	20250718163611	1	A01	A0101	A01011300	128.6839246455	34.7333354513		53334
131279	고군산군도	37	전북특별자치도 군산시 옥도면 대장도리	20020704090000	20250811160222	2	A01	A0101	A01011300	126.4712109761	35.8168440944		54000
2752416	고금도	38	전라남도 완도군 고금면 신장길 31-8	20211001194427	20250331100314	18	A01	A0101	A01011300	126.8246284492	34.4062510113		59132
127320	고대도	34	충청남도 보령시 오천면 고대도1길 1	20021203090000	20250722162902	5	A01	A0101	A01011300	126.3668639999	36.3879075256		33411
126706	고파도	34	충청남도 서산시 팔봉면 고파도2길 10	20030723090000	20250312163147	7	A01	A0101	A01011300	126.3359808063	36.9107356409		31926
580302	곽도	38	전라남도 진도군 조도면 맹골곽도길 23	20080627182816	20241129162910	21	A01	A0101	A01011300	125.8592348190	34.1974338073		58958
127549	관매도	38	전라남도 진도군 조도면 관매도길 71	20030929090000	20250718170844	21	A01	A0101	A01011300	126.0520835135	34.2411375211		58958
580311	관사도	38	전라남도 진도군 조도면 관사도길 20-10	20080627183425	20241210164954	21	A01	A0101	A01011300	125.9753331373	34.3094980868		58956
2616077	관음도 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 북면 천부리	20190820022230	20241127174506	17	A01	A0101	A01011300	130.9207400425	37.5429530626		40213
