contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2633896	가산수피아	35	경상북도 칠곡군 가산면 학하들안2길 105	20191107222311	20241218190128	22	A01	A0101	A01010700	128.4850691574	36.0861545517		39849
129212	가야산 야생화식물원	35	경상북도 성주군 수륜면 가야산식물원길 49	20060828090000	20250811134327	10	A01	A0101	A01010700	128.1418573045	35.8031276100		40063
3013529	가야정원	38	전라남도 순천시 해룡면 농주리	20230920174012	20250204162414	11	A01	A0101	A01010700	127.5222504674	34.8619089390		58025
3512952	가평베고니아새정원	31	경기도 가평군 설악면 미사리로270번길 30	20250724180807	20250725090602	1	A01	A0101	A01010700	127.5241540660	37.6847254326		12461
3018842	갈멜정원	38	전라남도 보성군 웅치면 일림로 530-26	20231010141325	20250812175635	10	A01	A0101	A01010700	127.0538844612	34.7020883495		59449
2414769	강릉 솔향수목원	32	강원특별자치도 강릉시 구정면 수목원길 156	20160909234439	20250711095638	1	A01	A0101	A01010700	128.8617409792	37.6979158879		25622
127433	강원특별자치도립화목원	32	강원특별자치도 춘천시 화목원길 24	20040225090000	20250319192018	13	A01	A0101	A01010700	127.7254731639	37.9233347533		24207
2755024	거제식물원	36	경상남도 거제시 거제면 거제남서로 3595	20211008201011	20250316122023	1	A01	A0101	A01010700	128.5781500188	34.8568253143		53285
2648073	거제식물원(거제정글돔)	36	경상남도 거제시 거제면 거제남서로 3595	20200218224720	20250319191050	1	A01	A0101	A01010700	128.5781500188	34.8568253143		53285
127725	거제자연예술랜드	36	경상남도 거제시 동부면 동부로 209	20040216090000	20240607164541	1	A01	A0101	A01010700	128.6240137852	34.8156946239		53332
3032505	경북천년숲정원	35	경상북도 경주시 통일로 366-4 가든센터	20230825164634	20250320153348	2	A01	A0101	A01010700	129.2421547209	35.8119525052		38174
127816	경상남도수목원	36	경상남도 진주시 이반성면 수목원로 386	20040224090000	20250319190101	13	A01	A0101	A01010700	128.2955472073	35.1597529647		52615
704151	경상북도 산림환경연구원	35	경상북도 경주시 통일로 367 (배반동)	20090309234913	20250724103626	2	A01	A0101	A01010700	129.2414186674	35.8121774663		38174
127432	경상북도수목원	35	경상북도 포항시 북구 죽장면 수목원로 647	20040223090000	20250602150730	23	A01	A0101	A01010700	129.2596888030	36.2152572184		37502
2773857	경포플라워가든	32	강원특별자치도 강릉시 초당동 459-28	20211112191746	20250516113207	1	A01	A0101	A01010700	128.9086892141	37.7979885609		25466
2478983	고산골 메타쉐콰이어길	4	대구광역시 남구 용두2길 43	20170204000943	20250315133105	1	A01	A0101	A01010700	128.6034408589	35.8300524321		42503
3345112	고산문화공원	37	전북특별자치도 완주군 고산면 고산휴양림로 89	20240808152849	20250317211349	8	A01	A0101	A01010700	127.2312251680	35.9742142010		55312
127852	고운식물원	34	충청남도 청양군 청양읍 식물원길 398-23	20071005090000	20241203150042	13	A01	A0101	A01010700	126.7606634539	36.4337812374		33302
2774110	고원화목원	37	전북특별자치도 진안군 백운면 덕현리 678-3	20211112220242	20241226173831	14	A01	A0101	A01010700	127.3777448095	35.6832081835		
2924827	고흥장수호힐링정원	38	전라남도 고흥군 신호산장길 73-19	20221129170733	20241205145807	2	A01	A0101	A01010700	127.3036371949	34.6043812971		59536
2782765	곰내연밭	6	부산광역시 기장군 철마면 웅천리 254-4	20211129222303	20250325104359	3	A01	A0101	A01010700	129.1695450043	35.2954092493		
2615455	과천야생화자연학습장	31	경기도 과천시 밤나무길 100 (갈현동)	20190816223802	20250313111917	3	A01	A0101	A01010700	126.9711868904	37.4214542963		13811
128981	관방제림	38	전라남도 담양군 담양읍 죽녹원로 98	20060525090000	20241209122125	7	A01	A0101	A01010700	126.9856777193	35.3235005111		57339
3413142	광주시립수목원	5	광주광역시 남구 도동길 142 (양과동)	20241112175346	20250320113512	2	A01	A0101	A01010700	126.8823899340	35.0905917436		61767
3001143	구례수목원	38	전라남도 구례군 탑동1길 125 수목원전시장	20230825165014	20241211095404	5	A01	A0101	A01010700	127.4502982755	35.3035190904		57603
2508220	국립백두대간수목원	35	경상북도 봉화군 춘양면 춘양로 1501	20170921025636	20250602145554	8	A01	A0101	A01010700	128.8299535859	37.0081335894		36209
2675068	국립세종수목원	8	세종특별자치시 수목원로 136 (세종동)	20201007053825	20250711135238	1	A01	A0101	A01010700	127.2857090051	36.4986579981		30106
127497	국립수목원(광릉숲)	31	경기도 포천시 소흘읍 광릉수목원로 509	20040224090000	20250527134824	29	A01	A0101	A01010700	127.1690120221	37.7595768998		11186
