contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127535	갈천약수터	32	강원특별자치도 양양군 서면 구룡령로 1103-66	20030827090000	20250311135819	7	A01	A0101	A01011000	128.5029086488	37.9058931889	033-670-2721	25040
750834	곱돌광산약수터	31	경기도 하남시 창우동	20090610185730	20250327152828	30	A01	A0101	A01011000	127.2429982248	37.5215753492		
1621059	구시물	39	제주특별자치도 제주시 애월읍 상귀리	20120503023036	20241104172444	4	A01	A0101	A01011000	126.4097117919	33.4565305490		63057
127155	다덕약수탕	35	경상북도 봉화군 봉성면 진의실길 6	20040213090000	20250805113304	8	A01	A0101	A01011000	128.8252568356	36.9126722189		36226
126111	달기약수탕 (청송 국가지질공원)	35	경상북도 청송군 청송읍 약수길 16	20040219090000	20250328161426	21	A01	A0101	A01011000	129.0836033947	36.4383590741		37423
126767	당몰샘	38	전라남도 구례군 마산면 사도리	20030925090000	20250316121847	5	A01	A0101	A01011000	127.4994767741	35.2151826888		542-852,3
2699685	데미샘(섬진강발원지)	37	전북특별자치도 진안군 백운면 데미샘1길 172	20201218202644	20250307092809	14	A01	A0101	A01011000	127.4610575560	35.6570348322		55456
126116	도동약수공원	35	경상북도 울릉군 울릉읍 도동리	20040210090000	20240925102527	17	A01	A0101	A01011000	130.9004271646	37.4824151202		40225
126768	무주 신풍령약수터	37	전북특별자치도 무주군 무풍면 구천동로	20030925090000	20250121100450	5	A01	A0101	A01011000	127.8105208960	35.8707862030		55563
125723	방동약수	32	강원특별자치도 인제군 기린면 방동약수로 89-59	20030813090000	20250704112109	10	A01	A0101	A01011000	128.3962310388	37.9438728399		24656
125729	방아다리약수터	32	강원특별자치도 평창군 진부면 방아다리로 1011-26	20031209090000	20250704111458	15	A01	A0101	A01011000	128.5036234087	37.6931706345	033-332-6417	25320
2772889	부연약수	32	강원특별자치도 강릉시 연곡면 부연동길 964	20211111015403	20250327173313	1	A01	A0101	A01011000	128.6404970577	37.8780657396		25400
1830997	불바라기약수터	32	강원특별자치도 양양군 서면 미천골길 115	20130727001348	20250313131237	7	A01	A0101	A01011000	128.5269526196	37.9408840360		25040
1837460	삼봉약수	32	강원특별자치도 홍천군 내면 삼봉휴양길 276	20130813225906	20241205171454	16	A01	A0101	A01011000	128.4632915132	37.8568953339		25170
2782249	삼신할미약수터	2	인천광역시 옹진군 자월면 이작리 산209	20211127000240	20250314143619	9	A01	A0101	A01011000	126.2592418107	37.1753036871		23128
129005	신약수(가리골약수)	32	강원특별자치도 평창군 용평면 속사2리	20060616090000	20241209144919	15	A01	A0101	A01011000	128.4991270450	37.6782472758		232-931,3
127473	오색약수터	32	강원특별자치도 양양군 서면 오색리	20030808090000	20250324132317	7	A01	A0101	A01011000	128.4455502436	38.0772221805		25033
1908591	오읍약수터	2	인천광역시 강화군 북문길 110 오읍약수터	20140327194101	20250314134113	1	A01	A0101	A01011000	126.4844330940	37.7552512601		23021
126110	오전약수탕	35	경상북도 봉화군 물야면 문수로 1601	20030918090000	20241111141015	8	A01	A0101	A01011000	128.7502605440	37.0133703566		36200
125726	인제 미산리 개인약수	32	강원특별자치도 인제군 상남면 개인약수길 546	20030812090000	20250414105620	10	A01	A0101	A01011000	128.3703329030	37.8686699628		24666
125860	초정약수	33	충청북도 청주시 청원구 내수읍 초정리	20031021090000	20250410142257	10	A01	A0101	A01011000	127.6008218248	36.7214825196		363-935,5
125725	추곡약수터	32	강원특별자치도 춘천시 북산면 추곡약수길 89-1	20021216090000	20250326171233	13	A01	A0101	A01011000	127.8890520721	38.0373384358		24208
128660	화암약수 (강원고생대 국가지질공원)	32	강원특별자치도 정선군 화암면 약수길 1330	20051115090000	20241016184542	11	A01	A0101	A01011000	128.7858534723	37.3292930616		26116
127898	후곡약수터	32	강원특별자치도 양구군 동면 후곡리	20031020090000	20250730160504	6	A01	A0101	A01011000	128.0569216955	38.1681569250		24510
