contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
126905	가리산자연휴양림	32	강원특별자치도 홍천군 두촌면 가리산길 426	20030616090000	20250317204348	16	A01	A0101	A01010600	127.9795073354	37.8656156746		25164
128205	간월산 자연휴양림	7	울산광역시 울주군 상북면 등억알프스로 607-15	20041014090000	20240318160200	5	A01	A0101	A01010600	129.0560529115	35.5671043874		44952
2613159	갈모봉 산림욕장	36	경상남도 고성군 고성읍 갈모봉숲길 42	20190726225107	20250316123349	3	A01	A0101	A01010600	128.2676407226	34.9718346636		52933
2774103	강씨봉 자연휴양림	31	경기도 가평군 북면 논남기길 520	20211112215922	20250317204601	1	A01	A0101	A01010600	127.4083868175	37.9700067673		12400
3403616	갯골자연휴양림	32	강원특별자치도 인제군 인제읍 인제로103번길 501	20241031174815	20250319190509	10	A01	A0101	A01010600	128.1281817583	38.0807906830		24624
126582	거제자연휴양림	36	경상남도 거제시 동부면 거제중앙로 325	20040108090000	20250718090000	1	A01	A0101	A01010600	128.6296446835	34.7841760229		53332
2756141	거창 항노화힐링랜드	36	경상남도 거창군 가조면 의상봉길 834	20211013191645	20250624165909	2	A01	A0101	A01010600	128.0409263540	35.7367527544		50118
126678	계명산 자연휴양림	33	충청북도 충주시 충주호수로 1170 (종민동)	20031106090000	20250711130622	11	A01	A0101	A01010600	127.9956680059	36.9785629705		27484
1114802	계양산 산림욕장	2	인천광역시 계양구 임학동	20101021203223	20250418112625	2	A01	A0101	A01010600	126.7305135554	37.5497517735		21031
3018261	고대산자연휴양림	31	경기도 연천군 신서면 고대산길 84-79	20231005172754	20250701170813	21	A01	A0101	A01010600	127.1506644287	38.2113155104		11001
127533	고산자연휴양림	37	전북특별자치도 완주군 고산면 고산휴양림로 246	20030701090000	20250805131231	8	A01	A0101	A01010600	127.2331252962	35.9629766259		55312
1089831	광치자연휴양림	32	강원특별자치도 양구군 국토정중앙면 광치령로1794번길 265	20100910025753	20250730154756	6	A01	A0101	A01010600	128.0711128881	38.1413047697		24552
2733419	구름산 산림욕장(구름산 도시자연공원)	31	경기도 광명시 오리로619번길 34 (하안동)	20210812190350	20250314095240	4	A01	A0101	A01010600	126.8772250678	37.4545987722		14303
128051	구수곡자연휴양림	35	경상북도 울진군 십이령로 2721 구수곡자연휴양림	20040227090000	20250319091402	18	A01	A0101	A01010600	129.2914246904	37.0636166931		36308
2759620	구재봉자연휴양림	36	경상남도 하동군 적량면 중서길 60-81	20211020191616	20250407171029	18	A01	A0101	A01010600	127.7441130348	35.1289966606		52320
125413	국립 가리왕산자연휴양림	32	강원특별자치도 정선군 정선읍 가리왕산로 707	20030613090000	20250613150816	11	A01	A0101	A01010600	128.5700393556	37.4268471267		26119
126745	국립 검마산자연휴양림	35	경상북도 영양군 수비면 검마산길 191	20040216090000	20241209165554	13	A01	A0101	A01010600	129.2339226976	36.7454741795		36524
