contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
125658	가령폭포	32	강원특별자치도 홍천군 내촌면 와야리	20030806090000	20250529094930	16	A01	A0101	A01010800	128.1595225440	37.8326534604		25162
2363553	갱매폭포	31	경기도 과천시 막계동	20160121175317	20241113161116	3	A01	A0101	A01010800	127.0355334318	37.4351066425		13829
127747	구곡폭포	32	강원특별자치도 춘천시 남산면 강촌구곡길 254	20030925090000	20250709181901	13	A01	A0101	A01010800	127.6092986794	37.7939337577		24465
125669	구룡폭포(소금강)	32	강원특별자치도 강릉시 연곡면 소금강길 500	20040203090000	20250410175055	1	A01	A0101	A01010800	128.6835093795	37.8026919730		25400
2790513	구만폭포	36	경상남도 밀양시 산내면 봉의리	20211209212201	20250312160720	7	A01	A0101	A01010800	128.8738257371	35.6195423145		50414
125656	구성폭포	32	강원특별자치도 춘천시 북산면 청평리	20021216090000	20250402104127	13	A01	A0101	A01010800	127.8159299508	37.9783050468		24208
1610474	구장군폭포	37	전북특별자치도 순창군 팔덕면 청계리	20120423230146	20250808172114	7	A01	A0101	A01010800	127.0668822579	35.4083228536		595-861,31
1626454	금선폭포	37	전북특별자치도 정읍시 내장호반로 328 (내장동)	20120509233346	20250115101609	13	A01	A0101	A01010800	126.9106714366	35.5044426262		56199
126067	내연산 보경사 12폭포	35	경상북도 포항시 북구 송라면 보경로 53	20040211090000	20250812144225	23	A01	A0101	A01010800	129.3568937537	36.2284631351		37511
126059	달기폭포	35	경상북도 청송군 청송읍 달기폭포길	20040219090000	20250430134230	21	A01	A0101	A01010800	129.1144894830	36.4407788321		37424
2778472	대혜폭포	35	경상북도 구미시 남통동	20211124193408	20241106103116	4	A01	A0101	A01010800	128.3070231525	36.1093458640		
1626988	도덕폭포	37	전북특별자치도 정읍시 내장동	20120510184650	20240926200412	13	A01	A0101	A01010800	126.9250845294	35.4854700231		580-300,1
1201432	도마치계곡(적목용소폭포)	31	경기도 가평군 북면 적목리	20110211003837	20250723153242	1	A01	A0101	A01010800	127.4411185950	38.0155548377		12400
2756754	동창천 청룡폭포(청룡인공폭포)	35	경상북도 경주시 산내면 외칠리	20211014003744	20250808134228	2	A01	A0101	A01010800	129.0436263742	35.7597435527		38184
125655	등선폭포(삼악산)	32	강원특별자치도 춘천시 서면 덕두원리	20021216090000	20250318163543	13	A01	A0101	A01010800	127.6584182123	37.8277557360	033-244-2331	24462
127187	만연폭포	38	전라남도 화순군 화순읍 유천리	20030925090000	20250319171123	24	A01	A0101	A01010800	127.0011132091	35.0735401173		58105
125775	매월대폭포	32	강원특별자치도 철원군 근남면 잠곡리 222-5	20030827090000	20250316211653	12	A01	A0101	A01010800	127.4768433340	38.1950151047		24065
1686758	매학폭포	33	충청북도 충주시 수안보면 사문리	20120806225329	20241010194634	11	A01	A0101	A01010800	128.0598722172	36.8244596379		27500
125673	무릉계곡 용추폭포(강원)	32	강원특별자치도 동해시 삼화로 538	20031226090000	20241016191025	3	A01	A0101	A01010800	129.0193673529	37.4634487929	033-534-7306	25746
1200089	무주채폭포	31	경기도 가평군 북면 적목리	20110210014031	20250722171148	1	A01	A0101	A01010800	127.4335192987	38.0152547328		12400
2796807	무지개폭포	36	경상남도 양산시 평산동	20211215005337	20241224162850	10	A01	A0101	A01010800	129.1159277855	35.3837400065		50541
2755689	문동폭포	36	경상남도 거제시 문동폭포길 107	20211012234653	20250316122223	1	A01	A0101	A01010800	128.6633009598	34.8562741316		53297
2785612	백석폭포	32	강원특별자치도 정선군 북평면 오대천로 412	20211203190108	20250711161845	11	A01	A0101	A01010800	128.6281079829	37.4651160442		26100
2394017	백운산 구시폭포	38	전라남도 광양시 옥룡면 동곡리	20160720003313	20250319171106	4	A01	A0101	A01010800	127.5996928152	35.1127181966		57702
988215	병풍폭포	37	전북특별자치도 순창군 팔덕면 강천산길 113	20100330005700	20250319191427	7	A01	A0101	A01010800	127.0666322839	35.4081700885		56020
126071	봉래폭포 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 울릉읍 도동리	20030925090000	20240912172232	17	A01	A0101	A01010800	130.8842669502	37.4985407161		40218
126070	불일폭포	36	경상남도 하동군 화개면 목압길	20040205090000	20240514132432	18	A01	A0101	A01010800	127.6495296506	35.2374494585		52302
125671	비룡폭포	32	강원특별자치도 속초시 설악동	20031120090000	20250327150300	5	A01	A0101	A01010800	128.5023258220	38.1611551800	033-636-7700	24903
2716199	비와야폭포	32	강원특별자치도 태백시 양지길 25 (장성동)	20210512003726	20250326104111	14	A01	A0101	A01010800	129.0208308308	37.1066648430		26047
