contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
2743285	가력도항	37	전북특별자치도 부안군 변산면 새만금로 447-27	20210910222116	20250318212635	6	A01	A0101	A01011400	126.5314023248	35.7269248004		56343
2785625	가오치선착장	36	경상남도 통영시 도산면 도산일주로 542-55	20211203190937	20250314064449	17	A01	A0101	A01011400	128.3126940017	34.9087814182		53004
2754996	가조도선착장	36	경상남도 거제시 사등면 가조로2길 62	20211008194839	20250317111641	1	A01	A0101	A01011400	128.5261915327	34.9285746891		53273
2514820	가진항	32	강원특별자치도 고성군 죽왕면 가진해변길 121-12	20171110233221	20250801112714	2	A01	A0101	A01011400	128.5133183548	38.3682229327		24744
2715990	갈남항	32	강원특별자치도 삼척시 원덕읍 갈남리 99-20	20210511222256	20250318170953	4	A01	A0101	A01011400	129.3251150597	37.2807757781		25956
2788422	감만시민부두	6	부산광역시 남구 감만동 626-1	20211208023211	20250326091806	4	A01	A0101	A01011400	129.0687505471	35.1097087416		
2785306	감천항	6	부산광역시 서구 원양로 6	20211202225158	20250306171309	11	A01	A0101	A01011400	129.0128152394	35.0547971892		49277
128677	감포항	35	경상북도 경주시 감포읍 감포로	20051121090000	20250418173256	2	A01	A0101	A01011400	129.5040374805	35.8078329413		780-830,1
753302	강구안	36	경상남도 통영시 중앙동	20090616021024	20240514165429	17	A01	A0101	A01011400	128.4242054351	34.8436462512		53053
988459	강구항 대게거리	35	경상북도 영덕군 강구면 강구리	20100330033830	20250430111822	12	A01	A0101	A01011400	129.3913285689	36.3588462265		36455
2731193	강릉항	32	강원특별자치도 강릉시 창해로14번길 55-11	20210805024757	20240731072859	1	A01	A0101	A01011400	128.9517472703	37.7714035891		25556
2788447	강양항	7	울산광역시 울주군 온산읍 강양길 123	20211208024502	20250326130814	5	A01	A0101	A01011400	129.3465491622	35.3907407526		45008
2779517	강정포구	39	제주특별자치도 서귀포시 말질로 291	20211125194127	20241016104642	3	A01	A0101	A01011400	126.4750196034	33.2271624839		63563
126645	강진만	38	전라남도 강진군 신전면 벌정리	20020422090000	20250106153906	1	A01	A0101	A01011400	126.7701508920	34.5952233820		59254
2732510	개목항	34	충청남도 태안군 소원면 의항리	20210810231737	20250527142646	14	A01	A0101	A01011400	126.1678092685	36.8319502030		32121
2768207	거잠포선착장	2	인천광역시 중구 잠진도길 11 (운서동)	20211104221117	20250314162407	10	A01	A0101	A01011400	126.4254255008	37.4221140221		22382
128749	거진항	32	강원특별자치도 고성군 거진읍 거진항1길 62-3	20060123090000	20250801135813	2	A01	A0101	A01011400	128.4598152167	38.4465127542		24713
2765260	건평항	2	인천광역시 강화군 양도면 건평리 623-16	20211101192835	20250314110054	1	A01	A0101	A01011400	126.3990846816	37.6799835388		
128980	격포항	37	전북특별자치도 부안군 변산면 격포리 788-15	20060525090000	20240614141512	6	A01	A0101	A01011400	126.4686633325	35.6227133850		56337
2756064	경정항	35	경상북도 영덕군 축산면 영덕대게로 1735	20211013183332	20250318102242	12	A01	A0101	A01011400	129.4258691115	36.4819467960		36422
228869	계마항	38	전라남도 영광군 홍농읍 계마리	20040610090000	20250317115923	16	A01	A0101	A01011400	126.4072107385	35.3896416165		57000
2791433	고내포구	39	제주특별자치도 제주시 애월읍 고내리 1111-4	20211210182337	20241218181002	4	A01	A0101	A01011400	126.3379150223	33.4670588041		63045
2761583	고래뿌리선착장	31	경기도 안산시 단원구 대부남동 529-2	20211025194654	20250326095345	15	A01	A0101	A01011400	126.5692295884	37.1999950931		
127041	고성 자란만	36	경상남도 고성군 하일면 용태1길	20040127090000	20240611164220	3	A01	A0101	A01011400	128.2114770075	34.9404455161		52955
2760815	고하도선착장	38	전라남도 목포시 고하도길 162 (달동)	20211021230848	20250316213845	8	A01	A0101	A01011400	126.3727456895	34.7654921494		58762
127690	곰소항	37	전북특별자치도 부안군 진서면 곰소리	20030820090000	20250321112000	6	A01	A0101	A01011400	126.6054465080	35.5861059588		56346
2712573	공현진항	32	강원특별자치도 고성군 죽왕면 공현진리	20210330014731	20250317135042	2	A01	A0101	A01011400	128.4977090190	38.3569572766		
2768210	광명선착장	2	인천광역시 중구 무의동	20211104221514	20250806142617	10	A01	A0101	A01011400	126.4359702740	37.3750252340		22388
2781333	광명항	2	인천광역시 중구 대무의로 523-2	20211126043331	20250318112158	10	A01	A0101	A01011400	126.4365591080	37.3750752386		22388
2715935	교암항	32	강원특별자치도 고성군 토성면 교암리 151-10	20210511203508	20250321163222	2	A01	A0101	A01011400	128.5481315222	38.2901743770		
2750421	구도선착장	34	충청남도 서산시 팔봉면 팔봉1로 753	20210928190727	20250326140451	7	A01	A0101	A01011400	126.3274754619	36.8273534623		31921
2781394	구두미포구	39	제주특별자치도 서귀포시 보목동	20211126184227	20241226151915	3	A01	A0101	A01011400	126.5967116225	33.2367272441		63599
2610501	구룡포항	35	경상북도 포항시 남구 구룡포읍 호미로 222-1	20190711015728	20240527143818	23	A01	A0101	A01011400	129.5556416090	35.9893051205		37933
2762856	구매항	34	충청남도 태안군 고남면 고남리	20211027000435	20250530093942	14	A01	A0101	A01011400	126.4320099460	36.4247460701		32172
2737995	구산항	35	경상북도 울진군 기성면 구산봉산로 126-4	20210831200848	20241209172558	18	A01	A0101	A01011400	129.4718928219	36.7609992455		36354
2737299	구시포항	37	전북특별자치도 고창군 상하면 자룡리 984	20210830191709	20250312101119	1	A01	A0101	A01011400	126.4297461318	35.4496435148		56408
2738659	구엄포구	39	제주특별자치도 제주시 애월읍 구엄리	20210901190125	20241220143850	4	A01	A0101	A01011400	126.3764112840	33.4843297214		63049
2783919	구조라항	36	경상남도 거제시 일운면 구조라로 73	20211130234541	20250408131734	1	A01	A0101	A01011400	128.6974938394	34.8032584477		53329
2783148	국동항	38	전라남도 여수시 어항단지로 116	20211130012432	20250331160852	13	A01	A0101	A01011400	127.7213781344	34.7263609059		59765
988466	군산항	37	전북특별자치도 군산시 임해로 378-14 (소룡동)	20100330041033	20250807151602	2	A01	A0101	A01011400	126.6292732693	35.9780144917		54007
2754986	궁농항	36	경상남도 거제시 장목면 거제북로 2633-15	20211008194620	20250407105903	1	A01	A0101	A01011400	128.7035269333	35.0010475573		53200
1937784	궁리포구	34	충청남도 홍성군 서부면 궁리	20140730004310	20250318185820	15	A01	A0101	A01011400	126.4572117089	36.5884471203		32204
