contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
3480015	간월도 해양경관 탐방로	34	충청남도 서산시 부석면 간월도2길 30	20250227173308	20250318203957	7	A01	A0101	A01011100	126.4211700538	36.6061222456		32023
772462	강동 화암 주상절리	7	울산광역시 북구 산하동 952-1번지 일원	20090729233001	20241202112439	4	A01	A0101	A01011100	129.4424755991	35.6341985442		44264
988129	거문도 신선바위	38	전라남도 여수시 삼산면 거문리	20100329235608	20250401091449	13	A01	A0101	A01011100	127.3072485707	34.0123585069		556-851,1
2720498	곤륜산 활공장	35	경상북도 포항시 북구 흥해읍	20210610014315	20250317103301	23	A01	A0101	A01011100	129.3919489586	36.1347494244		37530
1910823	과개안(너븐개) 해안	7	울산광역시 동구 등대로 일산동	20140403193137	20241030143802	3	A01	A0101	A01011100	129.4399548400	35.4922811141		44058
2730276	구룡포 주상절리	35	경상북도 포항시 남구 구룡포읍 일출로62번길 65	20210804004701	20241129112932	23	A01	A0101	A01011100	129.5681957952	35.9985876468		37931
128795	남원 큰엉해안	39	제주특별자치도 서귀포시 남원읍 태위로 522-17	20060221090000	20250110153324	3	A01	A0101	A01011100	126.7037237502	33.2733776834		63620
2664266	대청도 옥죽동 해안사구	2	인천광역시 옹진군 대청면	20200720233008	20250523132959	9	A01	A0101	A01011100	124.7148329142	37.8433331588		23105
2781422	대포해안	39	제주특별자치도 서귀포시 이어도로 36-30	20211126185131	20241213160859	3	A01	A0101	A01011100	126.4260597168	33.2380216246		63547
2536133	매미성	36	경상남도 거제시 장목면 복항길 29	20180213233552	20250701111753	1	A01	A0101	A01011100	128.7051193387	34.9682512568		53202
3351786	뭍닭섬 산책로	34	충청남도 태안군 소원면 의항리	20240821175343	20250315145918	14	A01	A0101	A01011100	126.1437679669	36.7954262360		32121
2738763	박수기정	39	제주특별자치도 서귀포시 안덕면 난드르로 90-25	20210901223411	20250428162350	3	A01	A0101	A01011100	126.3587516855	33.2371845468		63531
252574	삼귀해안	36	경상남도 창원시 성산구 삼귀로 263	20071101090000	20250318184019	16	A01	A0101	A01011100	128.6107532744	35.1490181838		51705
2616131	삼선암 (울릉도, 독도 국가지질공원)	35	경상북도 울릉군 북면 천부리	20190821001728	20241113172821	17	A01	A0101	A01011100	130.9085714600	37.5494187347		40213
1896768	서귀포해안	39	제주특별자치도 서귀포시 남성로128번길 13 (서홍동)	20140219235252	20250411130839	3	A01	A0101	A01011100	126.5559789263	33.2418038156		63594
3008097	섬등반도	38	전라남도 신안군 흑산면 가거도리	20230905190630	20241016192959	12	A01	A0101	A01011100	125.0920497321	34.0715527273		58866
127813	섭지코지	39	제주특별자치도 서귀포시 성산읍 섭지코지로 107	20030827090000	20250318204335	3	A01	A0101	A01011100	126.9280674087	33.4302500880		63642
128224	세방낙조 전망대	38	전라남도 진도군 지산면 가학리 산27-3	20041101090000	20250319185627	21	A01	A0101	A01011100	126.1022216978	34.4404159812		58952
1945578	소남머리	39	제주특별자치도 서귀포시 칠십리로 145 (서귀동)	20140902014920	20250411131848	3	A01	A0101	A01011100	126.5689416339	33.2443787372		63596
2781401	소천지	39	제주특별자치도 서귀포시 칠십리로485번길 2 (보목동)	20211126184428	20241016113543	3	A01	A0101	A01011100	126.6027220992	33.2417795599		63599
2785713	송대소주상절리 (한탄강 유네스코 세계지질공원)	32	강원특별자치도 철원군 동송읍 장흥리	20211203215959	20250528170107	12	A01	A0101	A01011100	127.2600796871	38.2011326017		24023
127570	송지호 해안 서낭바위 (강원평화지역 국가지질공원)	32	강원특별자치도 고성군 죽왕면 오호리	20040204090000	20250605140114	2	A01	A0101	A01011100	128.5302264210	38.3276585482		24747
228859	수월봉과 차귀해안	39	제주특별자치도 제주시 한경면 노을해안로 1013-70	20040226090000	20250321141447	4	A01	A0101	A01011100	126.1630063111	33.2941224154		63008
128674	수치해안	36	경상남도 창원시 진해구	20051118090000	20250318185505	16	A01	A0101	A01011100	128.7027158633	35.1055941664		645-350,1
1940193	신선대(부산)	6	부산광역시 남구 신선로303번길 6	20140809003156	20250618154808	4	A01	A0101	A01011100	129.1033782666	35.1033184289		48548
635701	신풍 신천 바다목장	39	제주특별자치도 서귀포시 성산읍 일주동로 5417	20081010203404	20241030163422	3	A01	A0101	A01011100	126.8638107873	33.3560016909		63636
2767879	신항 바다쉼터	2	인천광역시 연수구 송도동 386-4	20211103234939	20250327150350	8	A01	A0101	A01011100	126.6147770099	37.3453234810		21992
2782734	실안낙조	36	경상남도 사천시 실안동	20211129215222	20250801144027	8	A01	A0101	A01011100	128.0421196103	34.9395370663		52554
3056625	애월한담공원	39	제주특별자치도 제주시 애월읍 애월로 11	20231204114059	20250414101306	4	A01	A0101	A01011100	126.3112758307	33.4600591587		63043
2614515	양남 주상절리군 (경북 동해안 국가지질공원)	35	경상북도 경주시 양남면 동해안로 494	20190807235916	20240520135003	2	A01	A0101	A01011100	129.4737408179	35.6867376703		38219
1898906	엉알해안	39	제주특별자치도 제주시 한경면 고산리	20140225023237	20240530143259	4	A01	A0101	A01011100	126.1676196819	33.2994219009		63008
3056663	엉알해안산책로	39	제주특별자치도 제주시 한경면 노을해안로 1143	20231204114727	20250418102755	4	A01	A0101	A01011100	126.1641309043	33.3080820007		63008
125779	영금정	32	강원특별자치도 속초시 동명항길 35	20031014090000	20250409111056	5	A01	A0101	A01011100	128.6018124235	38.2119511995		24824
