contentid	title	areacode	addr	creationtime	modifiedtime	sigungucode	cat1	cat2	cat3	mapx	mapy	tel	zipcode
127082	개천지와 조성지	35	경상북도 의성군 안계면	20040226090000	20241111100810	19	A01	A0101	A01011700	128.4624487572	36.3880253434		37310
127975	경포호(철새도래지)	32	강원특별자치도 강릉시 경포로 365	20031114090000	20250317144903	1	A01	A0101	A01011700	128.8965681570	37.7956108224		25461
128272	고삼호수	31	경기도 안성시 고삼면 향림길 50	20050104090000	20241204112824	16	A01	A0101	A01011700	127.2849677871	37.0884429098		17504
126329	광주호	5	광주광역시 북구 충효샘길 7 (충효동)	20020430090000	20250321132245	4	A01	A0101	A01011700	127.0010882121	35.1840804198		61146
125869	괴산호	33	충청북도 괴산군 칠성면	20030813090000	20250307103745	1	A01	A0101	A01011700	127.8404160535	36.7555274086		28016
128275	금광호수	31	경기도 안성시 금광면 가협1길 11	20050112090000	20250701111554	16	A01	A0101	A01011700	127.3508144090	36.9967352306		17534
126327	나주호	38	전라남도 나주시 다도면 나주호로 558-314	20020430090000	20250730093254	6	A01	A0101	A01011700	126.8720749405	34.9481381862		58231
126707	남양호(남양황라)	31	경기도 화성시 장안면	20020430090000	20240605102258	31	A01	A0101	A01011700	126.8157344806	37.0154818785		445-940,1
126323	담양호	38	전라남도 담양군 금성면 금성산성길	20021118090000	20250721111202	7	A01	A0101	A01011700	127.0118601360	35.3776476077		57301
126847	당진 삽교호	34	충청남도 당진시 삽교천3길 100	20021125090000	20250701162459	4	A01	A0101	A01011700	126.8248676612	36.8889410934		31744
126846	대청호	3	대전광역시 동구	20020827090000	20250318205742	2	A01	A0101	A01011700	127.5101665667	36.4011148323		34500
2911885	대청호 마산동 쉼터	3	대전광역시 동구 마산동	20221117172152	20250620151052	2	A01	A0101	A01011700	127.4787615831	36.3812776529		34500
3072039	도암호	32	강원특별자치도 평창군 대관령면 수하2길 364	20231130180448	20250725110701	15	A01	A0101	A01011700	117.9925662504	19.6944274800		25353
2746554	동정호	36	경상남도 하동군 악양면 평사리 305-2	20210917004645	20250317212442	18	A01	A0101	A01011700	127.6868342901	35.1461798361		52307
750804	마장호수	31	경기도 파주시 광탄면 기산리	20090610182952	20250324171310	27	A01	A0101	A01011700	126.9301139480	37.7752540883		10953
2790492	밀양호	36	경상남도 밀양시 단장면 고례리 310	20211209200226	20250318203809	7	A01	A0101	A01011700	128.9343410948	35.4757096336		
2703447	반월호수	31	경기도 군포시 호수로 92 (둔대동)	20210111200017	20250319174046	7	A01	A0101	A01011700	126.8899775403	37.3246335222		15892
126705	백운호수	31	경기도 의왕시 백운로 526 (학의동)	20031209090000	20250728102348	24	A01	A0101	A01011700	127.0006158435	37.3832509208	031-240-4810	16012
129440	보령호	34	충청남도 보령시 미산면 용수리	20070302090000	20250306170441	5	A01	A0101	A01011700	126.6613136112	36.2393462626		33512
2015553	보문정 (경주)	35	경상북도 경주시 신평동	20150710224715	20241209155337	2	A01	A0101	A01011700	129.2892803112	35.8413250823		38117
126134	보문호	35	경상북도 경주시 보문로 424-33	20040212090000	20250613175442	2	A01	A0101	A01011700	129.2766813295	35.8443272826		38117
2751543	성당못	4	대구광역시 달서구 공원순환로 216	20210930011456	20240603105550	2	A01	A0101	A01011700	128.5616191375	35.8446222350		42672
2750851	세병호	37	전북특별자치도 전주시 덕진구 송천동2가 1316	20210928235714	20250313142518	12	A01	A0101	A01011700	127.1307950117	35.8768679830		55147
127566	소양호(양구)	32	강원특별자치도 양구군 양구읍 석현리	20030604090000	20240913145347	6	A01	A0101	A01011700	128.0221877116	38.0194458116		24517
125737	소양호(인제)	32	강원특별자치도 인제군 남면 신월리	20040203090000	20250731134622	10	A01	A0101	A01011700	128.0719191733	38.0235684967		24647
125802	소양호(춘천)	32	강원특별자치도 춘천시 신북읍 유포리	20030321090000	20241203142751	13	A01	A0101	A01011700	127.8218442932	37.9451423519		24203
128065	시화호	31	경기도 시흥시 정왕동	20040312090000	20250318151615	15	A01	A0101	A01011700	126.7006116965	37.3150507265		15119
2750859	아중호수	37	전북특별자치도 전주시 덕진구 아중호수길 131 (우아동1가)	20210929000207	20250729090010	12	A01	A0101	A01011700	127.1744453107	35.8231887388		55031
2785613	연지못	36	경상남도 창녕군 영산면 서리 139-3	20211203190356	20250319185826	15	A01	A0101	A01011700	128.5281772356	35.4546684338		
126473	연화못(하가못)	39	제주특별자치도 제주시 애월읍 하가로	20040226090000	20250324160313	4	A01	A0101	A01011700	126.3475200185	33.4547464297		63036
127565	영랑호	32	강원특별자치도 속초시 영랑호반길 140	20031014090000	20250702174347	5	A01	A0101	A01011700	128.5807503766	38.2142227476		24806
126741	영암호(철새도래지)	38	전라남도 영암군 삼호읍 용앙리	20021121090000	20250316214838	17	A01	A0101	A01011700	126.4738683183	34.7239234840	061-470-6071	58465
126551	옥정호(물안개길)	37	전북특별자치도 임실군 운암면 마암리	20040220090000	20250718141134	10	A01	A0101	A01011700	127.1360202454	35.6369064628		55906
1627890	용담호	37	전북특별자치도 진안군 용담면 월계리	20120514202921	20250523111025	14	A01	A0101	A01011700	127.4987190821	35.9345428625		55404
2656383	용지호수공원	36	경상남도 창원시 의창구 용지로169번길 26	20200515020157	20250317213553	16	A01	A0101	A01011700	128.6810476727	35.2321184685		51434
649968	우화정(내장산)	37	전북특별자치도 정읍시 내장산로 936	20081111184626	20250721144656	13	A01	A0101	A01011700	126.9102191565	35.4864779890		56199
2752596	유등연지	35	경상북도 청도군 화양읍 연지로 207	20211001235446	20241114165735	20	A01	A0101	A01011700	128.6942232915	35.6748327581		38326
127804	제천 의림지와 제림	33	충청북도 제천시 의림지로 33	20070911090000	20250319180804	7	A01	A0101	A01011700	128.2080988180	37.1741582990		27137
127489	주암호와 상사호	38	전라남도 순천시 상사면 상사호길 555	20020430090000	20250327141043	11	A01	A0101	A01011700	127.4147937937	34.9494389246		57919
126137	진양호	36	경상남도 진주시 판문동	20040203090000	20250702175036	13	A01	A0101	A01011700	127.9881012653	35.1848891098		52648
2612900	진양호 일주도로	36	경상남도 진주시 남강로1번길 126	20190725022436	20240528112339	13	A01	A0101	A01011700	128.0350390417	35.1762325817		52648
127563	천장호	34	충청남도 청양군 정산면 천장호길 24-23	20071005090000	20241203173520	13	A01	A0101	A01011700	126.9166054894	36.4151666378		33349
1916338	천호지(단대호수)	34	충청남도 천안시 동남구 단대로 119	20140425220740	20240521140808	12	A01	A0101	A01011700	127.1710351280	36.8342868435		31116
2751301	청룡지	31	경기도 안성시 서운면 청용리	20210929230313	20250320094641	16	A01	A0101	A01011700	127.2801178227	36.9036502451		17609
125750	청초호	32	강원특별자치도 속초시 청초호반로	20021216090000	20250313144801	5	A01	A0101	A01011700	128.5904917166	38.1963805690	033-639-2690	24854
125517	청평호반	31	경기도 가평군 설악면 유명로 1906-15	20020430090000	20250409165457	1	A01	A0101	A01011700	127.4715728354	37.6813137501		12459
125747	춘천호	32	강원특별자치도 춘천시 사북면 원평리	20021216090000	20241203144815	13	A01	A0101	A01011700	127.6580192160	37.9825571544		24200
3112056	충주체험관광센터	33	충청북도 충주시 중앙탑길 150	20240328194907	20240930091638	11	A01	A0101	A01011700	127.8627259391	37.0215361310	043 845 0245	27447
125872	충주호	33	충청북도 충주시 동량면 조동리	20030917090000	20250717181131	11	A01	A0101	A01011700	127.9977170601	37.0050988454		27320
2043017	충주호 종댕이길	33	충청북도 충주시 종민동	20151125012331	20250317111331	11	A01	A0101	A01011700	127.9965540359	36.9786407554		27484
126605	파로호(양구)	32	강원특별자치도 양구군 양구읍 하리	20020502090000	20250730152108	6	A01	A0101	A01011700	127.9864212803	38.1191557431		24520
125801	파로호(화천)	32	강원특별자치도 화천군 간동면 배터길 36-8	20070906090000	20250714113125	17	A01	A0101	A01011700	127.7779270055	38.0993652277		24132
2568709	파서탕	32	강원특별자치도 양구군 방산면 오미리	20181122024715	20250730150546	6	A01	A0101	A01011700	127.9043575019	38.1790972003		24504
866810	팔당호	31	경기도 광주시 남종면	20091117194058	20241202145525	5	A01	A0101	A01011700	127.2950995119	37.5052754081		12708
2747061	평택호	31	경기도 평택시 현덕면 평택호길 48	20210917192416	20250707174114	28	A01	A0101	A01011700	126.9128784403	36.9149479739		17972
1622215	풍암호수	5	광주광역시 서구 풍암동	20120504185920	20250321175505	5	A01	A0101	A01011700	126.8705150584	35.1276401393		62068
126118	합천호	36	경상남도 합천군 봉산면 송림리	20040209090000	20250407094805	21	A01	A0101	A01011700	128.0347223786	35.5953408686		50210
3083171	호수유원지	31	경기도 가평군 북면 도대리	20231006145553	20250416144258	1	A01	A0101	A01011700	127.4921776626	37.9267633539		12401
127809	횡성호	32	강원특별자치도 횡성군 갑천면 중금리	20030627090000	20250331162440	18	A01	A0101	A01011700	128.0676671126	37.5489984968		25259
