contentid,contenttypeid,serialnum,infoname,infotext,fldgubun,created_at,updated_at
2733967,12,0,등산로,,1,2025-09-19 16:58:45,2025-09-19 16:58:45
2733967,12,1,관광코스안내,교황청 승인 국제순례지 ‘서울천주교순례길 코스’,2,2025-09-19 16:58:45,2025-09-19 16:58:45
2733967,12,2,이용가능시설,본당 / 역사전시실 / 아랫마당 등,3,2025-09-19 16:58:45,2025-09-19 16:58:45
2733967,12,3,화장실,있음,3,2025-09-19 16:58:45,2025-09-19 16:58:45
2733967,12,4,외국어 안내서비스,,4,2025-09-19 16:58:45,2025-09-19 16:58:45
2763807,12,0,화장실,있음,3,2025-09-19 16:58:45,2025-09-19 16:58:45
2763807,12,1,입 장 료,무료,3,2025-09-19 16:58:45,2025-09-19 16:58:45
3483083,12,0,입 장 료,무료,3,2025-09-19 16:58:46,2025-09-19 16:58:46
3483083,12,1,화장실,있음,3,2025-09-19 16:58:46,2025-09-19 16:58:46
3483083,12,2,,,4,2025-09-19 16:58:46,2025-09-19 16:58:46
1116925,12,0,등산로,정상 전망대까지 이어지는 700m 자연산책코스 (23:00까지 이용가능),1,2025-09-19 16:58:46,2025-09-19 16:58:46
1116925,12,1,관광코스안내,"3코스, 안양천(신정교-오금교)-어린이교통공원-갈산도서관-갈산근린공원-향림사-계남공원",2,2025-09-19 16:58:46,2025-09-19 16:58:46
1116925,12,2,화장실,있음,3,2025-09-19 16:58:46,2025-09-19 16:58:46
1116925,12,3,이용가능시설,체험학습장 / 갈산정(정상) / 교통교육관 및 전시물 / 교통안전교육 체험장 / 어린이놀이터 / 멀티코트장 / 중심광장 / 전망대 / 산책로 / 각종 운동시설 등,3,2025-09-19 16:58:46,2025-09-19 16:58:46
294439,12,0,등산로,,1,2025-09-19 16:58:46,2025-09-19 16:58:46
294439,12,1,관광코스안내,,2,2025-09-19 16:58:46,2025-09-19 16:58:46
294439,12,2,입 장 료,무료,3,2025-09-19 16:58:46,2025-09-19 16:58:46
294439,12,3,외국어 안내서비스,,4,2025-09-19 16:58:46,2025-09-19 16:58:46
264570,12,0,관광코스안내,"* 강남시티투어 트롤리버스 <br />
- 어라운드강남시티투어 코스: 강남역-봉은사/코엑스-한류스타거리-관광정보센터-가로수길-세빛섬-고속터미널/신세계백화점-서래마을-법원.교대역-삼성타운-강남역(종착)<br />
<br />
* 강남관광정보센터 외국인대상 무료도보관광 프로그램<br />
- 한류코스: 강남관광정보센터-JYP엔터테인먼트-JS엔터테인먼트-FNC엔터테인먼트-SM엔터테인먼트-한류스타거리-강남돌하우스-G+스타존(압구정로데오역)",2,2025-09-19 16:58:46,2025-09-19 16:58:46
264570,12,1,입 장 료,무료,3,2025-09-19 16:58:46,2025-09-19 16:58:46
264570,12,2,화장실,있음,3,2025-09-19 16:58:46,2025-09-19 16:58:46
2456536,12,0,이용가능시설,"관광안내소, 관람 전시장, 호텔, 유흥음식점, 서점, 영화관, 수족관 등",3,2025-09-19 16:58:47,2025-09-19 16:58:47
2456536,12,1,외국어 안내서비스,관광안내소 책자 비치 ,4,2025-09-19 16:58:47,2025-09-19 16:58:47
127377,12,0,입 장 료,무료,3,2025-09-19 16:58:47,2025-09-19 16:58:47
128961,12,0,시설이용료,"[사우나 주간]<br>
- 대인 12,000원<br>
- 소인(7세 이하) 8,000원<br>
[찜질방 주간]<br>
- 대인 14,000원<br>
- 소인(7세 이하) 10,000원<br>
[찜질방 야간]<br>
- 대인 16,000원<br>
- 소인(7세 이하) 12,000원<br>
※ 사우나 이용 시 입실 후 6시간이 경과되면 시간당 1,000원씩 추가요금 발생<br>
※ 찜질방 이용 시 입실 후 15시간이 경과되면 시간당 1,000원씩 추가요금 발생",3,2025-09-19 16:58:47,2025-09-19 16:58:47
809490,12,0,주차요금,"최초 30분 1,000원 / 이후 10분 당 200원씩 추가 요금 발생",3,2025-09-19 16:58:47,2025-09-19 16:58:47
809490,12,1,화장실,있음 ,3,2025-09-19 16:58:47,2025-09-19 16:58:47
809490,12,2,이용가능시설,조류전망대 / 한강전망대 / 자연관찰로 / 운동시설 / 쉼터 ,3,2025-09-19 16:58:47,2025-09-19 16:58:47
809490,12,3,입 장 료,무료,3,2025-09-19 16:58:47,2025-09-19 16:58:47
3043735,12,0,입 장 료,무료,3,2025-09-19 16:58:48,2025-09-19 16:58:48
2733968,12,0,입 장 료,무료,3,2025-09-19 16:58:48,2025-09-19 16:58:48
2733968,12,1,주차요금,"최초 30분 1,000원 / 이후 10분 당 200원씩 추가 요금 발생",3,2025-09-19 16:58:48,2025-09-19 16:58:48
2733968,12,2,이용가능시설,운동장 / 인공암벽장 / 족구장 / 체력단련장 / 편의점 / 거리공연장 / 자전거대여점 / 어린이놀이터 / 생태공원 등,3,2025-09-19 16:58:48,2025-09-19 16:58:48
2591792,12,0,등산로,,1,2025-09-19 16:58:48,2025-09-19 16:58:48
2591792,12,1,관광코스안내,,2,2025-09-19 16:58:48,2025-09-19 16:58:48
2591792,12,2,입 장 료,"무료
",3,2025-09-19 16:58:48,2025-09-19 16:58:48
2591792,12,3,한국어 안내서비스,,4,2025-09-19 16:58:48,2025-09-19 16:58:48
126501,12,0,입 장 료,무료,3,2025-09-19 16:58:48,2025-09-19 16:58:48
126501,12,1,화장실,있음,3,2025-09-19 16:58:48,2025-09-19 16:58:48
3385911,12,0,,,1,2025-09-19 16:58:49,2025-09-19 16:58:49
3385911,12,1,,,2,2025-09-19 16:58:49,2025-09-19 16:58:49
3385911,12,2,입 장 료,무료 ,3,2025-09-19 16:58:49,2025-09-19 16:58:49
3385911,12,3,,,4,2025-09-19 16:58:49,2025-09-19 16:58:49
2733966,12,0,입 장 료,무료 ,3,2025-09-19 16:58:49,2025-09-19 16:58:49
2733966,12,1,화장실,있음,3,2025-09-19 16:58:49,2025-09-19 16:58:49
2758868,12,0,이용가능시설,"나루터 시설, 편의점

",3,2025-09-19 16:58:49,2025-09-19 16:58:49
2758868,12,1,주차요금,"- 최초 30분 1,000원<br>
- 초과 10분당 200원<br>
- 1일 주차 최고한도 10,000원
",3,2025-09-19 16:58:49,2025-09-19 16:58:49
2758868,12,2,화장실,없음,3,2025-09-19 16:58:49,2025-09-19 16:58:49
1604652,12,0,등산로,,1,2025-09-19 16:58:50,2025-09-19 16:58:50
1604652,12,1,관광코스안내,,2,2025-09-19 16:58:50,2025-09-19 16:58:50
1604652,12,2,주차요금,"[소형차] 기본 1시간 3,000원 / 초과 10분당 800원<br>
[중·대형차] 기본 1시간 5,000원 / 초과 10분당 800원 ",3,2025-09-19 16:58:50,2025-09-19 16:58:50
1604652,12,3,입 장 료,"- 개인 3,000원<br>
- 단체(10인 이상) 2,400원",3,2025-09-19 16:58:50,2025-09-19 16:58:50
1604652,12,4,화장실,있음,3,2025-09-19 16:58:50,2025-09-19 16:58:50
1604652,12,5,한국어 안내서비스,,4,2025-09-19 16:58:50,2025-09-19 16:58:50
294505,12,0,등산로,,1,2025-09-19 16:58:50,2025-09-19 16:58:50
294505,12,1,관광코스안내,우이신설(북한산보국문역) 하차하여 도보로 이동 약 7분,2,2025-09-19 16:58:50,2025-09-19 16:58:50
294505,12,2,입 장 료,무료 ,3,2025-09-19 16:58:50,2025-09-19 16:58:50
294505,12,3,화장실,있음,3,2025-09-19 16:58:50,2025-09-19 16:58:50
294505,12,4,내국인 예약안내,,4,2025-09-19 16:58:50,2025-09-19 16:58:50
126508,12,0,입 장 료,"- 개인 3,000원<br>
- 만 24세 이하 청소년 무료
- 만 64세 이상 어르신 무료
- 단체(10인 이상) 2,400원",3,2025-09-19 16:58:50,2025-09-19 16:58:50
126508,12,1,화장실,있음,3,2025-09-19 16:58:50,2025-09-19 16:58:50
126508,12,2,주차요금,"[소형차] 기본 1시간 3,000원 / 초과 시 매 10분마다 800원<br>
[중·대형차] 기본 1시간 5,000원 / 초과 시 매 10분마다 800원",3,2025-09-19 16:58:50,2025-09-19 16:58:50
2373204,12,0,입 장 료,무료,3,2025-09-19 16:58:50,2025-09-19 16:58:50
2500229,12,0,등산로,,1,2025-09-19 16:58:51,2025-09-19 16:58:51
2500229,12,1,관광코스안내,,2,2025-09-19 16:58:51,2025-09-19 16:58:51
2500229,12,2,입 장 료,,3,2025-09-19 16:58:51,2025-09-19 16:58:51
2500229,12,3,한국어 안내서비스,,4,2025-09-19 16:58:51,2025-09-19 16:58:51
1826438,12,0,입 장 료,무료,3,2025-09-19 16:58:51,2025-09-19 16:58:51
126484,12,0,등산로,,1,2025-09-19 16:58:51,2025-09-19 16:58:51
126484,12,1,관광코스안내,,2,2025-09-19 16:58:51,2025-09-19 16:58:51
126484,12,2,화장실,있음,3,2025-09-19 16:58:51,2025-09-19 16:58:51
126484,12,3,주차요금,"[20인 미만 차량] 최초 1시간까지 1,000원 / 이후 초과 5분당 400원<br>
[20인 이상 차량] 최초 1시간까지 3,000원 / 이후 초과 5분당 800원",3,2025-09-19 16:58:51,2025-09-19 16:58:51
126484,12,4,입 장 료,"무료
",3,2025-09-19 16:58:51,2025-09-19 16:58:51
126484,12,5,한국어 안내서비스,,4,2025-09-19 16:58:51,2025-09-19 16:58:51
1606042,12,0,주차요금,"최초 1시간 1,000원 / 추가 5분당 400원 / 1일 주차 22,000원",3,2025-09-19 16:58:51,2025-09-19 16:58:51
1606042,12,1,화장실,있음(남녀 구분),3,2025-09-19 16:58:51,2025-09-19 16:58:51
1604784,12,0,등산로,,1,2025-09-19 16:58:52,2025-09-19 16:58:52
1604784,12,1,관광코스안내,,2,2025-09-19 16:58:52,2025-09-19 16:58:52
1604784,12,2,입 장 료,무료,3,2025-09-19 16:58:52,2025-09-19 16:58:52
1604784,12,3,화장실,있음,3,2025-09-19 16:58:52,2025-09-19 16:58:52
1604784,12,4,주차요금,"[20인 미만 차량] 최초 1시간까지 1,000원 / 이후 초과 5분당 400원<br>
[20인 이상 차량] 최초 1시간까지 3,000원 / 이후 초과 5분당 800원",3,2025-09-19 16:58:52,2025-09-19 16:58:52
1604784,12,5,한국어 안내서비스,,4,2025-09-19 16:58:52,2025-09-19 16:58:52
1604824,12,0,입 장 료,무료,3,2025-09-19 16:58:52,2025-09-19 16:58:52
1604824,12,1,화장실,있음,3,2025-09-19 16:58:52,2025-09-19 16:58:52
2611568,12,0,관광코스안내,10코스 : 연의생태공원에코로드-계남근린공원 무장애숲길-신트리공원산책로,2,2025-09-19 16:58:52,2025-09-19 16:58:52
