contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard,created_at,updated_at
2733967,12,0,0,0,02-763-1570,,매주 월요일,,,,,"[주일미사]<br>
- 새벽미사 06:00<br>
- 교중미사 11:00<br>
- 학생미사18:00<br>
[토요일] 저녁 주일미사 18:00<br>
[평일미사]<br>
- 월요일 06:00<br>
※ 매주 월요일은 미사 후 성당 문 닫음<br>
- 화요일 19:00 <br>
- 수요일 10:00<br>
- 목요일 19:00<br>
- 금요일 10:00<br>
[유아세례] 매월 첫 번째 일요일 17:00",가능,없음,,없음,2025-09-23 09:27:52,2025-09-23 09:27:52
2763807,12,0,0,0,동대문구청 정원도시과 02-2127-4398,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:27:52,2025-09-23 09:27:52
3483083,12,0,0,0,02-954-5757,,매주 일요일 / 월요일 / 1월 1일 / 설·추석 연휴 / 간송미술문화재단 요청 시,,,,,09:00~18:00,불가능,,,,2025-09-23 09:27:53,2025-09-23 09:27:53
1116925,12,0,0,0,양천구 공원녹지과 02-2620-4569,,연중무휴,,,,,상시 개방,가능,없음,,,2025-09-23 09:27:53,2025-09-23 09:27:53
294439,12,0,0,0,0507-1413-5862,,연중무휴,,,,,09:00~18:00,불가능,없음,,없음,2025-09-23 09:27:53,2025-09-23 09:27:53
264570,12,0,0,0,강남메디컬투어센터 1661-2230,,연중무휴,,,,,상시 개방 (강남메디컬투어센터 평일 10:00~18:00),가능,없음,,없음,2025-09-23 09:27:53,2025-09-23 09:27:53
2456536,12,0,0,0,02-3445-0111,,,,,,,,가능,없음,,없음,2025-09-23 09:27:53,2025-09-23 09:27:53
127377,12,0,0,0,강동구청 문화예술과 02-3425-5250,,연중무휴,,,,,상시 개방,불가능,,,,2025-09-23 09:27:54,2025-09-23 09:27:54
128961,12,0,0,0,02-455-3737,,연중무휴,,,,,"- 주간 05:00~20:00<br>
- 야간 20:00~익일 05:00",가능<br>요금 (주간 시간 입차 시 5시간 무료 / 야간 시간 입차 시 익일 오전 8시까지 무료 / 무료시간 외 10분당 600원),불가,,가능,2025-09-23 09:27:54,2025-09-23 09:27:54
809490,12,0,0,0,한강사업본부 강서안내센터 02-3780-0621~3,2002년 7월 1일,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:27:54,2025-09-23 09:27:54
