sigunguCode,sigunguName,created_at,updated_at
110,종로구,2025-09-19 16:25:40,2025-09-19 16:25:40
140,중구,2025-09-19 16:25:40,2025-09-19 16:25:40
170,용산구,2025-09-19 16:25:40,2025-09-19 16:25:40
200,성동구,2025-09-19 16:25:40,2025-09-19 16:25:40
215,광진구,2025-09-19 16:25:40,2025-09-19 16:25:40
230,동대문구,2025-09-19 16:25:40,2025-09-19 16:25:40
260,중랑구,2025-09-19 16:25:40,2025-09-19 16:25:40
290,성북구,2025-09-19 16:25:40,2025-09-19 16:25:40
305,강북구,2025-09-19 16:25:40,2025-09-19 16:25:40
320,도봉구,2025-09-19 16:25:40,2025-09-19 16:25:40
350,노원구,2025-09-19 16:25:40,2025-09-19 16:25:40
380,은평구,2025-09-19 16:25:40,2025-09-19 16:25:40
410,서대문구,2025-09-19 16:25:40,2025-09-19 16:25:40
440,마포구,2025-09-19 16:25:40,2025-09-19 16:25:40
470,양천구,2025-09-19 16:25:40,2025-09-19 16:25:40
500,강서구,2025-09-19 16:25:40,2025-09-19 16:25:40
530,구로구,2025-09-19 16:25:40,2025-09-19 16:25:40
545,금천구,2025-09-19 16:25:40,2025-09-19 16:25:40
560,영등포구,2025-09-19 16:25:40,2025-09-19 16:25:40
590,동작구,2025-09-19 16:25:40,2025-09-19 16:25:40
620,관악구,2025-09-19 16:25:40,2025-09-19 16:25:40
650,서초구,2025-09-19 16:25:40,2025-09-19 16:25:40
680,강남구,2025-09-19 16:25:40,2025-09-19 16:25:40
710,송파구,2025-09-19 16:25:40,2025-09-19 16:25:40
740,강동구,2025-09-19 16:25:40,2025-09-19 16:25:40
