code,name,created_at,updated_at
AC,숙박,2025-09-19 16:25:44,2025-09-19 16:25:44
C01,추천코스,2025-09-19 16:25:44,2025-09-19 16:25:44
EV,축제/공연/행사,2025-09-19 16:25:44,2025-09-19 16:25:44
EX,체험관광,2025-09-19 16:25:44,2025-09-19 16:25:44
FD,음식,2025-09-19 16:25:44,2025-09-19 16:25:44
HS,역사관광,2025-09-19 16:25:44,2025-09-19 16:25:44
LS,레저스포츠,2025-09-19 16:25:44,2025-09-19 16:25:44
NA,자연관광,2025-09-19 16:25:44,2025-09-19 16:25:44
SH,쇼핑,2025-09-19 16:25:44,2025-09-19 16:25:44
VE,문화관광,2025-09-19 16:25:44,2025-09-19 16:25:44
