systemCode1,systemCode2,systemName2,created_at,updated_at
AC,AC01,호텔,2025-09-19 16:18:54,2025-09-19 16:18:54
AC,AC02,콘도미니엄,2025-09-19 16:18:54,2025-09-19 16:18:54
AC,AC03,펜션/민박,2025-09-19 16:18:54,2025-09-19 16:18:54
AC,AC04,모텔,2025-09-19 16:18:54,2025-09-19 16:18:54
AC,AC05,캠핑,2025-09-19 16:18:54,2025-09-19 16:18:54
AC,AC06,호스텔,2025-09-19 16:18:54,2025-09-19 16:18:54
C01,C0112,가족코스,2025-09-19 16:18:54,2025-09-19 16:18:54
C01,C0113,나홀로코스,2025-09-19 16:18:54,2025-09-19 16:18:54
C01,C0114,힐링코스,2025-09-19 16:18:54,2025-09-19 16:18:54
C01,C0115,도보코스,2025-09-19 16:18:54,2025-09-19 16:18:54
C01,C0116,캠핑코스,2025-09-19 16:18:54,2025-09-19 16:18:54
C01,C0117,맛코스,2025-09-19 16:18:54,2025-09-19 16:18:54
EV,EV01,축제,2025-09-19 16:18:54,2025-09-19 16:18:54
EV,EV02,공연,2025-09-19 16:18:54,2025-09-19 16:18:54
EV,EV03,행사,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX01,전통체험,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX02,공예체험,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX03,농.산.어촌 체험,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX04,산사체험,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX05,웰니스관광,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX06,산업관광,2025-09-19 16:18:54,2025-09-19 16:18:54
EX,EX07,기타체험,2025-09-19 16:18:54,2025-09-19 16:18:54
FD,FD01,한식,2025-09-19 16:18:54,2025-09-19 16:18:54
FD,FD02,외국식,2025-09-19 16:18:54,2025-09-19 16:18:54
FD,FD03,간이음식,2025-09-19 16:18:54,2025-09-19 16:18:54
FD,FD04,주점,2025-09-19 16:18:54,2025-09-19 16:18:54
FD,FD05,카페/ 찻집,2025-09-19 16:18:54,2025-09-19 16:18:54
HS,HS01,역사유적지,2025-09-19 16:18:54,2025-09-19 16:18:54
HS,HS02,역사유물,2025-09-19 16:18:54,2025-09-19 16:18:54
HS,HS03,종교성지,2025-09-19 16:18:54,2025-09-19 16:18:54
HS,HS04,안보관광지,2025-09-19 16:18:54,2025-09-19 16:18:54
LS,LS01,육상레저스포츠,2025-09-19 16:18:54,2025-09-19 16:18:54
LS,LS02,수상레저스포츠,2025-09-19 16:18:54,2025-09-19 16:18:54
LS,LS03,항공레저스포츠,2025-09-19 16:18:54,2025-09-19 16:18:54
LS,LS04,복합레저스포츠,2025-09-19 16:18:54,2025-09-19 16:18:54
NA,NA01,자연경관(산),2025-09-19 16:18:54,2025-09-19 16:18:54
NA,NA02,자연경관(하천‧해양),2025-09-19 16:18:54,2025-09-19 16:18:54
NA,NA03,자연생태,2025-09-19 16:18:54,2025-09-19 16:18:54
NA,NA04,자연공원,2025-09-19 16:18:54,2025-09-19 16:18:54
NA,NA05,기타자연관광,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH01,백화점,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH02,쇼핑몰,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH03,대형마트,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH04,면세점,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH05,전문매장/상가,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH06,시장,2025-09-19 16:18:54,2025-09-19 16:18:54
SH,SH07,기타쇼핑시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE01,랜드마크관광,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE02,테마공원,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE03,도시공원,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE04,도시.지역문화관광,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE05,복합관광시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE06,공연시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE07,전시시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE08,행사시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE09,교육시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE10,레저스포츠시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE11,교통시설,2025-09-19 16:18:54,2025-09-19 16:18:54
VE,VE12,기타문화관광지,2025-09-19 16:18:54,2025-09-19 16:18:54
